0,232
52,159,162
53,155,167
54,154,170
55,153,172
56,153,174
57,153,176
58,153,177
59,153,179
60,153,180
61,153,182
62,153,183
63,154,184
64,154,186
65,154,187
66,155,188
67,155,189
68,155,191
69,156,191
70,156,192
71,156,193
72,156,194
73,156,195
74,156,196
75,156,197
76,156,198
77,156,198
78,156,199
79,156,199
80,156,199
81,156,200
82,156,200
83,156,200
84,156,200
85,156,200
86,156,200
87,155,199
88,155,199
89,155,198
90,155,198
91,155,197
92,154,196
93,154,195
94,154,194
95,154,193
96,153,192
97,153,191
98,153,190
99,152,190
100,152,189
101,152,188
102,151,187
103,151,187
104,151,186
105,150,185
106,150,184
107,149,184
108,149,183
109,149,182
110,148,182
111,148,181
112,147,180
113,147,179
114,146,179
115,146,178
116,145,177
117,145,177
118,145,176
119,144,175
120,144,175
121,143,174
122,143,173
123,142,173
124,142,172
125,141,171
126,140,171
127,140,170
128,140,170
129,139,169
130,138,168
131,138,168
132,137,167
133,137,167
134,136,166
135,136,165
136,135,165
137,135,164
138,134,163
139,134,163
140,133,162
141,132,162
142,132,161
143,131,161
144,131,160
145,130,159
146,129,159
147,129,158
148,128,157
149,128,157
150,127,156
151,126,156
152,126,155
153,125,154
154,125,154
155,124,153
156,123,152
157,123,152
158,122,151
159,121,151
160,121,150
161,120,149
162,120,149
163,119,148
164,118,147
165,118,147
166,117,146
167,116,145
168,116,145
169,115,144
170,114,143
171,114,143
172,113,142
173,112,141
174,112,140
175,111,140
176,110,139
177,110,138
178,109,138
179,109,137
180,108,136
181,107,136
182,107,135
183,106,134
184,105,133
185,104,133
186,104,132
187,103,131
188,102,131
189,102,130
190,101,129
191,100,128
192,99,128
193,99,127
194,98,126
195,97,125
196,97,125
197,96,124
198,95,123
199,94,122
200,94,122
201,93,121
202,92,120
203,92,119
204,91,118
205,90,118
206,89,117
207,89,116
208,88,115
209,87,114
210,86,114
211,86,113
212,85,112
213,84,111
214,84,110
215,83,110
216,82,109
217,81,108
218,80,107
219,80,106
220,79,105
221,78,105
222,77,104
223,77,103
224,76,102
225,75,101
226,74,100
227,73,99
228,73,98
229,72,98
230,71,97
231,70,96
232,70,95
233,69,94
234,68,93
235,67,92
236,67,91
237,66,90
238,65,90
239,64,89
240,63,88
241,62,87
242,62,86
243,61,85
244,60,84
245,59,83
246,58,82
247,58,81
248,57,80
249,56,79
250,55,78
251,54,77
252,54,76
253,53,75
254,52,74
255,51,73
256,50,72
257,49,71
258,49,70
259,48,69
260,47,68
261,46,67
262,45,66
263,44,65
264,44,64
265,43,63
266,42,61
267,41,60
268,40,59
269,39,58
270,39,57
271,38,56
272,37,54
273,36,53
274,35,52
275,34,51
276,34,49
277,33,48
278,33,47
279,32,45
280,32,43
281,32,41
282,32,39
283,35,35
0,0
0,257
185,116,120
186,114,123
187,113,125
188,113,127
189,112,128
190,112,130
191,112,131
192,112,132
193,112,133
194,112,134
195,112,135
196,112,136
197,112,137
198,112,138
199,113,139
200,113,140
201,113,140
202,114,141
203,114,142
204,115,143
205,115,144
206,115,145
207,116,146
208,116,147
209,117,148
210,117,149
211,118,149
212,118,150
213,119,151
214,119,151
215,120,151
216,120,152
217,121,152
218,121,152
219,122,152
220,122,152
221,123,152
222,123,152
223,123,152
224,124,152
225,124,152
226,124,152
227,125,152
228,125,152
229,125,152
230,125,151
231,125,151
232,126,151
233,126,151
234,126,151
235,126,151
236,126,151
237,127,150
238,127,150
239,127,150
240,127,150
241,127,150
242,127,150
243,127,150
244,127,150
245,127,150
246,127,150
247,127,150
248,127,150
249,127,150
250,127,150
251,127,150
252,127,150
253,127,149
254,127,149
255,127,149
256,127,149
257,127,149
258,127,149
259,127,149
260,127,149
261,127,149
262,127,149
263,127,149
264,127,149
265,128,149
266,128,149
267,128,149
268,128,149
269,128,149
270,128,149
271,128,149
272,128,149
273,128,149
274,128,149
275,128,149
276,128,149
277,128,149
278,128,149
279,128,149
280,128,149
281,128,149
282,128,149
283,128,149
284,128,149
285,128,149
286,128,149
287,128,149
288,128,149
289,128,149
290,128,149
291,128,149
292,128,149
293,128,149
294,128,149
295,128,149
296,128,149
297,128,149
298,128,149
299,128,149
300,128,149
301,128,149
302,128,149
303,128,149
304,128,149
305,128,149
306,128,149
307,128,149
308,128,148
309,128,148
310,128,148
311,127,148
312,127,148
313,127,148
314,127,148
315,127,148
316,127,148
317,127,148
318,127,148
319,127,148
320,127,148
321,127,148
322,127,148
323,127,148
324,126,148
325,126,148
326,126,148
327,126,148
328,126,148
329,126,148
330,126,149
331,126,149
332,126,149
333,126,149
334,125,149
335,125,149
336,125,149
