0,242
51,142,147
52,139,151
53,137,154
54,137,157
55,136,159
56,136,161
57,136,162
58,136,164
59,136,166
60,136,167
61,137,169
62,137,170
63,137,171
64,138,173
65,138,174
66,139,175
67,139,176
68,139,177
69,140,178
70,140,179
71,140,180
72,140,181
73,140,182
74,141,183
75,141,184
76,141,184
77,141,185
78,141,185
79,141,185
80,141,185
81,141,186
82,141,186
83,141,186
84,141,185
85,140,185
86,140,185
87,140,184
88,140,184
89,140,183
90,140,183
91,139,182
92,139,181
93,139,180
94,139,179
95,139,178
96,138,177
97,138,177
98,138,176
99,138,175
100,137,174
101,137,174
102,137,173
103,136,172
104,136,172
105,136,171
106,135,170
107,135,170
108,135,169
109,134,168
110,134,168
111,134,167
112,133,166
113,133,166
114,132,165
115,132,164
116,131,164
117,131,163
118,131,163
119,130,162
120,130,161
121,129,161
122,129,160
123,129,160
124,128,159
125,128,159
126,127,158
127,127,157
128,126,157
129,126,156
130,125,156
131,125,155
132,124,154
133,124,154
134,123,153
135,123,153
136,122,152
137,122,152
138,121,151
139,121,151
140,120,150
141,120,150
142,119,149
143,119,149
144,118,148
145,118,147
146,117,147
147,117,146
148,116,146
149,116,145
150,115,145
151,115,144
152,114,143
153,114,143
154,113,142
155,112,142
156,112,141
157,111,140
158,111,140
159,110,139
160,110,139
161,109,138
162,108,138
163,108,137
164,107,136
165,107,136
166,106,135
167,106,135
168,105,134
169,104,133
170,104,133
171,103,132
172,103,132
173,102,131
174,101,130
175,101,130
176,100,129
177,100,128
178,99,128
179,98,127
180,98,127
181,97,126
182,97,125
183,96,125
184,95,124
185,95,123
186,94,123
187,94,122
188,93,121
189,92,121
190,92,120
191,91,119
192,90,119
193,90,118
194,89,117
195,88,117
196,88,116
197,87,115
198,86,114
199,86,114
200,85,113
201,84,112
202,84,112
203,83,111
204,83,110
205,82,110
206,81,109
207,81,108
208,80,107
209,79,107
210,79,106
211,78,105
212,77,105
213,77,104
214,76,103
215,75,102
216,74,102
217,74,101
218,73,100
219,73,99
220,72,99
221,71,98
222,70,97
223,70,96
224,69,96
225,68,95
226,68,94
227,67,93
228,66,92
229,66,92
230,65,91
231,64,90
232,63,89
233,63,88
234,62,88
235,61,87
236,61,86
237,60,85
238,59,84
239,58,84
240,58,83
241,57,82
242,56,81
243,56,80
244,55,79
245,54,79
246,53,78
247,53,77
248,52,76
249,51,75
250,50,74
251,50,74
252,49,73
253,48,72
254,47,71
255,47,70
256,46,69
257,45,68
258,44,67
259,44,66
260,43,65
261,42,64
262,41,63
263,41,62
264,40,62
265,39,61
266,38,60
267,38,59
268,37,58
269,36,57
270,35,56
271,35,55
272,34,54
273,33,53
274,32,52
275,32,51
276,31,50
277,30,48
278,29,48
279,28,46
280,27,45
281,27,44
282,26,43
283,25,42
284,24,41
285,24,39
286,23,38
287,23,37
288,22,36
289,22,34
290,22,32
291,22,30
292,23,28
0,0
0,230
204,97,97
205,94,100
206,92,103
207,92,105
208,91,106
209,91,108
210,91,109
211,91,110
212,90,111
213,90,112
214,91,113
215,91,114
216,91,115
217,91,116
218,92,117
219,92,118
220,92,118
221,93,119
222,93,120
223,93,121
224,94,122
225,94,123
226,95,124
227,95,125
228,96,126
229,96,126
230,97,127
231,97,128
232,98,128
233,98,129
234,99,129
235,99,129
236,99,130
237,100,130
238,100,130
239,101,130
240,101,130
241,101,130
242,102,130
243,102,130
244,102,130
245,102,129
246,102,129
247,103,129
248,103,129
249,103,129
250,103,128
251,103,128
252,103,128
253,103,128
254,103,128
255,104,128
256,104,128
257,104,128
258,104,128
259,104,127
260,104,127
261,104,127
262,104,127
263,104,127
264,104,127
265,104,127
266,104,127
267,104,127
268,104,127
269,104,127
270,104,127
271,104,127
272,104,127
273,104,127
274,104,127
275,104,126
276,104,126
277,104,126
278,104,126
279,104,126
280,104,126
281,104,126
282,104,126
283,104,126
284,104,126
285,104,126
286,104,126
287,104,126
288,104,126
289,104,126
290,104,126
291,104,126
292,104,126
293,104,126
294,104,126
295,104,126
296,104,126
297,104,126
298,104,126
299,104,126
300,104,126
301,104,126
302,104,126
303,104,126
304,104,126
305,104,126
306,104,126
307,104,125
308,104,125
309,104,125
310,104,125
311,104,125
312,104,125
313,104,125
314,103,125
315,103,125
316,103,125
317,103,125
318,103,125
319,103,125
320,103,125
321,103,125
322,103,125
323,103,125
324,103,125
325,103,125
326,102,125
327,102,125
328,102,125
329,102,125
330,102,125
331,102,125
332,102,125
333,102,125
334,102,125
335,101,125
336,101,125
337,101,125
338,101,125
339,101,125
340,101,125
341,100,125
342,100,125
343,100,125
344,100,125
345,100,125
346,100,125
347,99,125
348,99,125
349,99,125
350,99,125
351,99,125
352,99,125
353,98,125
354,98,125
355,98,125
356,98,125
357,98,125
358,97,125
359,97,125
360,97,125
361,97,125
362,97,125
363,96,125
364,96,125
365,96,125
366,96,125
367,95,125
368,95,125
369,95,125
370,95,125
371,95,125
372,94,125
373,94,125
374,94,125
375,94,125
376,93,125
377,93,125
378,93,125
379,93,125
380,92,125
381,92,125
382,92,125
383,92,125
384,92,125
385,91,125
386,91,125
387,91,125
388,91,125
389,91,125
390,91,125
391,91,125
392,91,125
393,91,125
394,91,124
395,91,124
396,91,124
397,91,124
398,91,124
399,92,124
400,92,124
401,92,124
402,92,124
403,92,124
404,93,124
405,93,123
406,93,123
407,93,123
408,94,123
409,94,123
410,94,122
411,95,122
412,95,122
413,95,122
414,96,121
415,96,121
416,96,121
417,97,120
418,97,120
419,98,120
420,98,119
421,99,119
422,99,119
423,99,118
424,100,118
425,101,117
426,101,117
427,102,116
428,103,116
429,103,115
430,104,115
431,105,114
432,107,113
433,109,110
0,0
0,59
45,262,263
46,258,270
47,257,274
48,256,278
49,256,282
50,256,285
51,256,289
52,256,292
53,256,295
54,257,297
55,257,300
56,257,302
57,258,305
58,258,307
59,259,309
60,260,310
61,261,312
62,262,313
63,262,314
64,263,316
65,264,317
66,265,317
67,267,318
68,268,319
69,269,319
70,270,320
71,272,320
72,273,321
73,274,321
74,275,321
75,276,321
76,277,322
77,278,322
78,279,322
79,280,322
80,281,323
81,283,323
82,284,323
83,285,323
84,286,323
85,287,323
86,288,324
87,289,324
88,290,324
89,291,324
90,292,324
91,293,324
92,294,323
93,295,323
94,296,323
95,297,323
96,298,322
97,299,322
98,300,321
99,301,321
100,303,320
101,304,319
102,307,317
103,312,313
0,0
0,92
114,191,195
115,190,197
116,189,198
117,189,199
118,188,199
119,188,200
120,188,201
121,188,202
122,188,202
123,188,203
124,188,204
125,188,204
126,188,205
127,188,205
128,188,206
129,187,206
130,187,207
131,187,207
132,187,208
133,187,208
134,186,209
135,186,209
136,186,209
137,185,209
138,185,209
139,185,210
140,184,210
141,184,210
142,184,210
143,183,209
144,183,209
145,182,209
146,182,208
147,182,208
148,181,207
149,180,206
150,180,206
151,179,205
152,179,204
153,178,204
154,178,203
155,177,203
156,177,202
157,176,202
158,176,201
159,175,201
160,175,200
161,174,199
162,174,199
163,173,199
164,172,198
165,172,198
166,171,197
167,171,197
168,170,196
169,169,196
170,169,195
171,168,195
172,167,194
173,167,194
174,166,193
175,166,193
176,166,193
177,165,192
178,165,192
179,165,191
180,165,191
181,165,190
182,165,190
183,165,189
184,165,189
185,165,188
186,165,188
187,165,187
188,165,187
189,165,186
190,165,186
