0,84
98,98,98
99,95,103
100,94,106
101,94,109
102,94,111
103,93,113
104,93,115
105,93,117
106,94,119
107,94,122
108,94,124
109,94,125
110,95,127
111,95,129
112,96,131
113,96,133
114,97,135
115,98,137
116,98,138
117,99,140
118,100,142
119,101,143
120,102,145
121,102,147
122,103,148
123,104,150
124,105,151
125,106,153
126,107,154
127,108,156
128,109,157
129,110,158
130,111,159
131,112,161
132,113,162
133,114,163
134,115,164
135,115,165
136,116,166
137,117,166
138,118,167
139,119,168
140,120,169
141,121,169
142,122,170
143,123,170
144,124,171
145,125,171
146,126,172
147,127,172
148,127,172
149,128,173
150,129,173
151,130,173
152,131,173
153,132,174
154,133,174
155,134,174
156,134,174
157,135,174
158,136,174
159,137,174
160,138,174
161,139,174
162,140,174
163,141,174
164,141,174
165,142,174
166,143,174
167,144,174
168,145,174
169,146,174
170,147,174
171,147,174
172,148,174
173,149,173
174,150,173
175,151,173
176,152,172
177,153,171
178,154,171
179,156,170
180,157,168
181,161,166
0,0
0,178
409,109,109
408,106,113
407,104,114
406,102,115
405,101,115
404,100,116
403,99,116
402,98,116
401,97,117
400,96,117
399,96,117
398,95,117
397,95,117
396,94,117
395,93,118
394,93,118
393,92,118
392,92,118
391,92,118
390,91,119
389,91,119
388,90,119
387,90,119
386,90,120
385,89,120
384,89,120
383,88,121
382,88,121
381,88,121
380,87,122
379,87,122
378,87,122
377,86,123
376,86,123
375,86,123
374,86,124
373,85,124
372,85,124
371,85,125
370,84,125
369,84,126
368,84,126
367,84,126
366,83,127
365,83,127
364,83,127
363,83,128
362,83,128
361,83,128
360,82,129
359,82,129
358,82,130
357,82,130
356,82,130
355,82,131
354,82,131
353,82,132
352,82,132
351,83,133
350,83,133
349,83,133
348,84,134
347,86,134
346,88,135
345,89,135
344,91,136
343,92,136
342,93,136
341,94,137
340,95,137
339,96,138
338,97,138
337,99,139
336,100,139
335,101,139
334,102,140
333,103,141
332,103,141
331,104,141
330,105,142
329,106,142
328,107,143
327,108,143
326,109,143
325,109,144
324,110,144
323,111,145
322,112,145
321,113,146
320,113,146
319,114,147
318,115,147
317,116,148
316,116,148
315,117,149
314,118,149
313,119,149
312,119,150
311,120,150
310,121,151
309,121,151
308,122,152
307,123,152
306,123,152
305,124,153
304,125,153
303,125,154
302,126,154
301,127,155
300,128,155
299,128,156
298,129,156
297,130,157
296,130,157
295,131,157
294,132,158
293,133,158
292,133,159
291,134,159
290,135,160
289,135,160
288,136,161
287,137,161
286,137,162
285,138,162
284,139,162
283,139,163
282,140,163
281,141,164
280,142,164
279,142,165
278,143,165
277,144,166
276,144,166
275,145,167
274,146,167
273,146,167
272,147,168
271,148,168
270,149,169
269,149,169
268,150,170
267,151,170
266,151,171
265,152,171
264,153,172
263,154,172
262,154,172
261,155,173
260,156,173
259,156,174
258,157,174
257,158,175
256,159,175
255,159,176
254,160,176
253,161,176
252,161,177
251,162,177
250,163,178
249,163,178
248,164,179
247,165,179
246,166,180
245,166,180
244,167,181
243,168,181
242,169,181
241,169,182
240,170,182
239,171,183
238,172,183
237,173,183
236,174,183
235,176,183
234,177,183
233,179,183
232,182,182
0,0
