0,60
41,218,218
42,212,223
43,211,228
44,210,232
45,209,236
46,209,240
47,209,244
48,209,247
49,209,250
50,210,253
51,210,255
52,210,257
53,210,259
54,211,260
55,211,262
56,212,264
57,213,265
58,213,266
59,214,267
60,215,269
61,216,270
62,217,271
63,218,271
64,219,272
65,220,273
66,221,273
67,222,274
68,223,274
69,224,275
70,225,275
71,226,276
72,226,276
73,227,277
74,228,277
75,229,277
76,230,277
77,231,278
78,232,278
79,233,278
80,234,278
81,235,278
82,236,278
83,237,278
84,238,278
85,240,278
86,241,278
87,242,278
88,243,278
89,244,278
90,245,277
91,247,277
92,248,277
93,250,276
94,252,276
95,253,275
96,255,274
97,258,273
98,260,272
99,263,271
100,268,268
0,0
0,116
108,111,112
109,108,114
110,107,115
111,107,116
112,107,117
113,107,118
114,107,119
115,107,120
116,107,121
117,107,122
118,107,123
119,107,124
120,107,125
121,107,125
122,107,126
123,107,126
124,107,127
125,107,128
126,107,128
127,107,129
128,107,129
129,107,129
130,107,130
131,107,130
132,107,131
133,107,131
134,107,131
135,107,131
136,107,132
137,106,132
138,106,132
139,106,132
140,105,132
141,105,132
142,104,131
143,104,131
144,103,131
145,103,130
146,102,130
147,102,130
148,101,129
149,100,129
150,100,129
151,99,128
152,98,128
153,97,128
154,97,127
155,96,127
156,95,127
157,94,126
158,94,126
159,93,126
160,92,125
161,91,125
162,91,125
163,90,125
164,89,124
165,88,124
166,88,124
167,87,123
168,86,123
169,85,123
170,84,122
171,84,122
172,83,122
173,82,122
174,81,121
175,80,121
176,80,121
177,79,120
178,79,120
179,79,120
180,78,120
181,78,119
182,78,119
183,78,119
184,78,118
185,78,118
186,78,118
187,78,117
188,78,117
189,78,117
190,78,117
191,79,116
192,79,116
193,79,115
194,79,115
195,80,115
196,80,114
197,80,114
198,80,114
199,81,113
200,81,113
201,81,112
202,82,112
203,82,111
204,82,111
205,83,111
206,83,110
207,84,110
208,84,109
209,84,109
210,85,108
211,85,108
212,86,107
213,86,106
214,87,106
215,88,105
216,88,104
217,89,104
218,89,103
219,90,102
220,91,101
221,92,100
222,93,98
223,96,96
0,0
1,245
116,135,138
117,134,139
118,133,140
119,133,142
120,133,142
121,133,143
122,132,144
123,132,145
124,132,146
125,132,146
126,132,147
127,132,147
128,131,148
129,131,148
130,131,149
131,131,149
132,131,149
133,131,150
134,131,150
135,130,150
136,130,150
137,130,150
138,130,151
139,130,151
140,130,151
141,130,151
142,129,151
143,129,151
144,129,151
145,129,151
146,129,150
147,129,150
148,128,150
149,128,150
150,128,150
151,128,149
152,128,149
153,128,149
154,128,148
155,127,148
156,127,148
157,127,147
158,127,147
159,127,147
160,126,146
161,126,146
162,126,146
163,126,145
164,126,145
165,126,145
166,125,145
167,125,144
168,125,144
169,125,144
170,125,143
171,125,143
172,124,143
173,124,142
174,124,142
175,124,142
176,124,141
177,123,141
178,123,141
179,123,141
180,123,140
181,123,140
182,123,140
183,122,140
184,122,139
185,122,139
186,122,139
187,122,138
188,122,138
189,121,138
190,121,138
191,121,137
192,121,137
193,121,137
194,120,137
195,120,136
196,120,136
197,120,136
198,120,136
199,119,135
200,119,135
201,119,135
202,119,135
203,119,135
204,119,134
205,118,134
206,118,134
207,118,134
208,118,133
209,118,133
210,117,133
211,117,133
212,117,133
213,117,132
214,117,132
215,116,132
216,116,132
217,116,131
218,116,131
219,116,131
220,115,131
221,115,131
222,115,130
223,115,130
224,115,130
225,115,130
226,114,130
227,114,129
228,114,129
229,114,129
230,114,129
231,114,129
232,113,128
233,113,128
234,113,128
235,113,128
236,113,128
237,112,127
238,112,127
239,112,127
240,112,127
241,112,127
242,112,126
243,111,126
244,111,126
245,111,126
246,111,126
247,111,126
248,110,125
249,110,125
250,110,125
251,110,125
252,110,125
253,110,125
254,109,124
255,109,124
256,109,124
257,109,124
258,109,124
259,109,123
260,108,123
261,108,123
262,108,123
263,108,123
264,108,123
265,107,122
266,107,122
267,107,122
268,107,122
269,107,122
270,107,121
271,106,121
272,106,121
273,106,121
274,106,121
275,106,121
276,106,120
277,105,120
278,105,120
279,105,120
280,105,120
281,105,120
282,105,119
283,104,119
284,104,119
285,104,119
286,104,119
287,104,119
288,104,118
289,103,118
290,103,118
291,103,118
292,103,118
293,103,118
294,103,118
295,102,117
296,102,117
297,102,117
298,102,117
299,102,117
300,102,117
301,101,116
302,101,116
303,101,116
304,101,116
305,101,116
306,101,116
307,100,115
308,100,115
309,100,115
310,100,115
311,100,115
312,99,115
313,99,115
314,99,114
315,99,114
316,99,114
317,99,114
318,98,114
319,98,114
320,98,114
321,98,114
322,98,113
323,98,113
324,97,113
325,97,113
326,97,113
327,97,113
328,97,113
329,97,113
330,96,112
331,96,112
332,96,112
333,96,112
334,96,112
335,96,112
336,95,112
337,95,112
338,95,112
339,95,112
340,95,112
341,95,112
342,94,112
343,94,112
344,94,112
345,94,112
346,94,112
347,93,112
348,93,112
349,93,111
350,93,109
351,93,107
352,93,105
353,92,104
354,92,102
355,92,100
356,92,98
357,92,97
358,92,95
359,91,93
360,91,91
0,80
91,360,368
92,359,372
93,359,375
94,358,378
95,358,380
96,357,382
97,357,384
98,356,386
99,355,387
100,355,389
101,354,390
102,354,392
103,353,393
104,353,395
105,352,396
106,351,398
107,351,399
108,350,401
109,350,402
110,349,404
111,349,405
112,348,406
113,349,408
114,350,409
115,350,410
116,351,411
117,352,413
118,352,414
119,353,415
120,352,416
121,352,417
122,352,418
123,352,419
124,352,420
125,351,421
126,351,422
127,351,423
128,350,423
129,350,424
130,349,423
131,349,423
132,349,421
133,348,420
134,348,418
135,348,416
136,347,413
137,347,410
138,346,407
139,346,404
140,345,400
141,345,397
142,344,394
143,344,391
144,344,389
145,343,386
146,343,384
147,342,382
148,342,380
149,341,378
150,341,376
151,341,374
152,340,372
153,340,370
154,339,368
155,339,367
156,339,365
157,338,363
158,338,361
159,337,360
160,337,358
161,336,357
162,336,355
163,336,354
164,335,352
165,335,350
166,335,349
167,335,348
168,335,346
169,336,344
170,338,341
0,0
1,158
156,208,209
157,207,210
158,206,211
159,205,212
160,205,212
161,205,213
162,204,213
163,204,214
164,204,214
165,203,215
166,203,215
167,203,216
168,203,216
169,203,217
170,202,217
171,202,218
172,202,218
173,202,218
174,202,219
175,202,219
176,202,219
177,202,219
178,201,220
179,201,220
180,201,220
181,201,220
182,201,221
183,201,221
184,201,221
185,200,221
186,200,221
187,200,222
188,200,222
189,200,222
190,200,222
191,199,222
