0,59
37,227,227
38,223,234
39,222,238
40,221,243
41,221,246
42,221,250
43,221,253
44,221,256
45,221,259
46,221,262
47,222,264
48,222,267
49,222,269
50,223,271
51,224,273
52,224,275
53,225,277
54,226,278
55,227,279
56,228,280
57,229,281
58,230,282
59,231,283
60,233,283
61,234,284
62,235,285
63,236,285
64,237,285
65,238,286
66,240,286
67,241,286
68,242,286
69,243,287
70,244,287
71,245,287
72,246,287
73,247,288
74,248,288
75,249,288
76,250,288
77,251,288
78,253,288
79,254,288
80,255,288
81,256,288
82,257,288
83,258,288
84,259,288
85,260,288
86,261,288
87,262,288
88,263,287
89,264,287
90,265,286
91,266,286
92,267,285
93,269,284
94,271,282
95,274,279
0,0
0,109
101,120,121
102,117,122
103,116,123
104,116,124
105,116,125
106,116,126
107,116,127
108,116,128
109,116,129
110,116,130
111,116,131
112,116,131
113,115,132
114,115,133
115,115,133
116,115,134
117,115,134
118,115,135
119,115,135
120,115,135
121,115,136
122,115,136
123,115,136
124,115,137
125,114,137
126,114,137
127,114,137
128,114,138
129,113,138
130,113,138
131,112,138
132,112,138
133,111,138
134,111,137
135,110,137
136,110,137
137,109,136
138,108,136
139,107,135
140,106,135
141,106,134
142,105,134
143,104,134
144,103,133
145,102,133
146,101,132
147,100,132
148,99,131
149,99,131
150,98,131
151,97,130
152,96,130
153,95,129
154,94,129
155,93,129
156,92,128
157,91,128
158,90,128
159,89,127
160,88,127
161,87,126
162,86,126
163,85,126
164,85,125
165,84,125
166,84,125
167,83,124
168,83,124
169,83,124
170,83,123
171,83,123
172,83,122
173,83,122
174,83,122
175,83,121
176,83,121
177,83,120
178,83,120
179,83,120
180,83,119
181,83,119
182,84,118
183,84,118
184,84,117
185,84,117
186,84,116
187,85,116
188,85,115
189,85,115
190,85,114
191,86,114
192,86,113
193,86,113
194,87,112
195,87,112
196,87,111
197,88,110
198,88,110
199,88,109
200,89,108
201,89,108
202,90,107
203,90,106
204,91,105
205,91,105
206,92,103
207,93,102
208,94,101
209,95,99
0,0
1,243
124,127,130
125,126,132
126,125,133
127,125,134
128,125,135
129,125,136
130,125,136
131,124,137
132,124,138
133,124,138
134,124,139
135,124,140
136,124,140
137,124,141
138,123,141
139,123,141
140,123,142
141,123,142
142,123,142
143,123,143
144,123,143
145,123,143
146,122,143
147,122,144
148,122,143
149,122,143
150,122,143
151,122,143
152,122,143
153,121,143
154,121,143
155,121,142
156,121,142
157,121,142
158,121,142
159,121,142
160,120,142
161,120,141
162,120,141
163,120,141
164,120,140
165,120,140
166,120,140
167,119,139
168,119,139
169,119,139
170,119,138
171,119,138
172,119,138
173,118,137
174,118,137
175,118,137
176,118,137
177,118,136
178,118,136
179,117,136
180,117,135
181,117,135
182,117,135
183,117,135
184,117,134
185,116,134
186,116,134
187,116,134
188,116,133
189,116,133
190,116,133
191,115,133
192,115,132
193,115,132
194,115,132
195,115,132
196,115,131
197,114,131
198,114,131
199,114,131
200,114,130
201,114,130
202,114,130
203,113,130
204,113,129
205,113,129
206,113,129
207,113,129
208,113,128
209,112,128
210,112,128
211,112,128
212,112,128
213,112,127
214,112,127
215,111,127
216,111,127
217,111,127
218,111,126
219,111,126
220,110,126
221,110,126
222,110,126
223,110,125
224,110,125
225,110,125
226,109,125
227,109,125
228,109,124
229,109,124
230,109,124
231,109,124
232,108,124
233,108,123
234,108,123
235,108,123
236,108,123
237,108,123
238,107,122
239,107,122
240,107,122
241,107,122
242,107,122
243,107,122
244,106,121
245,106,121
246,106,121
247,106,121
248,106,121
249,106,121
250,105,120
251,105,120
252,105,120
253,105,120
254,105,120
255,105,120
256,104,119
257,104,119
258,104,119
259,104,119
260,104,119
261,104,118
262,104,118
263,103,118
264,103,118
265,103,118
266,103,118
267,103,118
268,103,117
269,102,117
270,102,117
271,102,117
272,102,117
273,102,117
274,102,116
275,101,116
276,101,116
277,101,116
278,101,116
279,101,116
280,101,115
281,100,115
282,100,115
283,100,115
284,100,115
285,100,115
286,100,115
287,100,114
288,99,114
289,99,114
290,99,114
291,99,114
292,99,114
293,99,114
294,98,113
295,98,113
296,98,113
297,98,113
298,98,113
299,98,113
300,98,112
301,97,112
302,97,112
303,97,112
304,97,112
305,97,112
306,97,112
307,97,111
308,96,111
309,96,111
310,96,111
311,96,111
312,96,111
313,96,111
314,95,111
315,95,110
316,95,110
317,95,110
318,95,110
319,95,110
320,94,110
321,94,110
322,94,109
323,94,109
324,94,109
325,94,109
326,93,109
327,93,109
328,93,109
329,93,109
330,93,108
331,93,108
332,93,108
333,92,108
334,92,108
335,92,108
336,92,108
337,92,108
338,92,108
339,91,108
340,91,108
341,91,108
342,91,108
343,91,108
344,91,108
345,91,108
346,90,108
347,90,108
348,90,108
349,90,108
350,90,108
351,90,108
352,89,108
353,89,108
354,89,108
355,89,106
356,89,105
357,89,103
358,88,101
359,88,99
360,88,98
361,88,96
362,88,94
363,88,93
364,88,91
365,87,89
366,87,87
0,79
86,369,369
87,366,375
88,365,379
89,365,382
90,364,384
91,364,387
92,363,389
93,362,390
94,362,392
95,361,394
96,361,396
97,360,397
98,360,399
99,359,400
100,358,402
101,358,403
102,357,405
103,357,406
104,356,408
105,355,409
106,355,411
107,354,412
108,354,414
109,355,415
110,356,416
111,358,417
112,358,419
113,359,420
114,360,421
115,361,422
116,361,423
117,361,424
118,361,425
119,361,426
120,361,426
121,361,427
122,361,426
123,360,426
124,360,425
125,360,423
126,359,422
127,359,420
128,359,417
129,359,415
130,358,413
131,358,410
132,357,408
133,357,405
134,357,403
135,356,400
136,356,398
137,356,396
138,355,394
139,355,392
140,355,390
141,354,388
142,354,387
143,354,385
144,353,383
145,353,382
146,353,380
147,352,379
148,352,377
149,352,376
150,351,374
151,351,373
152,351,371
153,350,370
154,350,369
155,350,367
156,349,366
157,349,365
158,349,363
159,348,362
160,348,361
161,348,359
162,349,358
163,350,356
164,352,353
0,0
0,188
174,163,163
175,159,168
176,158,171
177,157,173
178,157,175
179,157,176
180,157,178
181,157,179
182,157,180
183,157,182
184,158,183
185,158,184
186,158,185
187,158,186
188,159,187
189,159,188
190,159,189
191,159,190
192,159,191
193,159,192
194,159,193
195,159,194
196,159,194
197,159,195
198,159,196
199,159,196
200,158,196
201,158,197
202,158,197
203,158,197
204,158,197
205,157,197
206,157,197
207,157,197
208,156,196
209,156,196
210,156,195
211,155,194
