1,148
56,169,169
57,168,171
58,167,172
59,167,173
60,167,173
61,166,174
62,166,175
63,166,175
64,166,176
65,166,176
66,165,177
67,165,177
68,165,178
69,165,178
70,165,179
71,165,179
72,165,179
73,165,180
74,165,180
75,165,180
76,165,181
77,164,181
78,164,181
79,164,182
80,164,182
81,164,182
82,164,182
83,164,182
84,164,182
85,164,183
86,164,183
87,163,183
88,163,183
89,163,183
90,163,183
91,163,183
92,163,183
93,163,183
94,163,184
95,163,183
96,162,183
97,162,183
98,162,183
99,162,183
100,162,183
101,162,183
102,162,182
103,161,182
104,161,182
105,161,182
106,161,182
107,161,182
108,161,181
109,160,181
110,160,181
111,160,181
112,160,181
113,160,180
114,160,180
115,159,180
116,159,180
117,159,180
118,159,180
119,159,179
120,158,179
121,158,179
122,158,179
123,158,179
124,157,179
125,157,178
126,157,178
127,157,178
128,157,178
129,156,178
130,156,178
131,156,177
132,156,177
133,155,177
134,155,177
135,155,177
136,155,177
137,154,176
138,154,176
139,154,176
140,154,176
141,153,176
142,153,176
143,153,175
144,153,175
145,152,175
146,152,175
147,152,175
148,151,174
149,151,174
150,151,174
151,151,174
152,150,174
153,150,174
154,150,173
155,150,173
156,149,173
157,149,173
158,149,173
159,148,172
160,148,172
161,148,172
162,147,172
163,147,172
164,147,172
165,147,171
166,147,171
167,146,171
168,146,171
169,146,171
170,146,171
171,146,170
172,146,170
173,146,170
174,146,170
175,146,170
176,146,169
177,146,169
178,145,169
179,146,169
180,146,169
181,146,168
182,146,168
183,147,168
184,147,168
185,147,168
186,147,167
187,148,167
188,148,167
189,148,167
190,148,167
191,149,166
192,149,166
193,149,166
194,150,166
195,150,165
196,151,165
197,151,165
198,152,165
199,152,164
200,153,164
201,154,163
202,155,162
203,157,161
0,0
0,407
42,130,130
43,125,136
44,123,140
45,122,144
46,121,146
47,121,149
48,121,151
49,121,154
50,121,156
51,121,157
52,122,159
53,122,160
54,123,162
55,124,163
56,124,164
57,125,165
58,126,166
59,126,166
60,127,167
61,128,167
62,128,168
63,129,168
64,129,168
65,130,168
66,130,168
67,131,168
68,131,168
69,132,168
70,132,168
71,132,168
72,132,168
73,133,168
74,133,167
75,133,167
76,134,166
77,134,166
78,134,166
79,134,165
80,134,165
81,134,165
82,134,164
83,134,164
84,134,164
85,135,164
86,135,163
87,135,163
88,135,163
89,135,163
90,135,163
91,135,162
92,135,162
93,135,162
94,135,162
95,135,162
96,135,161
97,135,161
98,135,161
99,135,161
100,135,161
101,135,161
102,135,161
103,135,160
104,135,160
105,135,160
106,135,160
107,135,160
108,135,160
109,135,160
110,135,160
111,135,160
112,135,159
113,135,159
114,135,159
115,135,159
116,135,159
117,135,159
118,135,159
119,135,159
120,135,159
121,135,159
122,135,159
123,135,159
124,135,158
125,135,158
126,135,158
127,135,158
128,135,158
129,135,158
130,135,158
131,135,158
132,135,158
133,135,158
134,135,158
135,135,158
136,135,158
137,135,158
138,135,158
139,135,158
140,135,158
141,135,158
142,135,158
143,135,158
144,135,158
145,135,157
146,135,157
147,135,157
148,135,157
149,135,157
150,135,157
151,135,157
152,135,157
153,135,157
154,135,157
155,135,157
156,135,157
157,135,157
158,135,157
159,135,157
160,135,157
161,135,157
162,135,157
163,135,157
164,135,157
165,135,157
166,135,157
167,135,157
168,135,157
169,135,157
170,135,157
171,135,157
172,135,157
173,135,157
174,135,157
175,135,157
176,135,156
177,135,156
178,135,156
179,135,156
180,135,156
181,135,156
182,135,156
183,135,156
184,135,156
185,135,156
186,135,156
187,135,156
188,135,156
189,135,156
190,135,156
191,135,156
192,135,156
193,135,156
194,135,156
195,135,156
196,135,156
197,135,156
198,135,156
199,135,156
200,135,156
201,135,156
202,135,156
203,135,156
204,135,156
205,135,156
206,135,156
207,135,156
208,135,156
209,135,156
210,135,156
211,135,156
212,135,156
213,135,156
214,135,156
215,134,156
216,134,156
217,134,156
218,134,156
219,134,156
220,134,156
221,134,156
222,134,156
223,134,156
224,134,156
225,134,156
226,134,156
227,134,156
228,134,156
229,134,156
230,134,156
231,134,156
232,134,156
233,134,156
234,134,156
235,134,156
236,134,156
237,134,156
238,134,156
239,134,156
240,134,156
241,134,156
242,134,156
243,134,156
244,134,156
245,134,156
246,134,156
247,134,156
248,134,156
249,134,156
250,134,156
251,134,156
252,134,156
253,134,156
254,134,156
255,134,156
256,134,156
257,134,156
258,134,156
259,134,156
260,134,156
261,134,156
262,134,156
263,134,156
264,134,156
265,134,156
266,134,156
267,134,156
268,134,156
269,134,156
270,133,156
271,133,156
272,133,156
273,133,156
274,133,156
275,133,156
276,133,156
277,133,156
278,133,156
279,133,156
280,133,156
281,133,156
282,133,156
283,133,156
284,133,156
285,133,156
286,133,156
287,133,156
288,133,156
289,133,156
290,133,156
291,133,156
292,133,156
293,133,156
294,133,156
295,133,156
296,133,156
297,133,156
298,133,156
299,133,156
300,133,156
301,133,156
302,133,156
303,133,156
304,133,156
305,133,157
306,133,157
307,133,157
308,133,157
309,132,157
310,132,157
311,132,157
312,132,157
313,132,157
314,132,157
315,132,157
316,132,157
317,132,157
318,132,157
319,132,157
320,132,157
321,132,157
322,132,157
323,132,157
324,132,157
325,132,157
326,132,157
327,132,157
328,132,157
329,132,157
330,132,157
331,132,157
332,132,157
333,132,157
334,132,157
335,131,157
336,131,158
337,131,158
338,131,158
339,131,158
340,131,158
341,131,158
342,131,158
343,131,158
344,131,158
345,131,158
346,131,158
347,131,158
348,131,158
349,131,158
350,131,158
351,131,158
352,131,158
353,131,158
354,130,158
355,130,158
356,130,158
357,130,158
358,130,158
359,130,158
360,130,159
361,130,159
362,130,159
363,130,159
364,130,159
365,130,159
366,130,159
367,130,159
368,129,159
369,129,159
370,129,159
371,129,159
372,129,159
373,129,159
374,129,159
375,129,159
376,129,159
377,129,159
378,128,160
379,128,160
380,128,160
381,128,160
382,128,160
383,128,159
384,128,159
385,127,159
386,127,159
387,127,159
388,127,159
389,126,159
390,126,159
391,125,159
392,125,159
393,126,159
394,126,159
395,126,159
396,126,159
397,126,159
398,127,159
399,127,159
400,127,159
401,127,158
402,127,158
403,128,158
404,128,158
405,128,158
406,128,158
407,128,158
408,129,158
409,129,157
410,129,157
411,129,157
412,129,157
413,130,157
414,130,157
415,130,156
416,130,156
417,130,156
418,131,156
419,131,155
420,131,155
421,131,155
422,131,155
423,132,154
424,132,154
425,132,154
426,132,153
427,132,153
428,133,152
429,133,152
430,133,152
431,133,151
432,133,151
433,134,150
434,134,150
435,134,149
436,134,149
437,134,148
438,135,148
439,135,147
440,135,147
441,135,146
442,136,145
443,136,145
444,136,144
445,136,143
446,136,142
447,137,140
448,137,137
1,61
137,446,448
136,441,447
135,436,447
134,431,447
133,426,446
132,421,445
131,416,445
130,411,444
129,406,443
128,401,442
127,397,440
126,392,439
125,391,437
124,392,436
123,392,434
122,392,432
121,392,430
120,392,428
119,392,427
118,392,425
117,392,424
116,392,422
115,391,421
114,391,419
113,391,418
112,390,417
111,390,416
110,389,415
109,389,413
108,389,412
107,388,411
106,388,410
105,387,409
104,387,408
103,387,407
102,386,406
101,386,405
100,386,404
99,385,403
98,385,402
97,385,401
96,384,400
95,384,399
94,384,398
93,383,397
92,383,396
91,382,395
90,382,394
89,382,393
88,381,392
87,381,392
86,380,391
85,380,390
84,380,389
83,380,388
82,379,387
81,379,386
80,379,385
79,378,384
78,379,382
77,380,380
0,0
1,159
37,313,317
38,312,319
39,311,320
40,310,321
41,310,322
42,309,323
43,309,324
44,308,325
45,308,326
46,307,326
47,307,327
48,307,328
49,306,328
50,306,329
51,305,330
52,305,330
53,304,331
54,304,331
55,303,332
56,303,332
57,302,333
58,302,333
59,301,333
60,300,334
61,300,334
62,299,334
63,299,334
64,298,335
65,298,335
66,297,335
67,296,335
68,296,335
69,295,335
70,295,334
71,294,334
72,293,334
73,293,333
74,292,332
75,291,332
76,291,330
77,290,329
78,290,328
79,289,327
80,288,326
81,288,325
82,287,324
83,287,323
84,286,322
85,285,321
86,285,321
87,284,320
88,284,319
89,283,318
90,282,317
91,282,316
92,281,315
93,281,314
94,280,313
95,279,312
96,279,311
97,278,311
98,277,310
99,277,309
100,276,308
101,276,307
102,275,306
103,274,305
104,274,304
105,273,303
106,273,302
107,272,302
108,272,301
109,271,300
110,270,299
111,270,298
112,269,297
113,268,296
114,268,295
115,267,295
116,267,294
117,266,293
118,265,292
119,265,291
120,264,290
121,264,289
122,263,288
123,262,288
124,262,287
125,261,286
126,261,285
127,260,284
128,259,283
129,259,282
130,258,281
131,258,281
132,257,280
133,257,279
134,256,278
135,255,277
136,255,276
137,254,275
138,254,275
139,253,274
140,252,273
141,252,272
142,251,271
143,251,270
144,250,270
145,249,269
146,249,268
147,248,267
148,248,266
149,247,266
150,246,265
151,246,264
152,245,263
153,245,262
154,244,261
155,243,261
156,243,260
157,242,259
158,242,258
159,241,257
160,241,257
161,240,256
162,239,255
163,239,254
164,238,254
165,238,253
166,237,252
167,236,251
168,236,251
169,235,250
170,235,249
171,234,248
172,234,248
173,233,247
174,233,246
175,232,245
176,231,245
177,230,244
178,230,243
179,229,242
180,228,242
181,228,241
182,227,240
183,227,239
184,226,238
185,226,238
186,225,237
187,225,236
188,224,235
189,224,234
190,224,233
191,224,232
192,223,231
193,223,230
194,224,229
195,224,227
0,0
0,108
33,317,318
34,312,323
35,310,327
36,309,329
37,308,332
38,308,334
39,308,336
40,308,338
41,308,340
42,308,341
43,309,343
44,309,344
45,310,346
46,310,347
47,311,348
48,311,349
49,312,350
50,313,351
51,313,352
52,313,352
53,314,353
54,314,353
55,314,352
56,315,352
57,315,352
58,315,351
59,316,351
60,316,351
61,316,350
62,316,350
63,317,350
64,317,350
65,317,349
66,317,349
67,317,349
68,317,349
69,318,349
70,318,349
71,318,348
72,318,348
73,318,348
74,318,348
75,318,348
76,319,348
77,319,347
78,319,347
79,319,347
80,319,347
81,319,347
82,319,347
83,319,347
84,319,347
85,319,346
86,319,346
87,319,346
88,319,346
89,320,346
90,320,346
91,320,346
92,320,345
93,320,345
94,320,345
95,320,345
96,320,345
97,320,345
98,320,345
99,320,344
100,320,344
101,320,344
102,320,344
103,320,344
104,320,344
105,320,344
106,321,344
107,321,343
108,321,343
109,321,343
110,321,343
111,321,343
112,321,343
113,321,343
114,321,343
115,321,342
116,321,342
117,321,342
118,321,342
119,321,342
120,321,342
121,321,341
122,321,341
123,321,341
124,321,341
125,321,341
126,321,341
127,321,341
128,321,341
129,321,340
130,321,340
131,321,340
132,321,340
133,321,340
134,321,340
135,321,340
136,321,338
137,321,334
138,321,330
139,321,327
140,321,323
0,0
1,95
327,84,84
328,83,86
329,82,87
330,82,87
331,81,88
332,81,88
333,81,89
334,80,89
335,80,90
336,80,90
337,80,91
338,80,91
339,80,91
340,79,92
341,79,92
342,79,92
343,79,93
344,79,93
345,79,93
346,79,94
347,79,94
348,79,94
349,78,94
350,78,94
351,78,95
352,78,95
353,78,95
354,78,95
355,77,95
356,77,95
357,77,95
358,77,96
359,77,95
360,76,95
361,76,95
362,76,95
363,76,95
364,75,95
365,75,95
366,75,95
367,75,94
368,74,94
369,74,94
370,74,94
371,73,94
372,73,94
373,73,93
374,73,93
375,72,93
376,72,93
377,72,92
378,71,92
379,71,92
380,70,92
381,70,91
382,70,91
383,69,91
384,69,91
385,69,91
386,69,90
387,69,90
388,68,90
389,68,90
390,68,89
391,68,89
392,68,89
393,68,89
394,68,89
395,67,88
396,67,88
397,67,88
398,68,88
399,68,88
400,68,87
401,68,87
402,68,87
403,68,87
404,69,86
405,69,86
406,69,86
407,69,86
408,69,86
409,70,85
410,70,85
411,70,85
412,71,85
413,71,84
414,71,84
415,72,84
416,72,83
417,73,83
418,74,83
419,75,82
420,76,81
420,76,76
0,0
1,182
228,151,154
229,150,155
230,150,156
231,150,157
232,149,158
233,149,159
234,149,160
235,149,161
236,149,162
237,149,162
238,148,163
239,148,163
240,148,164
241,148,164
242,148,165
243,148,165
244,148,165
245,148,166
246,147,166
247,147,166
248,147,166
249,147,166
250,147,166
251,147,166
252,147,166
253,146,167
254,146,166
255,146,166
256,146,166
257,146,166
258,146,166
259,146,166
260,145,165
261,145,165
262,145,165
263,145,165
264,145,164
265,145,164
266,144,164
267,144,163
268,144,163
269,144,163
270,144,162
271,144,162
272,144,162
273,143,161
274,143,161
275,143,161
276,143,161
277,143,160
278,143,160
279,142,160
280,142,160
281,142,159
282,142,159
283,142,159
284,142,158
285,141,158
286,141,158
287,141,158
288,141,157
289,141,157
290,141,157
291,140,157
292,140,156
293,140,156
294,140,156
295,140,156
296,139,156
297,139,155
298,139,155
299,139,155
300,139,155
301,139,154
302,138,154
303,138,154
304,138,154
305,138,154
306,138,153
307,138,153
308,137,153
309,137,153
310,137,153
311,137,152
312,137,152
313,137,152
314,136,152
315,136,152
316,136,151
317,136,151
318,136,151
319,136,151
320,135,151
321,135,151
322,135,150
323,135,150
324,135,150
325,135,150
326,134,150
327,134,149
