0,60
68,120,120
69,116,128
70,115,132
71,114,137
72,114,141
73,113,145
74,113,148
75,113,152
76,114,155
77,114,158
78,114,160
79,114,163
80,115,165
81,115,167
82,116,169
83,116,171
84,117,172
85,118,173
86,119,174
87,120,175
88,121,176
89,122,177
90,123,178
91,124,178
92,125,179
93,126,179
94,128,179
95,129,180
96,130,180
97,131,180
98,132,181
99,134,181
100,135,181
101,136,181
102,137,181
103,138,182
104,139,182
105,140,182
106,141,182
107,142,182
108,143,183
109,144,183
110,145,183
111,146,183
112,147,183
113,148,183
114,149,183
115,150,183
116,151,182
117,152,182
118,153,182
119,154,182
120,155,181
121,156,181
122,158,180
123,159,180
124,160,179
125,162,178
126,164,176
127,167,173
0,0
0,64
165,70,76
166,68,81
167,67,84
168,67,87
169,67,90
170,67,92
171,67,95
172,67,98
173,67,101
174,67,103
175,67,105
176,68,108
177,68,110
178,68,111
179,69,113
180,69,115
181,70,116
182,71,118
183,72,119
184,72,120
185,73,122
186,74,123
187,75,124
188,76,125
189,77,126
190,78,127
191,78,128
192,79,129
193,80,129
194,81,130
195,82,131
196,83,131
197,84,132
198,84,132
199,85,132
200,86,133
201,87,133
202,88,133
203,89,134
204,90,134
205,91,134
206,92,134
207,92,134
208,93,134
209,94,135
210,95,135
211,96,135
212,97,135
213,98,134
214,100,134
215,101,134
216,102,134
217,103,134
218,104,134
219,105,133
220,107,133
221,108,132
222,110,132
223,112,131
224,113,130
225,115,129
226,117,128
227,120,126
228,123,123
0,0
0,187
422,105,105
421,101,109
420,99,110
419,97,111
418,96,111
417,95,112
416,94,112
415,93,113
414,92,113
413,91,113
412,90,113
411,90,113
410,89,113
409,88,113
408,88,113
407,87,113
406,87,114
405,86,114
404,86,114
403,85,114
402,85,114
401,84,114
400,84,115
399,83,115
398,83,115
397,82,115
396,82,116
395,82,116
394,81,116
393,81,116
392,80,117
391,80,117
390,80,117
389,79,117
388,79,118
387,78,118
386,78,118
385,78,119
384,77,119
383,77,119
382,77,120
381,77,120
380,76,120
379,76,120
378,76,121
377,75,121
376,75,121
375,75,122
374,75,122
373,74,122
372,74,123
371,74,123
370,74,123
369,74,124
368,74,124
367,73,124
366,73,125
365,73,125
364,73,125
363,73,126
362,74,126
361,74,126
360,74,127
359,75,127
358,76,127
357,77,128
356,79,128
355,80,128
354,81,129
353,83,129
352,84,130
351,85,130
350,86,130
349,87,131
348,88,131
347,89,132
346,90,132
345,91,132
344,92,133
343,93,133
342,94,133
341,94,134
340,95,134
339,96,135
338,97,135
337,98,135
336,98,136
335,99,136
334,100,136
333,101,137
332,101,137
331,102,138
330,103,138
329,103,138
328,104,139
327,105,139
326,106,140
325,106,140
324,107,140
323,108,141
322,108,141
321,109,142
320,109,142
319,110,142
318,111,143
317,111,143
316,112,143
315,113,144
314,113,144
313,114,145
312,115,145
311,115,145
310,116,146
309,117,146
308,117,146
307,118,147
306,118,147
305,119,148
304,120,148
303,120,148
302,121,149
301,122,149
300,122,150
299,123,150
298,124,150
297,124,151
296,125,151
295,126,152
294,126,152
293,127,152
292,128,153
291,128,153
290,129,153
289,129,154
288,130,154
287,131,155
286,131,155
285,132,155
284,133,156
283,133,156
282,134,157
281,135,157
280,135,157
279,136,158
278,136,158
277,137,158
276,138,159
275,138,159
274,139,160
273,140,160
272,140,160
271,141,161
270,142,161
269,142,162
268,143,162
267,144,162
266,144,163
265,145,163
264,146,164
263,146,164
262,147,164
261,148,165
260,148,165
259,149,165
258,149,166
257,150,166
256,151,167
255,152,167
254,152,167
253,153,168
252,153,168
251,154,169
250,155,169
249,155,169
248,156,170
247,157,170
246,158,171
245,159,171
244,159,171
243,160,171
242,161,172
241,162,172
240,163,172
239,165,172
238,166,172
237,167,171
236,170,170
0,0
0,149
47,310,310
48,304,317
49,301,321
50,299,324
51,298,326
52,297,328
53,297,330
54,296,332
55,296,334
56,296,336
57,296,337
58,297,339
59,297,340
60,297,342
61,298,343
62,298,344
63,298,345
64,299,346
65,299,347
66,299,348
67,299,349
68,299,349
69,300,350
70,300,350
71,300,350
72,300,350
73,300,350
74,300,349
75,299,348
76,299,348
77,299,346
78,299,345
79,299,344
80,299,343
81,298,342
82,298,341
83,297,340
84,297,339
85,297,339
86,296,338
87,296,337
88,296,336
89,295,335
90,295,335
91,295,334
92,294,333
93,294,332
94,293,331
95,293,331
96,293,330
97,292,329
98,292,328
99,292,328
100,291,327
101,291,326
102,290,325
103,290,324
104,290,324
105,289,323
106,289,322
107,288,322
108,288,321
109,287,320
110,287,319
111,287,318
112,286,318
113,286,317
114,286,316
115,285,316
116,285,315
117,284,314
118,284,313
119,283,313
120,283,312
121,283,311
122,282,310
123,282,310
124,281,309
125,281,308
126,280,308
127,280,307
128,280,306
129,279,305
130,279,305
131,278,304
132,278,303
133,277,302
134,277,302
135,276,301
136,276,300
137,276,300
138,275,299
139,275,298
140,274,297
141,274,297
142,273,296
143,273,295
144,272,295
145,272,294
146,271,293
147,271,293
148,271,292
149,270,291
150,270,290
151,269,290
152,269,289
153,268,288
154,268,288
155,267,287
156,267,286
157,266,286
158,266,285
159,265,284
160,265,283
161,264,283
162,264,282
163,264,281
164,263,281
165,263,280
166,262,279
167,262,279
168,261,278
169,261,277
170,260,277
171,260,276
172,259,275
173,259,275
174,258,274
175,258,273
176,257,273
177,257,272
178,256,271
179,256,270
180,255,270
181,255,269
182,254,269
183,254,268
184,253,267
185,253,266
186,253,266
187,252,265
188,252,264
189,251,264
190,251,263
191,251,262
192,251,262
193,251,261
194,253,259
195,256,256
0,0
0,244
175,214,214
176,210,220
177,208,222
