0,59
80,98,98
81,94,105
82,93,110
83,92,114
84,92,118
85,92,121
86,92,124
87,92,127
88,92,130
89,93,133
90,93,136
91,93,138
92,94,140
93,95,143
94,95,145
95,96,147
96,97,148
97,98,150
98,99,151
99,100,152
100,101,153
101,102,154
102,103,155
103,105,156
104,106,156
105,107,157
106,108,157
107,110,158
108,111,158
109,112,159
110,113,159
111,114,159
112,115,159
113,117,160
114,118,160
115,119,160
116,120,160
117,121,161
118,122,161
119,123,161
120,125,161
121,126,161
122,127,161
123,128,161
124,129,161
125,130,161
126,131,161
127,132,161
128,133,161
129,134,161
130,135,161
131,137,160
132,138,160
133,139,159
134,140,159
135,141,158
136,143,157
137,146,155
138,151,151
0,0
0,59
171,64,65
172,61,71
173,60,74
174,59,77
175,59,79
176,59,82
177,59,85
178,59,88
179,59,90
180,59,93
181,60,95
182,60,97
183,60,99
184,61,101
185,62,102
186,62,104
187,63,105
188,64,107
189,64,108
190,65,109
191,66,110
192,67,112
193,68,113
194,69,114
195,70,115
196,70,115
197,71,116
198,72,117
199,73,117
200,74,118
201,75,118
202,75,119
203,76,119
204,77,119
205,78,120
206,79,120
207,80,120
208,81,120
209,82,121
210,82,121
211,83,121
212,84,121
213,85,121
214,86,121
215,87,121
216,88,121
217,89,121
218,91,121
219,92,120
220,93,120
221,94,120
222,96,119
223,97,119
224,98,118
225,100,118
226,102,117
227,104,116
228,106,114
229,110,111
0,0
0,171
418,91,91
417,88,94
416,86,96
415,84,96
414,83,97
413,82,97
412,81,98
411,80,98
410,79,98
409,78,98
408,77,98
407,77,99
406,76,99
405,76,99
404,75,99
403,75,99
402,74,99
401,74,100
400,73,100
399,73,100
398,72,100
397,72,100
396,72,101
395,71,101
394,71,101
393,70,102
392,70,102
391,70,102
390,69,102
389,69,103
388,69,103
387,68,103
386,68,104
385,68,104
384,67,104
383,67,105
382,67,105
381,66,105
380,66,106
379,66,106
378,66,106
377,65,107
376,65,107
375,65,107
374,65,108
373,65,108
372,64,108
371,64,109
370,64,109
369,64,109
368,64,110
367,64,110
366,64,111
365,64,111
364,64,111
363,64,112
362,64,112
361,65,113
360,65,113
359,67,113
358,69,114
357,70,114
356,71,115
355,73,115
354,74,115
353,75,116
352,76,116
351,77,117
350,78,117
349,79,118
348,80,118
347,81,118
346,82,119
345,83,119
344,84,120
343,85,120
342,85,120
341,86,121
340,87,121
339,88,122
338,89,122
337,90,123
336,90,123
335,91,123
334,92,124
333,92,124
332,93,125
331,94,125
330,95,125
329,95,126
328,96,126
327,97,127
326,97,127
325,98,128
324,99,128
323,100,128
322,100,129
321,101,129
320,101,130
319,102,130
318,103,131
317,103,131
316,104,131
315,105,132
314,105,132
313,106,133
312,107,133
311,107,133
310,108,134
309,109,134
308,109,135
307,110,135
306,111,136
305,112,136
304,112,136
303,113,137
302,114,137
301,114,138
300,115,138
299,116,139
298,116,139
297,117,139
296,118,140
295,118,140
294,119,141
293,120,141
292,120,142
291,121,142
290,122,142
289,122,143
288,123,143
287,124,144
286,124,144
285,125,144
284,126,145
283,126,145
282,127,146
281,128,146
280,129,147
279,129,147
278,130,148
277,131,148
276,131,148
275,132,149
274,133,149
273,133,150
272,134,150
271,135,150
270,135,151
269,136,151
268,137,152
267,137,152
266,138,153
265,139,153
264,139,154
263,140,154
262,141,154
261,142,155
260,142,155
259,143,156
258,144,156
257,145,156
256,145,157
255,146,157
254,147,157
253,148,158
252,149,158
251,150,158
250,152,158
249,153,158
248,156,156
0,0
0,58
37,260,260
38,257,265
39,255,270
40,255,274
41,254,277
42,254,281
43,254,284
44,255,287
45,255,289
46,255,292
47,255,295
48,256,297
49,257,300
50,257,302
51,258,304
52,259,306
53,260,308
54,261,310
55,262,311
56,263,313
57,264,314
58,266,315
59,267,316
60,268,317
61,269,318
62,271,318
63,272,319
64,273,319
65,274,320
66,276,320
67,277,321
68,278,321
69,279,321
70,280,322
71,282,322
72,283,322
73,284,322
74,285,322
75,286,323
76,287,323
77,289,323
78,290,323
79,291,323
80,292,323
81,293,323
82,294,323
83,295,323
84,296,323
85,298,323
86,299,323
87,300,323
88,301,323
89,302,322
90,303,322
91,304,321
92,306,320
93,308,319
94,311,316
0,0
0,96
110,202,202
111,199,204
112,198,205
113,197,207
114,197,208
115,196,209
116,196,209
117,196,210
118,196,211
119,196,212
120,196,213
121,196,213
122,196,214
123,196,215
124,196,216
125,196,216
126,196,217
127,196,218
128,196,218
129,196,219
130,196,219
131,196,220
132,196,220
133,196,221
134,195,221
135,195,221
136,195,222
137,195,222
138,194,222
139,194,222
140,194,222
141,194,222
142,193,222
143,193,221
144,193,221
145,192,221
146,192,220
147,192,220
148,191,219
149,191,218
150,190,218
151,190,217
152,190,217
153,189,216
154,189,216
155,188,216
156,188,215
157,188,215
158,187,214
159,187,214
160,186,214
161,186,213
162,185,213
163,185,212
164,185,212
165,184,212
166,183,211
167,183,211
168,182,211
169,182,210
170,182,210
171,181,210
172,181,209
173,181,209
174,180,209
175,180,208
176,180,208
177,180,207
178,180,207
179,180,207
180,180,206
181,180,206
182,180,206
183,180,205
184,180,205
185,180,204
186,180,204
187,181,204
188,181,203
189,181,203
190,181,202
191,182,202
192,182,202
193,182,201
194,183,200
195,183,200
196,183,199
197,184,199
198,185,198
199,185,197
200,186,197
201,186,196
202,187,195
203,188,194
204,189,194
205,192,192
0,0
1,205
201,129,133
202,129,134
203,128,135
204,128,136
205,128,137
206,128,138
207,128,139
208,127,140
209,127,140
210,127,141
211,127,142
212,127,142
213,127,143
214,127,143
215,126,143
216,126,144
217,126,144
218,126,144
219,126,144
220,126,144
221,126,145
222,126,145
223,126,145
224,125,145
225,125,145
226,125,145
227,125,145
228,125,145
229,125,145
230,125,144
231,124,144
232,124,144
233,124,144
234,124,144
235,124,143
236,124,143
237,124,143
238,124,142
239,123,142
240,123,142
241,123,142
242,123,141
243,123,141
244,123,141
245,122,140
246,122,140
247,122,140
248,122,140
249,122,139
250,122,139
251,122,139
252,121,138
253,121,138
254,121,138
255,121,138
256,121,137
257,121,137
258,120,137
259,120,137
260,120,136
261,120,136
262,120,136
263,120,136
264,120,135
265,119,135
266,119,135
267,119,135
268,119,135
269,119,134
270,118,134
271,118,134
272,118,134
273,118,133
274,118,133
275,118,133
276,118,133
277,117,132
278,117,132
279,117,132
280,117,132
281,117,132
282,117,132
283,116,131
284,116,131
285,116,131
286,116,131
287,116,131
288,116,130
289,115,130
290,115,130
291,115,130
292,115,130
293,115,129
294,115,129
295,115,129
296,114,129
297,114,129
298,114,129
299,114,128
300,114,128
301,114,128
302,113,128
303,113,128
304,113,128
305,113,127
306,113,127
307,113,127
308,113,127
309,112,127
310,112,127
311,112,126
312,112,126
313,112,126
314,112,126
315,111,126
316,111,126
317,111,125
318,111,125
319,111,125
320,111,125
321,111,125
322,110,125
323,110,125
324,110,124
325,110,124
326,110,124
327,110,124
328,110,124
329,109,124
330,109,124
331,109,123
332,109,123
333,109,123
334,109,123
335,109,123
336,108,123
337,108,122
338,108,122
339,108,122
340,108,122
341,108,122
342,108,122
343,107,122
344,107,121
345,107,121
346,107,121
347,107,121
348,107,121
349,106,121
350,106,121
351,106,120
352,106,120
353,106,120
354,106,120
355,106,120
356,105,120
357,105,120
358,105,119
359,105,119
360,105,119
361,105,119
362,105,119
363,104,119
364,104,119
365,104,119
366,104,118
367,104,118
368,104,118
369,104,118
370,103,118
371,103,118
372,103,118
373,103,118
374,103,118
375,103,118
376,103,117
377,102,117
378,102,117
379,102,117
380,102,117
381,102,117
382,102,117
383,101,117
384,101,117
385,101,117
386,101,117
387,101,117
388,101,117
389,101,117
390,101,117
391,100,117
392,100,117
393,100,117
394,100,117
395,100,115
396,100,113
397,99,112
398,99,110
399,99,109
400,99,107
401,99,105
402,99,104
403,99,102
404,99,100
405,98,99
0,71
98,405,410
99,404,414
100,404,416
101,403,419
102,403,421
103,402,423
104,401,424
105,401,426
106,400,427
107,400,429
108,399,430
109,398,431
110,398,433
111,397,434
112,397,435
113,396,437
114,395,438
115,395,439
116,394,440
117,393,441
118,395,442
119,397,444
120,398,445
121,399,446
122,400,447
123,400,448
124,400,449
125,400,450
126,400,451
127,399,452
128,399,453
129,398,454
130,398,455
131,397,456
132,397,456
133,396,457
134,395,458
135,395,458
136,394,458
137,394,457
138,393,455
139,392,453
140,392,451
141,391,448
142,391,445
143,390,441
144,389,437
145,389,433
146,388,430
147,388,427
148,387,424
149,387,422
150,386,419
151,385,417
152,385,415
153,384,413
154,384,411
155,383,409
156,382,407
157,382,405
158,381,403
159,381,401
160,380,399
161,380,398
162,379,396
163,379,394
164,378,392
165,378,391
166,378,389
167,379,387
168,380,385
0,0
0,272
184,235,235
185,231,238
186,229,241
187,228,243
188,227,245
189,227,247
190,227,249
191,227,250
192,227,252
193,228,254
194,228,255
195,228,256
196,229,258
197,229,259
198,229,260
199,230,260
200,230,261
201,230,261
202,231,262
203,231,262
204,232,262
205,232,262
206,233,262
207,233,262
208,234,262
209,234,262
210,234,262
211,235,262
212,235,262
213,235,262
214,236,262
215,236,262
216,236,262
217,236,261
218,236,261
219,236,261
220,237,261
221,237,261
222,237,261
223,237,261
224,237,261
225,237,261
226,237,261
227,238,261
228,238,261
229,238,261
230,238,261
231,238,261
232,238,261
233,238,261
234,238,261
235,238,260
236,238,260
237,238,260
238,238,260
239,238,260
240,239,260
241,239,260
242,239,260
243,239,260
244,239,260
245,239,260
246,239,260
247,239,260
248,239,260
249,239,260
250,239,260
251,239,260
252,239,260
253,239,260
254,239,260
255,239,260
256,239,260
257,239,260
258,239,260
259,239,260
260,239,260
261,239,260
262,239,260
263,239,260
264,239,260
265,239,260
266,239,260
267,239,260
268,239,259
269,239,259
270,239,259
271,239,259
272,239,259
273,239,259
274,239,259
275,239,259
276,239,259
277,239,259
278,239,259
279,239,259
280,239,259
281,239,259
282,239,259
283,239,259
284,239,259
285,239,259
286,239,259
287,239,259
288,239,259
289,239,259
290,239,259
291,239,259
292,239,259
293,239,259
294,239,259
295,239,259
296,239,259
297,239,259
298,239,259
299,239,259
300,239,259
301,239,259
302,239,259
303,239,259
304,239,259
305,239,259
306,239,259
307,239,259
308,239,259
309,239,259
310,239,259
311,238,259
312,238,259
313,238,258
314,238,258
315,238,258
316,238,258
317,238,258
