0,59
69,107,112
70,105,116
71,104,119
72,104,122
73,104,125
74,104,128
75,104,131
76,104,133
77,104,136
78,104,138
79,104,140
80,105,143
81,105,145
82,106,147
83,106,149
84,107,150
85,108,152
86,109,153
87,109,155
88,110,156
89,111,157
90,112,158
91,113,159
92,114,160
93,115,160
94,116,161
95,117,161
96,118,162
97,119,162
98,120,162
99,121,162
100,122,163
101,123,163
102,124,163
103,125,163
104,126,163
105,127,164
106,127,164
107,128,164
108,129,164
109,130,164
110,131,164
111,132,164
112,133,164
113,133,164
114,134,164
115,135,164
116,136,164
117,137,164
118,138,163
119,139,163
120,139,163
121,140,162
122,141,162
123,143,161
124,144,160
125,145,159
126,148,158
127,151,154
0,0
0,55
169,58,58
170,55,64
171,54,68
172,53,71
173,53,74
174,53,77
175,53,79
176,53,82
177,53,85
178,54,87
179,54,90
180,54,92
181,55,93
182,55,95
183,56,96
184,57,98
185,58,99
186,58,101
187,59,102
188,60,103
189,61,104
190,62,106
191,63,106
192,64,107
193,65,108
194,66,109
195,66,109
196,67,110
197,68,110
198,69,111
199,70,111
200,71,111
201,72,112
202,73,112
203,74,112
204,75,112
205,76,113
206,77,113
207,77,113
208,79,113
209,80,113
210,81,113
211,82,113
212,83,113
213,84,113
214,85,112
215,86,112
216,88,112
217,89,111
218,91,111
219,92,110
220,94,109
221,96,109
222,98,107
223,102,105
0,0
0,167
426,80,84
425,77,85
424,75,86
423,74,87
422,72,87
421,71,87
420,70,88
419,70,88
418,69,88
417,68,88
416,68,89
415,67,89
414,67,89
413,66,89
412,66,89
411,65,90
410,65,90
409,64,90
408,64,90
407,63,91
406,63,91
405,63,91
404,62,91
403,62,92
402,61,92
401,61,92
400,61,93
399,60,93
398,60,93
397,60,94
396,60,94
395,59,94
394,59,95
393,59,95
392,58,95
391,58,96
390,58,96
389,58,97
388,57,97
387,57,97
386,57,98
385,57,98
384,56,98
383,56,99
382,56,99
381,56,100
380,56,100
379,56,100
378,55,101
377,55,101
376,55,102
375,55,102
374,55,102
373,55,103
372,55,103
371,56,104
370,56,104
369,56,105
368,57,105
367,58,105
366,60,106
365,62,106
364,63,107
363,64,107
362,66,108
361,67,108
360,68,108
359,69,109
358,70,109
357,71,110
356,72,110
355,73,111
354,74,111
353,75,112
352,76,112
351,77,113
350,78,113
349,79,114
348,80,114
347,80,114
346,81,115
345,82,115
344,83,116
343,84,116
342,84,117
341,85,117
340,86,118
339,87,118
338,88,119
337,88,119
336,89,120
335,90,120
334,91,120
333,91,121
332,92,121
331,93,122
330,93,122
329,94,123
328,95,123
327,96,124
326,96,124
325,97,124
324,98,125
323,99,125
322,99,126
321,100,126
320,101,127
319,101,127
318,102,128
317,103,128
316,103,129
315,104,129
314,105,130
313,106,130
312,106,130
311,107,131
310,108,131
309,109,132
308,109,132
307,110,133
306,111,133
305,111,134
304,112,134
303,113,135
302,114,135
301,114,135
300,115,136
299,116,136
298,116,137
297,117,137
296,118,138
295,119,138
294,119,139
293,120,139
292,121,140
291,122,140
290,122,141
289,123,141
288,124,141
287,124,142
286,125,142
285,126,143
284,127,143
283,127,144
282,128,144
281,129,145
280,129,145
279,130,146
278,131,146
