0,59
70,98,100
71,94,108
72,93,114
73,92,118
74,92,122
75,92,126
76,92,130
77,92,133
78,92,136
79,92,139
80,93,142
81,93,144
82,93,146
83,94,148
84,95,149
85,95,151
86,96,152
87,97,153
88,98,154
89,99,155
90,100,155
91,101,156
92,102,157
93,103,157
94,104,157
95,106,158
96,107,158
97,108,158
98,110,159
99,111,159
100,112,159
101,113,160
102,114,160
103,115,160
104,116,160
105,118,160
106,119,161
107,120,161
108,121,161
109,122,161
110,123,161
111,124,161
112,125,161
113,126,161
114,127,161
115,128,161
116,129,161
117,130,161
118,131,161
119,132,160
120,133,160
121,134,159
122,135,159
123,137,158
124,138,158
125,140,157
126,142,155
127,145,152
128,150,150
0,0
0,62
170,62,62
171,56,67
172,54,71
173,54,75
174,53,79
175,53,83
176,53,86
177,53,90
178,53,93
179,53,95
180,54,98
181,54,100
182,54,102
183,55,104
184,56,106
185,56,107
186,57,109
187,58,111
188,59,112
189,60,114
190,61,115
191,61,116
192,63,117
193,64,119
194,65,120
195,66,120
196,67,121
197,68,122
198,69,123
199,70,123
200,71,124
201,72,124
202,73,125
203,74,125
204,75,126
205,76,126
206,77,126
207,78,127
208,80,127
209,81,127
210,82,127
211,83,127
212,84,128
213,85,128
214,86,128
215,88,128
216,89,128
217,90,128
218,91,128
219,93,127
220,94,127
221,95,127
222,97,127
223,98,126
224,100,126
225,102,125
226,104,125
227,106,124
228,108,123
229,110,122
230,114,120
231,118,118
0,0
0,172
411,84,89
410,81,91
409,79,91
408,78,92
407,76,92
406,75,93
405,74,93
404,73,93
403,73,93
402,72,93
401,71,93
400,71,94
399,70,94
398,70,94
397,69,94
396,69,94
395,68,94
394,67,94
393,67,94
392,66,95
391,66,95
390,66,95
389,65,95
388,65,96
387,64,96
386,64,96
385,63,96
384,63,97
383,63,97
382,62,97
381,62,97
380,61,98
379,61,98
378,61,98
377,60,98
376,60,99
375,60,99
374,59,99
373,59,100
372,59,100
371,59,100
370,58,101
369,58,101
368,58,101
367,57,101
366,57,102
365,57,102
364,57,102
363,57,103
362,57,103
361,56,103
360,56,104
359,56,104
358,56,104
357,56,105
356,56,105
355,57,105
354,57,106
353,57,106
352,58,106
351,60,107
350,62,107
349,63,108
348,64,108
347,65,108
346,66,109
345,67,109
344,68,109
343,69,110
342,70,110
341,71,110
340,72,111
339,73,111
338,74,112
337,75,112
336,76,112
335,76,113
334,77,113
333,78,113
332,79,114
331,80,114
330,80,115
329,81,115
328,82,115
327,83,116
326,83,116
325,84,116
324,85,117
323,85,117
322,86,118
321,87,118
320,87,118
319,88,119
318,89,119
317,89,119
316,90,120
315,91,120
314,91,121
313,92,121
312,92,121
311,93,122
310,94,122
309,94,122
308,95,123
307,96,123
306,96,124
305,97,124
304,98,124
303,98,125
302,99,125
301,99,125
300,100,126
299,101,126
298,101,127
297,102,127
296,103,127
295,103,128
294,104,128
293,105,128
292,105,129
291,106,129
290,107,130
289,107,130
288,108,130
287,108,131
286,109,131
285,110,131
284,110,132
283,111,132
282,112,133
281,112,133
280,113,133
279,114,134
278,114,134
277,115,135
276,116,135
275,116,135
274,117,136
273,118,136
272,118,136
271,119,137
270,119,137
269,120,138
268,121,138
267,121,138
266,122,139
265,123,139
264,123,139
263,124,140
262,124,140
261,125,141
260,126,141
259,127,141
258,127,142
257,128,142
256,128,143
255,129,143
254,130,143
253,130,144
252,131,144
251,132,145
250,133,145
249,133,145
248,134,146
247,135,146
246,136,146
245,137,146
244,138,146
243,139,146
242,140,146
241,142,146
240,145,145
0,0
0,210
35,245,251
36,242,255
37,241,258
38,240,261
39,240,263
40,239,265
41,239,266
42,240,268
43,240,270
44,240,271
45,240,273
46,241,274
47,241,276
48,242,277
49,242,278
50,243,279
51,243,281
52,243,282
53,244,283
54,244,284
55,244,284
56,244,285
57,244,286
58,244,286
59,245,287
60,245,287
61,245,287
62,245,287
63,245,287
64,245,287
65,245,287
66,244,287
67,244,287
68,244,286
69,244,286
70,244,285
71,244,284
72,244,283
73,244,282
74,243,282
75,243,281
76,243,280
77,243,280
78,242,279
79,242,278
80,242,277
81,242,277
82,241,276
83,241,275
84,241,275
85,241,274
86,240,274
87,240,273
88,240,273
89,239,272
90,239,271
91,238,271
92,238,270
93,238,270
94,237,269
95,237,269
96,237,268
97,236,267
98,236,267
99,236,266
100,235,266
101,235,265
102,234,265
103,234,264
104,234,264
105,233,263
106,233,263
107,232,262
108,232,262
109,231,261
110,231,261
111,231,260
112,230,260
113,230,259
