0,54
124,63,63
125,60,66
126,59,68
127,58,70
128,58,72
129,58,73
130,58,75
131,58,77
132,58,79
133,58,80
134,58,82
135,59,83
136,59,85
137,60,86
138,60,88
139,61,89
140,61,90
141,62,91
142,63,93
143,63,94
144,64,95
145,64,96
146,65,96
147,66,97
148,67,98
149,67,98
150,68,99
151,68,99
152,69,100
153,69,100
154,70,100
155,71,100
156,71,100
157,72,100
158,72,100
159,73,100
160,73,100
161,74,100
162,74,100
163,75,100
164,76,100
165,76,100
166,77,99
167,77,99
168,78,99
169,78,99
170,79,98
171,79,98
172,80,97
173,81,97
174,82,96
175,83,95
176,85,93
177,89,90
0,0
0,68
95,191,195
96,187,199
97,186,202
98,186,204
99,185,205
100,185,207
101,185,208
102,186,209
103,186,210
104,186,212
105,186,213
106,186,214
107,186,215
108,186,216
109,186,217
110,186,217
111,186,218
112,185,219
113,185,220
114,185,220
115,184,220
116,184,220
117,183,220
118,183,220
119,182,219
120,182,217
121,181,215
122,181,214
123,180,212
124,180,211
125,179,210
126,179,208
127,178,207
128,177,206
129,177,204
130,176,203
131,176,202
132,175,200
133,174,199
134,174,198
135,173,197
136,173,195
137,172,194
138,171,193
139,171,192
140,170,190
141,169,189
142,169,188
143,168,187
144,168,185
145,167,184
146,166,183
147,166,182
148,165,181
149,164,180
150,164,178
151,163,177
152,163,176
153,162,175
154,161,174
155,161,172
156,160,171
157,159,170
158,159,169
159,159,168
160,159,167
161,159,165
162,161,162
0,0
1,169
34,211,212
35,209,214
36,208,216
37,207,217
38,207,218
39,207,219
40,206,220
41,206,220
42,206,221
43,206,222
44,206,222
45,206,223
46,206,224
47,206,224
48,206,225
49,206,225
50,205,226
51,205,226
52,205,226
53,205,227
54,205,227
55,205,228
56,205,228
57,205,228
58,205,228
59,205,228
60,205,229
61,205,229
62,205,229
63,205,229
64,205,229
65,205,229
66,205,229
67,205,230
68,205,229
69,205,229
70,205,229
71,204,229
72,204,229
73,204,228
74,204,228
75,204,228
76,204,228
77,204,228
78,204,228
79,204,227
80,204,227
81,203,227
82,203,226
83,203,226
84,203,226
85,203,226
86,203,225
87,203,225
88,203,225
89,203,225
90,202,224
91,202,224
92,202,224
93,202,224
94,202,223
95,202,223
96,202,223
97,201,223
98,201,222
99,201,222
100,201,222
101,201,222
102,201,221
103,201,221
104,200,221
105,200,221
106,200,221
107,200,220
108,200,220
109,200,220
110,200,220
111,199,219
