0,189
46,135,141
47,133,144
48,132,146
49,131,148
50,131,150
51,130,151
52,130,153
53,131,154
54,131,155
55,131,157
56,132,158
57,132,159
58,132,160
59,132,162
60,133,163
61,133,164
62,133,165
63,133,166
64,133,167
65,133,168
66,133,168
67,133,169
68,133,170
69,133,171
70,133,171
71,133,172
72,133,172
73,133,173
74,133,173
75,132,173
76,132,173
77,132,172
78,132,172
79,132,172
80,131,171
81,131,171
82,131,170
83,131,169
84,130,169
85,130,168
86,130,167
87,129,166
88,129,166
89,129,165
90,128,164
91,128,163
92,128,163
93,127,162
94,127,161
95,127,160
96,126,160
97,126,159
98,125,158
99,125,157
100,125,157
101,124,156
102,124,155
103,123,154
104,123,154
105,123,153
106,122,152
107,122,152
108,121,151
109,121,150
110,120,149
111,120,149
112,120,148
113,119,147
114,119,146
115,118,146
116,118,145
117,117,144
118,117,144
119,116,143
120,116,142
121,115,141
122,115,141
123,115,140
124,114,139
125,113,139
126,113,138
127,112,137
128,112,137
129,111,136
130,111,135
131,110,135
132,110,134
133,109,133
134,109,133
135,108,132
136,108,131
137,107,131
138,107,130
139,106,129
140,106,129
141,105,128
142,105,127
143,104,127
144,103,126
145,103,125
146,102,125
147,102,124
148,101,123
149,101,123
150,100,122
151,99,121
152,99,121
153,98,120
154,98,119
155,97,119
156,96,118
157,96,118
158,95,117
159,95,116
160,94,116
161,93,115
162,93,114
163,92,114
164,91,113
165,91,112
166,90,112
167,89,111
168,89,111
169,88,110
170,87,109
171,87,109
172,86,108
173,85,107
174,84,107
175,84,106
176,83,106
177,82,105
178,81,104
179,81,104
180,80,103
181,79,102
182,78,102
183,77,101
184,77,101
185,76,100
186,75,99
187,74,99
188,73,98
189,72,98
190,71,97
191,70,96
192,69,96
193,68,95
194,68,94
195,67,94
196,65,93
197,64,93
198,63,93
199,62,93
200,61,93
201,60,95
202,59,103
203,58,102
204,57,101
205,56,100
206,56,99
207,55,99
208,55,98
209,55,97
210,54,96
211,54,95
212,54,94
213,54,93
214,54,92
215,55,91
216,55,90
217,55,90
218,55,89
219,56,88
220,56,87
221,57,86
222,57,85
223,58,84
224,58,83
225,59,82
226,60,81
227,60,81
228,61,80
229,62,79
230,63,78
231,64,77
232,65,76
233,67,75
234,69,73
1,79
75,233,233
76,232,232
77,231,232
78,230,231
79,229,231
80,228,230
81,226,230
82,225,229
83,224,229
84,223,228
85,222,228
86,221,227
87,220,227
88,219,227
89,218,226
90,216,226
91,215,225
92,214,225
93,213,225
94,212,224
95,211,224
96,210,224
97,209,223
98,208,223
99,206,223
100,205,222
101,204,222
102,203,222
103,203,221
104,203,221
105,203,221
106,202,220
107,202,220
108,202,220
109,202,219
110,202,219
111,202,219
112,202,219
113,202,218
114,202,218
115,202,218
116,202,218
117,202,217
118,202,217
119,202,217
120,202,216
121,202,216
122,202,216
123,202,216
124,202,216
125,202,215
126,202,215
127,202,215
128,202,215
129,202,215
130,202,214
131,202,214
132,202,214
133,202,214
134,202,214
135,202,213
136,202,213
137,202,213
138,202,212
139,202,212
140,202,212
141,202,211
142,202,211
143,202,211
144,201,210
145,201,210
146,201,209
147,201,209
148,201,208
149,201,208
150,201,207
151,202,206
152,202,205
153,202,203
0,0
0,188
143,170,172
144,167,176
145,166,178
146,166,181
147,165,182
148,165,184
149,165,186
150,165,187
151,165,189
152,165,190
153,165,192
154,165,193
155,165,194
156,165,195
157,165,196
158,165,197
159,164,198
160,164,199
161,164,200
162,164,201
163,163,201
164,163,202
165,163,203
166,162,203
167,162,203
168,162,203
169,161,203
170,161,203
171,160,203
172,160,203
173,159,202
174,159,202
175,158,201
176,158,200
177,158,199
178,157,198
179,157,197
180,156,195
181,156,194
182,155,193
183,155,192
184,154,191
185,154,190
186,153,189
187,153,188
188,152,187
189,152,186
190,151,185
191,151,184
192,150,183
193,150,182
194,149,181
195,148,180
196,148,179
197,147,178
198,147,178
199,146,177
200,145,176
201,145,175
202,144,174
203,144,173
204,143,172
205,142,172
206,142,171
207,141,170
208,140,169
209,140,168
210,139,167
211,138,166
212,138,165
213,137,164
214,136,163
215,135,163
216,135,162
217,134,161
218,133,160
219,132,159
220,132,158
221,131,157
222,130,156
223,129,155
224,129,154
225,128,153
226,127,153
227,126,152
228,126,151
229,125,150
230,124,149
231,123,148
232,123,147
233,122,146
234,121,146
235,120,145
236,119,144
237,119,143
238,118,142
239,117,141
240,116,140
241,115,139
242,115,138
243,114,138
244,113,137
245,112,136
246,111,135
247,110,134
248,110,133
249,109,132
250,108,132
251,107,131
252,106,130
253,106,129
254,105,128
255,104,127
256,103,126
257,102,125
258,101,124
259,100,124
260,100,123
261,99,122
262,98,121
263,97,120
264,96,119
265,95,119
266,95,118
267,94,117
268,93,116
269,92,115
270,91,114
271,90,114
272,89,113
273,89,112
274,88,111
275,87,110
276,86,110
277,85,109
278,84,108
279,83,107
280,83,106
281,82,106
282,81,105
283,80,104
284,79,103
285,78,102
286,77,102
287,76,101
288,75,101
289,74,101
289,74,101
289,108,108
290,73,101
290,101,108
290,73,108
291,72,107
292,71,106
293,69,106
294,68,105
295,66,104
296,65,104
297,63,103
298,62,102
299,61,102
300,60,101
301,59,100
302,59,100
303,58,99
304,58,98
305,58,98
306,58,97
307,58,96
308,59,96
309,59,95
310,59,94
311,60,94
312,60,93
313,61,92
314,61,92
315,62,91
316,63,90
317,64,90
318,64,89
319,65,88
320,66,88
321,67,87
322,68,86
323,70,86
324,71,85
325,73,83
326,76,81
1,109
85,324,324
86,322,323
87,321,322
88,319,322
89,318,321
90,316,321
91,315,320
92,313,319
93,312,319
94,310,318
95,309,318
96,307,317
97,306,316
98,304,316
99,303,315
100,301,315
101,300,314
102,298,313
103,297,313
104,295,312
105,294,312
106,292,311
107,291,311
108,290,310
109,289,310
110,289,309
111,289,309
112,288,308
113,288,308
114,288,307
115,288,307
116,287,306
117,287,306
118,287,305
119,287,305
120,286,304
121,286,304
122,286,303
123,285,303
124,285,302
125,285,302
126,285,301
127,284,301
128,284,301
129,284,300
130,284,300
131,283,299
132,283,299
133,283,299
134,283,298
135,282,298
136,282,297
137,282,297
138,282,297
139,281,296
140,281,296
141,281,295
142,281,295
143,280,295
144,280,294
145,280,294
146,280,294
147,280,293
148,279,293
149,279,292
150,279,292
151,279,292
152,278,291
153,278,291
154,278,291
155,278,290
156,278,290
157,277,290
158,277,289
159,277,289
160,277,289
161,276,288
162,276,288
163,276,288
164,276,287
165,276,287
166,275,287
167,275,286
168,275,286
169,275,286
170,275,285
171,274,285
172,274,285
173,274,284
174,274,284
175,274,284
176,273,283
177,273,283
178,273,283
179,273,282
180,273,282
181,273,282
182,272,282
183,272,281
184,272,281
185,272,281
186,272,280
187,272,280
188,272,279
189,271,279
190,272,278
191,272,278
192,272,277
193,273,276
0,0
1,159
47,387,394
48,386,395
49,385,396
50,384,397
51,384,398
52,383,399
53,383,400
54,383,401
55,383,401
56,383,402
57,383,402
58,382,403
59,382,404
60,382,404
61,382,405
62,382,405
63,382,406
64,381,406
65,381,407
66,381,407
67,381,408
68,381,408
69,380,409
70,380,409
71,380,409
72,380,410
73,379,410
74,379,411
75,379,411
76,378,411
77,378,412
78,378,412
79,378,412
80,377,413
81,377,413
82,377,413
83,376,413
84,376,413
85,376,414
86,375,413
87,375,413
88,375,413
89,375,413
90,374,412
91,374,412
92,374,411
93,373,410
94,373,409
95,372,408
96,372,408
97,372,407
98,372,406
99,371,405
100,371,404
101,370,403
102,370,403
103,370,402
104,369,401
105,369,400
106,369,400
107,368,399
108,368,398
109,368,398
110,367,397
111,367,396
112,366,395
113,366,395
114,366,394
115,365,393
116,365,393
117,365,392
118,364,391
119,364,391
120,364,390
121,363,390
122,363,389
123,362,388
124,362,388
125,362,387
126,361,387
127,361,386
128,361,385
129,360,385
130,360,384
131,359,384
132,359,383
133,359,383
134,358,382
135,358,381
136,357,381
137,357,380
138,357,380
139,356,379
140,356,379
141,356,378
142,355,378
143,355,377
144,354,377
145,354,376
146,354,375
147,353,375
148,353,374
149,352,374
150,352,373
151,352,373
152,351,372
153,351,372
154,351,371
155,350,370
156,350,370
157,349,369
158,349,369
159,349,368
160,348,368
161,348,367
162,347,367
163,347,366
164,347,365
165,346,365
166,346,364
167,345,364
168,345,363
169,345,363
170,344,362
171,344,362
172,343,361
173,343,360
174,343,360
175,342,359
176,342,359
177,341,358
178,341,358
179,340,357
180,340,356
181,340,356
182,339,355
183,339,355
184,338,354
185,338,353
186,338,353
187,337,352
188,337,351
189,337,351
190,336,350
191,336,349
192,335,349
193,335,348
194,334,347
195,334,347
196,334,346
197,333,345
198,333,344
199,333,344
200,332,343
201,333,342
202,333,341
203,333,340
204,334,339
205,335,338
0,0
0,59
52,289,289
53,285,295
54,285,299
55,284,302
56,284,304
57,284,307
58,284,310
59,284,312
60,284,315
61,284,318
62,285,320
63,285,322
64,285,324
65,286,326
66,287,327
67,287,329
68,288,331
69,289,332
70,290,334
71,291,335
72,292,336
73,293,337
74,294,339
75,295,340
76,296,341
77,297,342
78,298,343
79,298,344
80,299,344
81,300,345
82,301,346
83,302,346
84,303,347
85,304,347
86,305,347
87,306,348
88,307,348
89,308,348
90,309,349
91,310,349
92,311,349
93,312,349
94,313,349
95,314,349
96,316,349
97,317,349
98,318,349
99,319,349
100,320,349
101,322,349
102,323,348
103,324,348
104,326,347
105,327,347
106,329,346
107,331,345
108,333,344
109,335,343
110,340,340
0,0
1,222
221,153,154
222,152,156
223,151,157
224,151,157
225,151,158
226,150,159
227,150,160
228,150,160
229,150,161
230,150,162
231,149,163
232,149,163
233,149,164
234,149,165
235,149,165
236,149,166
237,149,167
238,148,167
239,148,168
240,148,169
241,148,169
242,148,170
243,148,170
244,148,170
245,147,171
246,147,171
247,147,171
248,147,171
249,147,171
250,147,172
251,147,171
252,147,171
253,147,171
254,146,171
255,146,171
256,146,171
257,146,171
258,146,170
259,146,170
260,146,170
261,146,170
262,145,170
263,145,169
264,145,169
265,145,169
266,145,169
267,145,168
268,145,168
269,145,168
270,145,168
271,144,168
272,144,167
273,144,167
274,144,167
275,144,167
276,144,167
277,144,166
278,144,166
279,143,166
280,143,166
281,143,166
282,143,165
283,143,165
284,143,165
285,143,165
286,143,165
287,142,164
288,142,164
289,142,164
290,142,164
291,142,164
292,142,163
293,142,163
294,141,163
295,141,163
296,141,163
297,141,162
298,141,162
299,141,162
300,141,162
301,140,162
302,140,161
303,140,161
304,140,161
305,140,161
306,140,161
307,139,160
308,139,160
309,139,160
310,139,160
311,139,160
312,139,159
313,138,159
314,138,159
315,138,159
316,138,159
317,138,158
318,137,158
319,137,158
320,137,158
321,137,158
322,137,158
323,136,157
324,136,157
325,136,157
326,136,157
327,136,157
328,135,157
329,135,156
330,135,156
331,135,156
332,135,156
333,134,156
334,134,156
335,134,155
336,134,155
337,133,155
338,133,155
339,133,155
340,133,155
341,133,154
342,132,154
343,132,154
344,132,154
345,132,154
346,131,154
347,131,153
348,131,153
349,131,153
350,130,153
351,130,153
352,130,153
353,130,152
354,130,152
355,129,152
356,129,152
357,129,152
358,129,152
359,128,152
360,128,151
361,128,151
362,128,151
363,127,151
364,127,151
365,127,151
366,127,150
367,126,150
368,126,150
369,126,150
370,126,150
371,125,150
372,125,150
373,125,149
374,125,149
375,124,149
376,124,149
377,124,149
378,124,149
379,123,148
380,123,148
381,123,148
382,123,148
383,122,148
384,122,148
385,122,148
386,122,147
387,121,147
388,121,147
389,121,147
390,121,147
391,120,147
392,120,147
393,120,146
394,120,146
395,119,146
396,119,146
397,119,146
398,119,146
399,118,146
400,118,145
401,118,145
402,118,145
403,118,145
404,118,145
405,118,145
406,117,145
407,117,144
408,117,144
409,117,144
410,117,144
411,116,144
412,117,144
413,117,144
414,117,143
415,117,143
416,117,143
417,118,143
418,118,143
419,118,143
420,118,143
421,119,143
422,119,142
423,120,142
424,120,142
425,120,142
426,121,142
427,121,142
428,122,142
429,122,141
430,122,141
431,123,141
432,123,141
433,124,141
434,124,141
435,125,141
436,125,141
437,126,141
438,126,140
439,127,140
440,127,139
441,128,137
442,130,136
0,0
0,89
191,259,259
192,255,264
193,254,266
194,254,268
195,254,270
196,254,271
197,254,272
198,254,274
199,254,275
200,255,276
201,255,277
202,255,278
203,255,279
204,255,280
205,255,281
206,255,282
207,255,283
208,255,284
209,255,284
210,254,285
211,254,286
212,254,286
213,254,286
214,253,287
215,253,287
216,252,287
217,252,287
218,251,287
219,251,286
220,250,286
221,250,285
222,250,284
223,249,283
224,248,282
225,248,281
226,247,280
227,247,279
228,246,278
229,246,277
230,245,276
231,244,275
232,244,274
233,243,273
234,243,272
235,242,271
236,241,270
237,241,270
238,240,269
239,240,268
240,239,267
241,238,266
242,238,265
243,237,264
244,236,263
245,235,262
246,235,261
247,234,260
248,233,259
249,233,258
250,232,257
251,231,256
252,231,255
253,230,254
254,229,253
255,228,252
256,227,250
257,227,249
258,226,248
259,225,247
260,225,246
261,224,244
262,223,243
263,222,242
264,221,241
265,221,239
266,220,238
267,219,236
268,218,235
269,217,234
270,217,232
271,216,231
272,214,229
273,213,228
274,212,226
275,212,225
276,211,223
277,211,221
278,211,219
279,211,216
0,0
0,55
183,356,356
184,351,361
185,349,367
186,349,372
187,349,377
188,349,381
189,349,385
190,349,388
191,349,392
192,350,395
193,350,398
194,351,401
195,352,404
196,353,407
197,354,409
198,355,411
199,357,412
200,358,414
201,359,415
202,361,417
203,363,418
204,364,419
205,366,420
206,368,421
207,369,422
208,371,422
209,373,423
210,374,423
211,376,424
212,377,424
213,379,425
214,380,425
215,382,426
216,383,426
217,385,426
218,387,427
219,388,427
220,390,427
221,391,428
222,393,428
223,394,428
224,396,428
225,397,428
226,399,429
227,400,429
228,402,429
229,403,429
230,405,428
231,406,428
232,408,428
233,409,427
234,410,427
235,412,426
236,414,425
237,417,422
0,0
0,210
229,344,351
230,340,356
231,338,360
232,337,363
233,336,365
234,336,368
235,335,370
236,335,371
237,336,373
238,336,374
239,336,375
240,337,376
241,338,377
242,338,378
243,339,378
244,339,379
245,340,379
246,340,379
247,341,379
248,341,379
249,341,379
250,342,378
251,342,378
252,342,377
253,342,376
254,342,376
255,343,375
256,343,375
257,343,374
258,343,374
259,343,373
260,343,373
261,343,373
262,344,373
263,344,372
264,344,372
265,344,372
266,343,371
267,343,371
268,343,371
269,343,371
270,343,370
271,343,370
272,343,370
273,343,370
274,343,369
275,342,369
276,342,369
277,342,369
278,342,369
279,342,368
280,341,368
281,341,368
282,341,368
283,341,368
284,340,367
285,340,367
286,340,367
287,340,367
288,339,366
289,339,366
290,339,366
291,339,366
292,338,366
293,338,365
294,338,365
295,338,365
296,337,365
297,337,364
298,337,364
299,337,364
300,336,364
301,336,363
302,336,363
303,336,363
304,335,363
305,335,362
306,335,362
307,334,362
308,334,361
309,334,361
310,333,361
311,333,360
312,333,360
313,332,360
314,332,359
315,331,359
316,331,359
317,331,358
318,330,358
319,330,358
320,329,357
321,329,357
322,329,357
323,328,356
324,328,356
325,327,356
326,327,355
327,326,355
328,326,354
329,326,354
330,325,354
331,324,353
332,324,353
333,323,352
334,323,352
335,322,352
336,322,351
337,321,351
338,321,350
339,320,350
340,320,349
341,319,349
342,318,348
343,318,348
344,317,348
345,316,347
346,316,347
347,315,346
348,314,346
349,314,345
350,313,345
351,312,344
352,312,343
353,311,343
354,310,342
355,309,342
356,309,341
357,308,341
358,307,340
359,306,339
360,305,339
361,305,338
362,304,338
363,303,337
364,302,336
365,301,336
366,300,335
367,299,334
368,298,334
369,297,333
370,296,332
371,295,332
372,294,331
373,293,330
374,292,329
375,291,329
376,290,328
377,289,327
378,288,326
379,287,325
380,286,325
381,285,324
382,284,323
383,283,322
384,281,321
385,280,320
386,279,319
387,278,318
388,277,317
389,275,316
390,274,315
391,273,314
392,271,313
393,270,312
394,268,311
395,267,310
396,265,309
397,264,308
398,262,306
399,261,305
400,259,304
401,257,303
402,256,301
403,254,300
404,252,299
405,251,297
406,249,296
407,247,294
408,245,293
409,243,291
410,241,290
411,239,288
412,237,287
413,235,285
414,233,283
415,231,282
416,229,280
417,227,278
418,225,276
419,223,274
420,221,272
421,219,270
422,217,268
423,214,266
424,212,263
425,210,261
426,207,259
427,205,256
428,203,253
429,200,251
430,198,248
431,196,245
432,193,241
433,191,237
434,189,233
435,188,229
436,188,223
437,187,216
438,189,202
0,0
1,216
254,284,287
255,283,288
256,282,289
257,281,290
258,281,291
259,280,292
260,280,293
261,280,293
262,280,294
263,280,295
264,280,295
265,280,296
266,281,297
267,281,298
268,281,299
269,282,300
270,282,301
271,283,302
272,283,303
273,284,304
274,284,306
275,285,307
276,286,308
277,286,310
278,287,311
279,288,312
280,289,314
281,290,315
282,291,317
283,292,318
284,293,320
285,294,321
286,295,323
287,296,324
288,297,326
289,298,327
290,299,329
291,300,330
292,302,332
293,303,333
294,304,335
295,305,336
296,307,338
297,308,339
298,309,341
299,311,342
300,312,344
301,313,346
302,315,347
303,316,349
304,318,350
305,319,352
306,321,353
307,322,355
308,324,357
309,325,358
310,327,360
311,328,361
312,330,363
313,331,364
314,332,366
315,334,368
316,335,369
317,337,371
318,338,372
319,339,374
320,341,375
321,342,377
322,343,378
323,344,380
324,346,381
325,347,382
326,348,384
327,350,385
328,351,386
329,352,388
330,353,389
331,355,390
332,356,392
333,357,393
334,358,394
335,359,396
336,360,397
337,361,398
338,362,399
339,364,401
340,365,402
341,366,403
342,367,404
343,368,406
344,369,407
345,370,408
346,371,409
347,372,411
348,373,412
349,374,413
350,375,414
351,376,415
352,377,416
353,378,418
354,379,419
355,379,420
356,380,421
357,381,422
358,382,423
359,383,425
360,384,426
361,385,427
362,386,428
363,387,429
364,387,430
365,388,431
366,389,433
367,390,434
368,391,435
369,392,436
370,393,437
371,393,438
372,394,439
373,395,440
374,396,441
375,397,442
376,397,443
377,398,444
378,399,445
379,400,445
380,400,446
381,401,447
382,402,447
383,402,448
384,403,448
385,404,449
386,404,449
387,405,450
388,405,450
389,406,450
390,406,450
391,407,451
392,408,451
393,408,451
394,409,451
395,409,452
396,410,452
397,410,452
398,411,452
399,411,452
400,412,452
401,412,452
402,413,453
403,413,453
404,414,453
405,414,453
406,414,453
407,415,453
408,415,453
409,416,453
410,416,453
411,417,453
412,417,453
413,418,453
414,418,453
415,419,453
416,419,452
417,419,452
418,420,452
419,420,452
420,421,452
421,421,452
422,422,452
423,422,452
424,422,452
425,423,452
426,423,452
427,424,452
428,424,452
429,425,452
430,425,452
431,425,452
432,426,452
433,426,452
434,427,452
435,427,452
436,428,452
437,428,452
438,428,452
439,429,452
440,429,452
441,430,452
442,430,452
443,431,452
444,431,451
445,432,451
446,432,451
447,432,451
448,433,451
449,433,451
450,434,451
451,434,451
452,435,451
453,435,451
454,436,451
455,436,451
456,437,451
457,437,451
458,438,451
459,438,451
460,439,451
461,439,451
462,440,450
463,440,450
464,441,450
465,442,450
466,442,450
467,443,449
468,444,449
469,445,449
0,0
