0,179
50,122,126
51,120,130
52,118,132
53,117,134
54,117,136
55,117,137
56,117,139
57,117,140
58,117,142
59,117,143
60,118,144
61,118,146
62,119,147
63,119,148
64,119,149
65,119,150
66,119,151
67,120,152
68,120,153
69,120,154
70,120,155
71,120,156
72,120,157
73,120,157
74,120,158
75,120,159
76,120,159
77,119,159
78,119,159
79,119,159
80,119,159
81,119,159
82,118,158
83,118,158
84,118,158
85,118,157
86,117,156
87,117,156
88,117,155
89,117,154
90,116,154
91,116,153
92,116,152
93,115,151
94,115,151
95,115,150
96,114,149
97,114,148
98,114,148
99,113,147
100,113,146
101,113,145
102,112,145
103,112,144
104,111,143
105,111,142
106,111,142
107,110,141
108,110,140
109,109,140
110,109,139
111,109,138
112,108,137
113,108,137
114,107,136
115,107,135
116,106,134
117,106,134
118,105,133
119,105,132
120,105,132
121,104,131
122,104,130
123,103,130
124,103,129
125,102,128
126,102,128
127,101,127
128,101,126
129,100,126
130,100,125
131,99,124
132,99,124
133,98,123
134,98,122
135,97,122
136,97,121
137,96,120
138,96,120
139,95,119
140,95,118
141,94,118
142,94,117
143,93,116
144,92,116
145,92,115
146,91,114
147,91,114
148,90,113
149,90,112
150,89,112
151,88,111
152,88,110
153,87,110
154,87,109
155,86,108
156,86,108
157,85,107
158,84,107
159,84,106
160,83,105
161,82,105
162,82,104
163,81,104
164,80,103
165,80,102
166,79,102
167,78,101
168,78,100
169,77,100
170,76,99
171,76,99
172,75,98
173,74,97
174,73,97
175,73,96
176,72,96
177,71,95
178,70,94
179,69,94
180,69,93
181,68,92
182,67,92
183,66,91
184,65,91
185,64,90
186,63,90
187,62,89
188,61,88
189,60,87
190,59,87
191,59,86
192,57,86
193,56,86
194,55,87
195,54,87
196,53,89
197,52,97
198,51,96
199,50,95
200,50,94
201,49,94
202,49,93
203,48,92
204,48,91
205,48,90
206,48,89
207,48,88
208,48,87
209,48,86
210,49,85
211,49,84
212,49,83
213,50,82
214,50,81
215,51,80
216,51,79
217,52,78
218,52,78
219,53,77
220,53,76
221,54,75
222,55,74
223,56,73
224,57,72
225,58,71
226,59,70
227,60,69
228,62,66
1,79
69,227,227
70,226,226
71,225,226
72,224,225
73,223,225
74,222,224
75,221,224
76,219,223
77,218,223
78,217,222
79,216,222
80,215,222
81,214,221
82,213,221
83,212,221
84,211,220
85,210,220
86,209,220
87,208,219
88,207,219
89,206,219
90,205,218
91,204,218
92,202,218
93,201,217
94,200,217
95,199,217
96,198,216
97,197,216
98,197,216
99,197,216
100,197,215
101,197,215
102,197,215
103,197,215
104,197,214
105,197,214
106,197,214
107,197,213
108,197,213
109,197,213
110,197,213
111,197,212
112,197,212
113,197,212
114,197,212
115,197,211
116,197,211
117,197,211
118,197,211
119,197,211
120,197,211
121,197,210
122,197,210
123,197,210
124,197,210
125,197,210
126,197,210
127,197,209
128,197,209
129,197,209
130,197,209
131,197,208
132,197,208
133,197,208
134,197,208
135,197,207
136,197,207
137,197,206
138,197,206
139,197,206
140,197,205
141,197,205
142,197,204
143,197,203
144,197,203
145,198,202
146,198,201
147,198,200
0,0
0,191
136,158,158
137,154,162
138,152,165
139,152,167
140,151,169
141,151,171
142,151,173
143,151,174
144,151,176
145,151,178
146,151,179
147,151,180
148,151,182
149,151,183
150,151,184
151,151,185
152,151,186
153,151,187
154,151,188
155,151,188
156,150,189
157,150,189
158,150,190
159,150,190
160,149,190
161,149,190
162,149,190
163,148,190
164,148,190
165,147,189
166,147,189
167,147,188
168,146,187
169,146,186
170,145,185
171,145,184
172,145,183
173,144,182
174,144,181
175,143,180
176,143,179
177,143,178
178,142,177
179,142,176
180,141,175
181,141,174
182,140,173
183,140,172
184,139,172
185,139,171
186,138,170
187,138,169
188,137,168
189,137,168
190,136,167
191,136,166
192,135,165
193,135,164
194,134,164
195,134,163
196,133,162
197,132,161
198,132,161
199,131,160
200,131,159
201,130,158
202,129,157
203,129,156
204,128,156
205,128,155
206,127,154
207,126,153
208,126,152
209,125,151
210,125,151
211,124,150
212,123,149
213,122,148
214,122,147
215,121,147
216,121,146
217,120,145
218,119,144
219,118,143
220,118,142
221,117,142
222,116,141
223,116,140
224,115,139
225,114,138
226,113,137
227,113,137
228,112,136
229,111,135
230,111,134
231,110,133
232,109,133
233,108,132
234,108,131
235,107,130
236,106,129
237,105,129
238,105,128
239,104,127
240,103,126
241,103,125
242,102,125
243,101,124
244,100,123
245,100,122
246,99,121
247,98,121
248,97,120
249,97,119
250,96,118
251,95,117
252,94,117
