1,138
76,114,117
77,114,118
78,113,118
79,113,119
80,112,119
81,112,120
82,112,121
83,112,121
84,111,122
85,111,122
86,111,122
87,111,123
88,111,123
89,111,124
90,111,124
91,110,124
92,110,125
93,110,125
94,110,125
95,110,125
96,110,126
97,110,126
98,110,126
99,109,126
100,109,126
101,109,127
102,109,127
103,109,127
104,109,127
105,109,127
106,108,127
107,108,127
108,108,127
109,108,127
110,108,127
111,108,127
112,108,127
113,107,127
114,107,127
115,107,127
116,107,126
117,107,126
118,106,126
119,106,126
120,106,126
121,106,126
122,106,125
123,105,125
124,105,125
125,105,125
126,105,124
127,105,124
128,104,124
129,104,124
130,104,124
131,104,123
132,103,123
133,103,123
134,103,123
135,103,122
136,102,122
137,102,122
138,102,122
139,101,122
140,101,121
141,101,121
142,101,121
143,100,121
144,100,120
145,100,120
146,100,120
147,99,120
148,99,120
149,99,119
150,98,119
151,98,119
152,98,119
153,98,118
154,97,118
155,97,118
156,97,118
157,96,118
158,96,117
159,96,117
160,95,117
161,95,117
162,95,116
163,94,116
164,94,116
165,94,116
166,93,116
167,93,115
168,93,115
169,92,115
170,92,115
171,92,115
172,91,114
173,91,114
174,91,114
175,90,114
176,90,113
177,90,113
178,90,113
179,89,113
180,89,113
181,89,112
182,89,112
183,89,112
184,89,112
185,89,111
186,89,111
187,88,111
188,88,111
189,88,110
190,88,110
191,88,110
192,89,110
193,89,110
194,89,109
195,89,109
196,89,109
197,90,109
198,90,108
199,90,108
200,90,108
201,91,108
202,91,107
203,91,107
204,91,107
205,92,106
206,92,106
207,93,106
208,93,105
209,94,105
210,94,105
211,95,104
212,96,103
213,98,102
0,0
0,150
26,134,140
27,132,144
28,130,146
29,130,149
30,129,151
31,129,153
32,129,154
33,129,156
34,129,157
35,129,159
36,130,160
37,130,162
38,131,163
39,131,164
40,132,166
41,132,167
42,133,168
43,133,168
44,133,169
45,133,170
46,134,170
47,134,171
48,134,171
49,135,171
50,135,170
51,135,170
52,135,170
53,135,169
54,135,169
55,136,169
56,136,168
57,136,168
58,136,167
59,136,167
60,136,167
61,136,166
62,136,166
63,136,166
64,136,166
65,136,165
66,137,165
67,137,165
68,137,165
69,137,164
70,137,164
71,137,164
72,137,164
73,137,164
74,137,163
75,137,163
76,137,163
77,137,163
78,137,163
79,137,162
80,137,162
81,137,162
82,137,162
83,137,162
84,137,161
85,137,161
86,137,161
87,136,161
88,136,161
89,136,161
90,136,160
91,136,160
92,136,160
93,136,160
94,136,160
95,136,160
96,136,159
97,136,159
98,136,159
99,136,159
100,136,159
101,136,158
102,136,158
103,136,158
104,136,158
105,135,158
106,135,158
107,135,157
108,135,157
109,135,157
110,135,157
111,135,157
112,135,157
113,135,156
114,135,156
115,135,156
116,135,156
117,135,156
118,134,156
119,134,155
120,134,155
121,134,155
122,134,155
123,134,155
124,134,154
125,134,154
126,134,154
127,134,154
128,133,154
129,133,154
130,133,153
131,133,153
132,133,153
133,133,153
134,133,153
135,133,153
136,133,152
137,133,152
138,133,152
139,132,152
140,132,152
141,132,151
142,132,151
143,132,151
144,132,151
145,132,151
146,132,151
147,132,150
148,131,150
149,131,150
150,131,150
151,131,150
152,131,150
153,131,150
154,131,149
155,131,149
156,131,149
157,131,149
158,130,149
159,130,148
160,130,148
161,130,148
162,130,148
163,130,148
164,130,147
165,130,147
166,129,147
167,129,147
168,129,147
169,129,147
170,129,146
171,129,146
172,129,143
173,129,138
174,129,132
175,129,129
0,0
0,113
170,63,68
171,60,75
172,60,79
173,60,82
174,60,85
175,60,87
176,60,88
177,60,89
178,61,90
179,61,90
180,62,91
181,62,91
182,63,91
183,63,91
184,63,91
185,64,91
186,64,92
187,65,92
188,65,92
189,66,92
190,66,92
191,66,92
192,67,92
193,67,92
194,68,92
195,68,93
196,68,93
197,69,93
198,69,93
199,69,93
200,70,93
201,70,93
202,70,94
203,71,94
204,71,94
205,71,94
206,72,94
207,72,94
208,72,94
209,73,95
210,73,95
211,73,95
212,74,95
213,74,95
214,74,95
215,74,96
216,75,96
217,75,96
218,75,96
219,75,96
220,76,96
221,76,96
222,76,97
223,76,97
224,76,97
225,77,97
226,77,97
227,77,97
228,77,98
229,77,98
230,78,98
231,78,98
232,78,98
233,78,98
234,78,99
235,78,99
236,79,99
237,79,99
238,79,99
239,79,99
240,79,100
241,79,100
242,80,100
243,80,100
244,80,100
245,80,100
246,80,100
247,80,101
248,81,101
249,81,101
250,81,101
251,81,101
252,81,101
253,82,101
254,82,101
255,82,101
256,82,102
257,82,102
258,83,102
259,83,102
260,83,102
261,84,102
262,84,102
263,84,102
264,85,102
265,85,102
266,85,102
267,86,102
268,86,102
269,86,102
270,87,102
271,87,102
272,88,102
273,88,102
274,89,102
275,90,102
276,90,102
277,91,101
278,92,101
279,93,101
280,94,100
281,96,100
282,98,98
0,0
1,118
68,182,182
69,180,184
70,180,185
71,180,186
72,179,187
73,179,188
74,179,188
75,179,189
76,179,189
77,178,189
78,178,190
79,178,190
80,178,190
81,178,190
82,177,190
83,177,191
84,177,191
85,177,191
86,177,190
87,176,190
88,176,190
89,176,190
90,176,190
91,176,190
92,175,189
93,175,189
94,175,189
95,175,188
96,174,188
97,174,188
98,174,187
99,174,187
100,173,187
101,173,186
102,173,186
103,173,186
104,173,185
105,172,185
106,172,185
107,172,185
108,172,184
109,171,184
110,171,184
111,171,183
112,171,183
113,170,183
114,170,183
115,170,182
116,170,182
117,169,182
118,169,182
119,169,181
120,169,181
121,168,181
122,168,181
123,168,180
124,168,180
125,167,180
126,167,180
127,167,179
128,167,179
129,166,179
130,166,179
131,166,178
132,166,178
133,165,178
134,165,178
135,165,178
136,165,177
137,165,177
138,164,177
139,164,177
140,164,177
141,164,176
142,163,176
143,163,176
144,163,176
145,163,176
146,163,175
147,162,175
148,162,175
149,162,175
150,162,175
151,161,174
152,161,174
153,161,174
154,161,174
155,161,174
156,160,174
157,160,173
158,160,173
159,160,173
160,159,173
161,159,173
162,159,173
163,159,173
164,158,172
165,158,172
166,158,172
167,158,172
168,157,172
169,157,172
170,157,172
171,157,172
172,156,172
173,156,172
174,156,172
175,156,172
176,155,172
177,155,172
178,172,172
178,155,173
179,172,172
179,154,173
180,172,172
180,154,174
181,153,159
181,153,153
0,121
153,183,187
154,181,191
155,181,194
156,181,196
157,181,198
158,181,200
159,181,201
160,180,203
161,180,205
162,180,206
163,180,208
164,180,209
165,180,211
166,180,212
167,180,213
168,180,215
169,180,216
170,180,217
171,180,218
172,180,219
173,180,220
174,180,220
175,180,221
176,181,221
177,181,221
178,181,221
179,182,221
180,182,221
181,182,220
182,182,220
183,182,219
184,182,219
185,182,218
186,182,217
187,182,216
188,182,215
189,182,214
190,182,214
191,182,213
192,182,212
193,182,212
194,181,211
195,181,210
196,181,210
197,181,209
198,181,209
199,181,208
200,181,208
201,180,208
202,180,207
203,180,207
204,180,207
205,180,206
206,180,206
207,179,206
208,179,205
209,179,205
210,179,205
211,179,205
212,178,204
213,178,204
214,178,204
215,178,204
216,178,203
217,177,203
218,177,203
219,177,203
220,177,202
221,177,202
222,176,202
223,176,201
224,176,201
225,176,201
226,176,201
227,175,200
228,175,200
229,175,200
230,175,200
231,174,199
232,174,199
233,174,199
234,173,199
235,173,198
236,173,198
237,172,198
238,172,197
239,172,197
240,171,197
241,171,197
242,170,196
243,170,196
244,169,196
245,168,196
246,166,195
247,163,195
248,160,195
249,159,194
250,159,194
251,159,194
252,159,193
253,159,193
254,160,193
255,160,192
256,161,192
257,161,192
258,162,191
259,163,191
260,163,191
261,164,190
262,165,190
263,165,189
264,166,189
265,167,188
266,168,188
267,169,187
268,170,187
269,171,186
270,172,185
271,173,184
272,174,182
273,177,180
0,0
1,79
86,221,223
87,220,224
88,220,225
89,219,226
90,219,226
91,219,227
92,218,227
93,218,227
94,218,227
95,217,227
96,217,228
97,216,227
98,216,227
99,216,227
100,215,227
101,215,227
102,215,227
103,214,227
104,214,227
105,213,227
106,213,226
107,213,226
108,212,226
109,212,226
110,212,226
111,211,226
112,211,225
