0,59
62,110,110
63,107,118
64,105,124
65,104,129
66,104,133
67,104,137
68,104,141
69,104,144
70,104,147
71,104,150
72,104,153
73,105,156
74,105,158
75,106,160
76,106,161
77,107,163
78,108,164
79,109,165
80,110,166
81,111,167
82,112,168
83,113,169
84,114,170
85,116,170
86,117,171
87,118,171
88,120,171
89,121,172
90,122,172
91,124,172
92,125,173
93,126,173
94,127,173
95,128,173
96,130,174
97,131,174
98,132,174
99,133,174
100,134,174
101,135,175
102,136,175
103,138,175
104,139,175
105,140,175
106,141,175
107,142,175
108,143,175
109,144,175
110,145,174
111,146,174
112,148,174
113,149,173
114,150,173
115,151,172
116,153,171
117,154,171
118,156,169
119,159,167
120,164,164
0,0
1,98
32,209,210
33,207,212
34,206,213
35,206,214
36,205,215
37,205,216
38,205,217
39,205,217
40,205,218
41,205,219
42,204,219
43,204,220
44,204,220
45,204,221
46,204,222
47,204,222
48,204,223
49,204,223
50,204,223
51,204,224
52,203,224
53,203,224
54,203,225
55,203,225
56,203,225
57,203,225
58,202,226
59,202,226
60,202,226
61,202,226
62,202,226
63,201,226
64,201,226
65,201,226
66,201,225
67,200,225
68,200,225
69,200,225
70,200,224
71,199,224
72,199,224
73,199,223
74,199,223
75,198,222
76,198,222
77,198,221
78,198,221
79,197,220
80,197,220
81,197,219
82,197,219
83,196,218
84,196,218
85,196,217
86,195,217
87,195,216
88,194,216
89,194,215
90,194,215
91,193,214
92,193,214
93,192,213
94,192,213
95,192,212
96,191,212
97,191,211
98,190,211
99,190,210
100,189,210
101,189,209
102,188,209
103,188,208
104,187,208
105,187,207
106,186,206
107,186,204
108,186,203
109,185,202
110,184,200
111,184,199
112,183,198
113,183,196
114,182,195
115,182,194
116,181,192
117,181,191
118,180,189
119,180,188
120,179,187
121,179,185
122,178,184
123,178,183
124,177,181
125,177,180
126,176,178
127,176,177
128,175,176
129,174,174
0,207
172,138,140
173,132,145
174,130,148
175,128,150
176,128,152
177,127,154
178,126,156
179,125,157
180,125,159
181,124,160
182,123,162
183,122,163
184,122,164
185,121,165
186,120,166
187,120,167
188,119,168
189,118,169
190,117,169
191,117,170
192,116,170
193,115,171
194,114,171
195,114,171
196,113,171
197,112,171
198,111,171
199,111,170
200,110,170
201,109,169
202,109,168
203,108,168
203,108,119
203,119,168
204,107,113
204,123,167
205,106,110
205,124,166
206,106,107
206,125,165
207,105,105
207,126,164
207,126,164
208,126,163
209,126,162
210,127,161
211,127,160
212,127,159
213,127,159
214,127,158
215,127,158
216,127,157
217,126,157
218,126,156
219,126,156
220,126,155
221,126,155
222,125,155
223,125,154
224,125,154
225,125,154
226,125,154
227,125,153
228,125,153
229,125,153
230,125,153
231,125,153
232,125,152
233,125,152
234,125,152
235,125,152
236,125,152
237,125,151
238,124,151
239,124,151
240,124,151
241,124,151
242,124,151
243,124,150
244,124,150
245,124,150
246,124,150
247,124,150
248,124,149
249,124,149
250,124,149
251,124,149
252,124,149
253,124,149
254,124,149
255,124,148
256,124,148
257,123,148
258,123,148
259,123,148
260,123,148
261,123,147
262,123,147
263,123,147
264,123,147
265,123,147
266,123,147
267,123,146
268,123,146
269,123,146
270,123,146
271,123,146
272,123,146
273,123,146
274,122,145
275,122,145
276,122,145
277,122,145
278,122,145
279,122,145
280,122,144
281,122,144
282,122,144
283,122,144
284,122,144
285,122,144
286,122,144
287,122,143
288,122,143
289,121,143
290,121,143
291,121,143
292,121,143
293,121,143
294,121,142
295,121,142
296,121,142
297,120,142
298,120,142
299,120,142
300,120,142
301,120,142
302,120,141
303,120,141
304,119,141
305,119,141
306,119,141
307,119,141
308,119,141
309,119,141
310,118,140
311,118,140
312,118,140
313,118,140
314,118,140
315,117,140
316,117,140
317,117,140
318,117,140
319,117,140
320,116,139
321,116,139
322,116,139
323,116,139
324,116,139
325,115,139
326,115,139
327,115,139
328,115,139
329,114,139
330,114,139
331,114,139
332,114,139
333,113,138
334,113,138
335,113,138
336,113,138
337,112,138
338,112,138
339,112,138
340,112,138
341,111,137
342,111,136
343,111,135
344,110,134
345,110,133
346,110,132
347,110,131
348,109,129
349,109,128
350,109,127
351,109,126
352,108,125
353,108,124
354,108,122
355,107,121
356,107,120
357,107,119
358,106,118
359,106,117
360,106,115
361,105,114
362,105,113
363,105,112
364,105,111
365,104,110
366,104,108
367,104,107
368,103,106
369,103,105
370,103,104
371,102,103
0,131
418,123,123
417,120,126
416,119,127
415,117,128
414,116,129
413,115,130
412,115,130
411,114,131
410,113,132
409,112,132
408,111,133
407,111,134
406,110,134
405,109,135
404,109,135
403,108,136
402,107,136
401,107,137
400,106,137
399,106,138
398,105,138
397,105,139
396,104,140
395,104,140
394,103,141
393,103,142
392,102,143
391,102,143
390,102,144
389,101,145
388,101,145
387,101,146
386,101,147
385,100,148
384,100,149
383,100,149
382,100,150
381,100,151
380,100,152
379,100,152
378,100,153
377,100,154
376,100,155
375,101,155
374,101,156
373,101,157
372,102,158
371,103,158
370,104,159
369,105,160
368,106,161
367,107,161
366,108,162
365,110,163
364,111,164
363,112,165
362,113,165
361,114,166
360,115,167
359,116,168
358,118,169
357,119,169
356,120,170
355,121,171
354,142,172
354,122,172
354,122,142
353,145,173
353,123,140
352,147,173
352,125,139
351,148,174
351,126,139
350,150,175
350,127,138
349,151,176
349,128,138
348,152,177
348,129,138
347,153,177
347,130,138
346,155,178
346,132,138
345,156,179
345,133,138
344,157,180
344,134,138
343,158,181
343,135,138
342,159,182
342,136,138
341,160,182
341,137,138
340,161,183
340,138,138
340,161,183
339,162,184
338,164,185
337,165,186
336,166,186
335,167,187
334,168,188
333,169,189
332,171,190
331,172,191
330,173,192
329,174,192
328,176,193
327,177,194
326,178,195
325,179,196
324,180,196
323,182,197
