1,152
58,145,147
59,144,148
60,144,149
61,143,150
62,143,150
63,142,151
64,142,151
65,142,152
66,142,152
67,141,153
68,141,153
69,141,153
70,141,154
71,141,154
72,141,154
73,141,155
74,140,155
75,140,155
76,140,156
77,140,156
78,140,156
79,140,156
80,139,156
81,139,157
82,139,157
83,139,157
84,139,157
85,139,157
86,138,157
87,138,157
88,138,157
89,138,158
90,138,158
91,137,158
92,137,157
93,137,157
94,137,157
95,137,157
96,137,157
97,136,157
98,136,157
99,136,157
100,136,157
101,136,157
102,135,156
103,135,156
104,135,156
105,135,156
106,134,156
107,134,155
108,134,155
109,134,155
110,134,155
111,133,154
112,133,154
113,133,154
114,133,153
115,132,153
116,132,153
117,132,153
118,132,153
119,131,152
120,131,152
121,131,152
122,130,152
123,130,151
124,130,151
125,130,151
126,129,151
127,129,150
128,129,150
129,128,150
130,128,150
131,128,149
132,127,149
133,127,149
134,127,148
135,127,148
136,126,148
137,126,148
138,126,147
139,125,147
140,125,147
141,125,147
142,124,147
143,124,146
144,124,146
145,123,146
146,123,146
147,123,145
148,122,145
149,122,145
150,122,145
151,121,144
152,121,144
153,121,144
154,120,144
155,120,143
156,119,143
157,119,143
158,119,143
159,118,142
160,118,142
161,118,142
162,117,142
163,117,141
164,116,141
165,116,141
166,116,141
167,115,140
168,115,140
169,115,140
170,114,140
171,114,139
172,114,139
173,114,139
174,113,138
175,113,138
176,113,138
177,113,138
178,113,137
179,113,137
180,113,137
181,112,137
182,112,136
183,112,136
184,112,136
185,112,136
186,112,135
187,113,135
188,113,135
189,113,135
190,113,134
191,113,134
192,113,134
193,114,133
194,114,133
195,114,133
196,114,133
197,114,132
198,115,132
199,115,132
200,115,131
201,116,131
202,116,131
203,116,130
204,117,130
205,117,130
206,118,129
207,119,129
208,120,128
209,121,127
0,0
0,237
38,132,134
39,129,138
40,128,140
41,128,142
42,128,144
43,128,145
44,128,147
45,128,148
46,128,150
47,128,151
48,128,152
49,129,153
50,129,154
51,129,155
52,129,156
53,130,157
54,130,158
55,130,159
56,130,160
57,130,161
58,130,162
59,130,163
60,130,164
61,130,165
62,130,165
63,130,166
64,130,166
65,130,167
66,130,167
67,130,168
68,130,168
69,130,168
70,129,168
71,129,167
72,129,167
73,129,166
74,129,166
75,129,164
76,129,164
77,129,163
78,128,162
79,128,162
80,128,161
81,128,160
82,128,160
83,127,159
84,127,159
85,127,158
86,127,157
87,127,157
88,126,156
89,126,156
90,126,155
91,126,155
92,126,154
93,125,154
94,125,153
95,125,153
96,125,152
97,124,152
98,124,152
99,124,151
100,124,151
101,124,150
102,123,150
103,123,149
104,123,149
105,123,148
106,122,148
107,122,147
108,122,147
109,121,147
110,121,146
111,121,146
112,121,145
113,120,145
114,120,144
115,120,144
116,120,144
117,119,143
118,119,143
119,119,142
120,118,142
121,118,141
122,118,141
123,118,140
