0,232
52,157,163
53,154,167
54,153,170
55,152,172
56,152,174
57,152,175
58,152,177
59,152,179
60,152,180
61,152,182
62,152,183
63,153,184
64,153,185
65,153,187
66,154,188
67,154,189
68,154,190
69,155,191
70,155,192
71,155,194
72,155,194
73,155,195
74,155,196
75,156,197
76,156,198
77,156,198
78,156,199
79,156,199
80,156,200
81,155,200
82,155,200
83,155,200
84,155,200
85,155,200
86,155,200
87,155,200
88,154,200
89,154,199
90,154,199
91,154,198
92,154,197
93,153,196
94,153,195
95,153,194
96,152,193
97,152,192
98,152,192
99,151,191
100,151,190
101,151,189
102,150,188
103,150,188
104,150,187
105,149,186
106,149,185
107,149,185
108,148,184
109,148,183
110,147,182
111,147,182
112,147,181
113,146,180
114,146,180
115,145,179
116,145,178
117,144,178
118,144,177
119,143,176
120,143,176
121,142,175
122,142,174
123,141,174
124,141,173
125,140,172
126,140,172
127,139,171
128,139,170
129,138,170
130,138,169
131,137,169
132,137,168
133,136,167
134,136,167
135,135,166
136,134,166
137,134,165
138,133,164
139,133,164
140,132,163
141,132,163
142,131,162
143,131,161
144,130,161
145,129,160
146,129,159
147,128,159
148,127,158
149,127,157
150,126,157
151,126,156
152,125,156
153,125,155
154,124,154
155,123,154
156,123,153
157,122,153
158,121,152
159,121,151
160,120,151
161,120,150
162,119,149
163,118,149
164,118,148
165,117,147
166,116,147
167,116,146
168,115,145
169,114,144
170,114,144
171,113,143
172,112,142
173,112,142
174,111,141
175,110,140
176,110,140
177,109,139
178,109,138
179,108,138
180,107,137
181,106,136
182,106,136
183,105,135
184,104,134
185,104,133
186,103,133
187,102,132
188,102,131
189,101,130
190,100,130
191,99,129
192,99,128
193,98,127
194,97,127
195,97,126
196,96,125
197,95,124
198,95,124
199,94,123
200,93,122
201,92,121
202,92,121
203,91,120
204,90,119
205,90,118
206,89,117
207,88,117
208,87,116
209,87,115
210,86,114
211,85,113
212,84,112
213,84,112
214,83,111
215,82,110
216,81,109
217,81,108
218,80,108
219,79,107
220,78,106
221,78,105
222,77,104
223,76,103
224,75,103
225,75,102
226,74,101
227,73,100
228,72,99
229,71,98
230,71,97
231,70,96
232,69,95
233,68,95
234,68,94
235,67,93
236,66,92
237,65,91
238,64,90
239,64,89
240,63,88
241,62,87
242,61,86
243,60,85
244,60,84
245,59,84
246,58,83
247,57,82
248,56,81
249,56,80
250,55,79
251,54,78
252,53,76
253,52,76
254,51,75
255,51,74
256,50,72
257,49,71
258,48,70
259,47,69
260,47,68
261,46,67
262,45,66
263,44,65
264,43,64
265,42,63
266,42,62
267,41,61
268,40,59
269,39,58
270,38,57
271,37,56
272,36,54
273,35,53
274,35,52
275,34,51
276,33,50
277,33,48
278,32,47
279,32,45
280,32,43
281,32,41
282,32,38
283,34,34
0,0
0,267
177,123,124
178,120,128
179,119,130
180,118,132
181,118,134
182,117,135
183,117,136
184,117,137
185,117,138
186,117,139
187,117,140
188,117,141
189,117,142
190,117,143
191,118,144
192,118,145
193,118,146
194,119,147
195,119,148
196,119,149
197,120,150
198,120,150
199,120,151
200,121,152
201,121,153
202,122,154
203,122,155
204,123,156
205,123,156
206,124,157
207,124,157
208,124,158
209,125,158
210,125,159
211,126,159
212,126,159
213,127,159
214,127,159
215,128,159
216,128,159
217,128,159
218,129,159
219,129,159
220,129,159
221,130,158
222,130,158
223,130,158
224,130,158
225,130,158
226,131,157
227,131,157
228,131,157
229,131,157
230,131,157
231,131,157
232,131,157
233,131,157
234,131,156
235,132,156
236,132,156
237,132,156
238,132,156
239,132,156
240,132,156
241,132,156
242,132,156
243,132,156
244,132,156
245,132,156
246,132,155
247,132,155
248,132,155
249,132,155
250,132,155
251,132,155
252,132,155
253,132,155
254,132,155
255,132,155
256,132,155
257,132,155
258,132,155
259,132,155
260,132,155
261,132,155
262,132,155
263,132,154
264,132,154
265,132,154
266,132,154
267,132,154
268,132,154
269,132,154
270,132,154
271,132,154
272,132,154
273,132,154
274,132,154
275,132,154
276,132,154
277,132,154
278,132,154
279,132,154
280,132,154
281,132,154
282,132,154
283,132,154
284,132,154
285,132,154
286,132,154
287,131,153
288,131,153
289,131,153
290,131,153
291,131,153
292,131,153
293,131,153
294,131,153
295,131,153
296,131,153
297,131,153
298,131,153
299,131,153
300,131,153
301,131,153
302,131,153
303,131,153
304,131,153
305,131,153
306,131,153
307,131,153
308,131,153
309,131,153
310,131,153
311,131,153
312,130,153
313,130,153
314,130,153
315,130,153
316,130,153
317,130,153
318,130,153
319,130,153
320,130,153
321,130,153
322,129,153
323,129,152
324,129,152
325,129,152
326,129,152
327,129,152
328,129,152
329,129,152
330,128,152
331,128,152
332,128,152
333,128,152
334,128,152
335,128,152
336,127,152
337,127,152
338,127,152
339,127,152
340,127,152
341,127,152
342,126,152
343,126,152
344,126,152
345,126,152
346,126,152
347,126,152
348,125,152
349,125,152
350,125,152
351,125,152
352,125,152
353,124,152
354,124,152
355,124,152
356,124,152
357,124,152
358,123,152
359,123,152
360,123,152
361,123,152
362,122,152
363,122,152
364,122,152
