0,43
68,102,105
69,99,110
70,99,115
71,98,119
72,98,123
73,98,126
74,98,129
75,98,131
76,99,133
77,99,135
78,100,136
79,100,137
80,101,139
81,101,140
82,102,140
83,103,141
84,104,142
85,105,143
86,106,143
87,107,144
88,108,144
89,109,144
90,110,145
91,110,145
92,111,145
93,112,145
94,113,145
95,114,146
96,115,146
97,116,146
98,117,146
99,118,146
100,119,146
101,120,146
102,121,145
103,122,145
104,124,145
105,125,144
106,127,144
107,129,143
108,131,142
109,134,141
110,138,138
0,0
0,57
36,246,246
37,241,250
38,239,253
39,239,254
40,239,256
41,238,257
42,238,259
43,238,260
44,238,261
45,238,262
46,238,263
47,238,264
48,238,265
49,238,265
50,238,266
51,237,267
52,237,268
53,237,268
54,236,269
55,236,270
56,235,270
57,234,271
58,234,271
59,233,271
60,232,271
61,232,271
62,231,271
63,230,269
64,230,268
65,229,266
66,228,263
67,228,261
68,227,259
69,226,257
70,225,255
71,225,253
72,224,252
73,223,250
74,222,248
75,222,246
76,221,244
77,220,243
78,219,241
79,218,239
80,218,237
81,217,236
82,216,234
83,215,232
84,215,231
85,214,229
86,213,227
87,212,226
88,212,224
89,212,222
90,212,221
91,213,219
92,215,216
0,0
0,128
127,96,97
128,94,100
129,93,102
130,92,103
131,92,105
132,92,106
133,92,108
134,92,109
135,92,111
136,93,112
137,93,113
138,93,114
139,94,115
140,94,116
141,95,117
142,95,118
143,95,118
144,96,119
145,96,119
146,96,120
147,96,120
148,97,120
149,97,120
150,97,120
151,97,120
152,98,120
153,98,119
154,98,119
155,98,119
156,98,119
157,98,119
158,98,118
159,99,118
160,99,118
161,99,118
162,99,118
163,99,118
164,99,118
165,99,118
166,99,118
167,99,118
168,99,118
169,99,118
170,99,117
171,99,117
172,99,117
173,99,117
174,99,117
175,99,117
176,99,117
177,99,117
178,99,117
179,99,117
180,99,117
181,99,117
182,99,117
183,99,117
184,98,117
185,98,117
186,98,117
187,98,117
188,98,117
189,98,117
190,98,117
191,98,117
192,98,117
193,98,117
194,98,117
195,97,117
196,97,117
197,97,117
198,97,117
199,97,117
200,97,117
201,97,117
202,96,117
203,96,117
204,96,117
205,96,117
206,96,117
207,96,117
208,96,116
209,95,116
210,95,116
211,95,116
212,95,116
213,95,116
214,95,116
215,95,116
216,94,116
217,94,116
218,94,116
219,94,116
220,94,116
221,94,116
222,93,116
223,93,116
224,93,116
225,93,116
226,93,116
227,93,116
228,92,116
229,92,116
230,92,116
231,92,116
232,93,116
233,93,116
234,93,115
235,93,115
236,93,115
237,94,115
238,94,115
239,95,115
240,95,115
241,95,115
242,96,114
243,97,114
244,97,114
245,98,114
246,98,113
247,99,113
248,100,113
249,101,113
250,102,112
251,103,112
252,104,111
253,106,111
254,109,109
0,0
1,132
100,142,145
101,141,146
102,140,146
103,140,147
104,139,148
105,139,148
106,139,149
107,139,149
108,139,150
109,138,150
110,138,150
111,138,151
112,138,151
113,138,151
114,138,152
115,138,152
116,137,152
117,137,152
118,137,152
119,137,153
120,137,152
121,137,152
122,136,152
123,136,152
124,136,151
125,136,151
126,136,151
127,135,150
128,135,150
129,135,149
130,135,149
131,135,149
132,134,148
133,134,148
134,134,148
135,134,147
136,134,147
137,133,147
138,133,146
139,133,146
140,133,146
141,132,146
142,132,145
143,132,145
144,132,145
145,132,144
146,131,144
147,131,144
148,131,144
149,131,143
150,130,143
151,130,143
152,130,142
153,130,142
154,129,142
155,129,142
156,129,142
157,129,141
158,128,141
159,128,141
160,128,141
161,128,140
162,127,140
163,127,140
164,127,140
165,127,139
166,127,139
167,126,139
168,126,139
169,126,139
170,126,138
171,125,138
172,125,138
173,125,138
174,125,138
175,125,137
176,124,137
177,124,137
178,124,137
179,124,137
180,123,136
181,123,136
182,123,136
183,123,136
184,123,136
185,122,136
186,122,135
187,122,135
188,122,135
189,122,135
190,121,135
191,121,135
192,121,134
193,121,134
194,121,134
195,120,134
196,120,134
197,120,134
198,120,133
199,120,133
200,119,133
201,119,133
202,119,133
203,119,133
204,119,133
205,118,132
206,118,132
207,118,132
208,118,132
209,117,132
210,117,132
211,117,132
212,117,132
213,117,131
214,116,131
215,116,131
216,116,131
217,116,131
218,115,131
219,115,131
220,115,131
221,115,131
222,114,131
223,114,131
224,114,131
225,113,131
226,113,131
227,113,131
228,113,131
229,112,132
230,130,132
230,132,132
0,146
110,234,234
111,231,240
112,229,244
113,229,247
114,229,249
115,229,251
116,229,253
117,229,256
118,229,257
119,229,259
120,229,260
121,229,262
122,229,263
123,229,263
124,229,264
125,229,264
126,229,264
127,229,264
128,229,264
129,229,264
130,229,263
131,230,263
132,230,262
133,231,261
134,232,261
135,233,261
136,234,260
137,234,260
138,235,260
139,235,260
140,236,260
141,236,259
142,236,259
143,236,259
144,236,259
145,237,259
146,237,259
147,237,259
148,237,259
149,237,259
150,238,259
151,238,259
152,238,259
153,238,259
154,238,259
155,238,259
156,238,259
157,238,259
158,238,259
159,238,259
160,238,259
161,238,259
162,238,259
163,238,259
164,238,259
165,238,259
166,238,259
167,238,259
168,238,259
169,238,259
170,238,259
171,238,260
172,238,260
173,238,260
174,238,260
175,238,260
176,238,260
177,238,260
178,238,260
179,238,260
180,238,260
181,238,260
182,238,260
183,238,260
184,238,260
185,238,260
186,238,260
187,238,260
188,238,260
189,238,261
190,237,261
191,237,261
192,237,261
193,237,261
194,237,261
195,237,261
196,237,261
197,237,261
198,237,261
199,237,261
200,237,261
201,237,261
202,237,261
203,237,261
204,236,261
205,236,261
206,236,261
207,236,261
208,236,261
209,236,261
210,236,261
211,236,261
212,236,261
213,236,261
214,235,261
215,235,261
216,234,261
217,233,261
218,229,261
219,228,261
220,228,261
221,228,261
222,229,261
223,229,260
224,229,260
225,229,260
226,230,260
227,230,260
228,230,259
229,231,259
230,231,259
231,231,259
232,231,258
233,232,258
234,232,258
235,232,257
236,233,257
237,233,256
238,233,256
239,233,256
240,234,255
241,234,255
242,234,254
243,235,254
244,235,253
245,235,253
246,235,252
247,236,252
248,236,251
249,236,251
250,237,250
251,237,249
252,237,248
253,238,248
254,239,247
255,242,244
1,37
238,253,253
237,250,252
236,246,251
235,243,250
234,239,249
233,236,247
232,232,246
231,229,245
230,225,244
229,222,243
228,219,242
227,219,241
226,219,240
225,219,239
224,219,238
223,219,237
222,218,236
221,218,235
220,218,234
219,218,234
218,218,233
217,218,232
216,218,231
215,218,230
214,218,230
213,218,229
212,218,228
211,218,228
210,218,227
209,218,227
208,218,226
207,217,225
206,218,224
205,218,223
204,218,222
203,218,221
202,219,220
0,0
0,223
24,166,166
25,162,173
26,159,176
27,158,179
28,157,181
29,156,183
30,155,185
31,155,187
32,155,188
33,156,190
34,156,191
35,157,193
36,157,194
37,158,195
38,159,196
39,159,197
40,160,198
41,160,199
42,161,199
43,161,200
44,162,200
45,163,200
46,163,200
47,164,200
48,164,200
49,165,200
50,165,200
51,166,199
52,166,199
53,166,198
54,166,198
55,167,198
56,167,198
57,167,197
58,167,197
59,167,197
60,167,197
61,168,197
62,168,197
63,168,196
64,168,196
65,168,196
66,168,196
67,168,196
68,168,196
69,169,196
70,169,195
71,169,195
72,169,195
73,169,195
74,169,195
75,169,195
76,169,195
77,169,195
78,169,195
79,170,194
80,170,194
81,170,194
82,170,194
83,170,194
84,170,194
85,170,194
86,170,194
87,170,194
88,170,194
89,170,194
90,170,194
91,170,193
92,170,193
93,170,193
94,170,193
95,170,193
96,170,193
97,171,193
98,171,193
99,171,193
100,171,193
101,171,193
102,171,193
103,171,193
104,171,193
105,171,192
106,171,192
107,171,192
108,171,192
109,171,192
110,171,192
111,171,192
112,171,192
113,171,192
114,171,192
115,171,192
116,171,192
117,171,192
118,171,192
119,171,192
120,171,191
121,171,191
122,171,191
123,171,191
124,171,191
125,171,191
126,171,191
127,170,191
128,170,191
129,170,191
130,170,191
131,170,191
132,170,191
133,170,191
134,170,190
135,170,190
136,170,190
137,170,190
138,170,190
139,170,190
140,170,190
141,170,190
142,170,190
143,170,190
144,170,190
145,170,190
146,170,190
147,170,190
148,170,189
149,170,189
150,170,189
151,170,189
152,170,189
153,170,189
154,169,189
155,169,189
156,169,189
157,169,189
158,169,189
159,169,189
160,169,189
161,169,189
162,169,188
163,169,188
164,169,188
165,169,188
166,169,188
167,169,188
168,169,188
169,169,188
170,169,188
171,169,188
172,168,188
173,168,188
174,168,188
175,168,187
176,168,187
177,168,187
178,168,187
179,168,187
180,168,187
181,168,187
182,168,187
183,168,187
184,168,187
185,168,187
186,168,187
187,168,187
188,167,186
189,167,186
190,167,186
191,167,186
192,167,186
193,167,186
194,167,186
195,167,186
196,167,186
197,167,186
198,167,186
199,167,186
200,167,186
201,166,185
202,166,185
203,166,185
204,166,185
205,166,185
206,166,185
207,166,185
208,166,185
209,166,185
210,166,185
211,166,185
212,166,185
213,166,185
214,165,185
215,165,184
216,165,184
217,165,184
218,165,184
219,165,184
220,165,184
221,165,184
222,165,183
223,165,183
224,165,183
225,165,183
226,165,183
227,165,182
228,165,182
229,165,182
230,165,182
231,166,181
232,166,181
233,166,181
234,166,180
235,166,180
236,166,180
237,167,179
238,167,179
239,167,179
240,168,178
241,168,178
242,168,177
243,169,176
244,169,176
245,170,175
246,172,173
0,0
0,72
161,141,141
162,136,145
163,135,148
164,135,150
165,135,152
166,135,154
167,136,155
168,136,156
169,136,157
170,136,158
171,136,159
172,137,159
173,137,158
174,137,158
175,137,157
176,137,157
177,137,156
178,137,156
179,137,155
180,137,155
181,137,154
182,137,154
183,136,153
184,136,153
185,136,152
186,136,152
187,135,151
188,135,151
189,135,150
