0,106
179,72,75
180,70,77
181,69,77
182,68,78
183,68,79
184,67,79
185,67,80
186,67,81
187,66,81
188,66,81
189,66,82
190,65,82
191,65,82
192,65,82
193,64,83
194,64,83
195,64,83
196,63,83
197,63,83
198,62,83
199,62,83
200,62,83
201,61,83
202,61,83
203,61,83
204,60,83
205,60,83
206,59,83
207,59,83
208,59,83
209,58,83
210,58,83
211,57,83
212,57,83
213,57,83
214,56,83
215,56,83
216,55,83
217,55,83
218,54,83
219,54,83
220,53,83
221,53,83
222,53,83
223,52,83
224,52,82
225,51,82
226,51,82
227,50,82
228,50,82
229,49,82
230,49,82
231,48,81
232,48,81
233,48,81
234,47,81
235,46,81
236,46,80
237,45,80
238,45,80
239,45,79
240,44,79
241,43,79
242,43,79
243,43,78
244,42,78
245,42,78
246,41,77
247,41,77
248,40,77
249,40,76
250,40,76
251,39,76
252,39,75
253,39,75
254,39,75
255,39,74
256,38,74
257,38,73
258,38,73
259,38,73
260,38,72
261,38,72
262,38,71
263,38,71
264,38,70
265,38,70
266,38,69
267,38,69
268,39,68
269,39,67
270,39,67
271,39,66
272,39,65
273,40,64
274,40,64
275,40,63
276,41,62
277,41,61
278,42,60
279,42,59
280,43,57
281,43,56
282,44,54
283,45,52
284,49,49
0,0
0,400
40,114,120
41,112,123
42,111,126
43,110,128
44,109,130
45,108,132
46,108,134
47,108,135
48,107,137
49,107,138
50,107,140
51,108,141
52,108,143
53,108,144
54,109,146
55,109,147
56,110,148
57,110,150
58,111,151
59,112,152
60,112,153
61,113,155
62,113,156
63,114,157
64,114,158
65,115,158
66,115,159
67,116,160
68,116,160
69,117,160
70,117,161
71,118,161
72,118,161
73,118,161
74,119,160
75,119,160
76,120,160
77,120,159
78,120,159
79,120,159
80,121,158
81,121,158
82,121,157
83,122,157
84,122,157
85,122,157
86,122,157
87,122,156
88,123,156
89,123,156
90,123,156
91,123,156
92,123,155
93,124,155
94,124,155
95,124,155
96,124,155
97,124,155
98,124,154
99,124,154
100,124,154
101,124,154
102,124,154
103,124,154
104,124,154
105,124,154
106,124,153
107,124,153
108,124,153
109,124,153
110,124,153
111,124,153
112,125,153
113,125,153
114,125,153
115,125,153
116,125,152
117,125,152
118,125,152
119,125,152
120,125,152
121,125,152
122,125,152
123,125,152
124,125,152
125,125,152
126,125,152
127,125,152
128,125,152
129,125,151
130,125,151
131,125,151
132,125,151
133,125,151
134,125,151
135,125,151
136,125,151
137,125,151
138,125,151
139,125,151
140,125,151
141,125,151
142,125,151
143,125,151
144,125,150
145,125,150
146,125,150
147,125,150
148,125,150
149,125,150
150,125,150
151,125,150
152,125,150
153,125,150
154,125,150
155,125,150
156,125,150
157,125,150
158,125,150
159,125,150
160,125,150
161,125,150
162,125,150
163,125,149
164,125,149
165,125,149
166,125,149
167,125,149
168,125,149
169,125,149
170,125,149
171,125,149
172,125,149
173,125,149
174,125,149
175,125,149
176,125,149
177,125,149
178,125,149
179,125,149
180,125,149
181,125,149
182,125,149
183,125,149
184,125,149
185,125,149
186,125,149
187,125,149
188,125,149
189,125,149
190,125,148
191,124,148
192,124,148
193,124,148
194,124,148
195,124,148
196,124,148
197,124,148
198,124,148
199,124,148
200,124,148
201,124,148
202,124,148
203,124,148
204,124,148
205,124,148
206,124,148
207,124,148
208,124,148
209,124,148
210,124,148
211,124,148
212,124,148
213,124,148
214,124,148
215,124,148
216,124,148
217,124,148
218,124,148
219,124,148
220,124,148
221,124,148
222,124,148
223,124,148
224,124,148
225,124,148
226,124,148
227,124,148
228,124,148
229,124,148
230,124,148
231,124,148
232,124,148
233,124,148
234,124,148
235,124,147
236,124,147
237,124,147
238,124,147
239,124,147
240,124,147
241,124,147
242,124,147
243,124,147
244,124,147
245,124,147
246,124,147
247,124,147
248,124,147
249,124,147
250,124,147
251,124,147
252,123,147
253,123,147
254,123,147
255,123,147
256,123,147
257,123,147
258,123,147
259,123,147
260,123,147
261,123,147
262,123,147
263,123,147
264,123,147
265,123,147
266,123,147
267,123,147
268,123,147
269,123,147
270,123,147
271,123,147
272,123,147
273,123,147
274,123,147
275,123,147
276,123,147
277,123,147
278,123,147
279,123,147
280,123,147
281,123,147
282,123,147
283,123,147
284,123,147
285,123,147
286,123,147
287,123,147
288,123,147
289,123,147
290,122,147
291,122,147
292,122,147
293,122,147
294,122,147
295,122,147
296,122,147
297,122,147
298,122,147
299,122,147
300,122,147
301,122,147
302,122,147
303,122,147
304,122,147
305,122,147
306,122,147
307,122,147
308,122,146
309,122,146
310,121,146
311,121,146
312,121,146
313,121,146
314,121,146
315,121,146
316,121,146
317,121,146
318,121,146
319,121,146
320,121,146
321,121,146
322,121,146
323,120,146
324,120,146
325,120,146
326,120,146
327,120,146
328,120,146
329,120,146
330,120,146
331,120,146
332,120,146
333,119,146
334,119,146
335,119,146
336,119,146
337,119,146
338,119,146
339,119,146
340,119,146
341,118,146
342,118,146
343,118,146
344,118,146
345,118,146
346,118,146
347,118,146
348,117,146
349,117,146
350,117,146
351,117,146
352,117,146
353,117,146
354,116,146
355,116,146
356,116,146
357,116,146
358,116,146
359,116,146
360,115,146
361,115,146
362,115,146
363,115,146
364,114,146
365,114,146
366,114,146
367,114,146
368,114,146
369,113,146
370,113,146
371,113,146
372,113,146
373,112,146
374,112,146
375,112,146
376,112,146
377,111,146
378,111,146
379,111,146
380,111,146
381,110,146
382,110,146
383,110,146
384,110,146
385,110,146
386,109,146
387,109,146
388,109,146
389,109,146
390,109,146
391,109,146
392,109,146
393,109,146
394,109,146
395,109,146
396,109,146
397,109,146
398,109,146
399,109,146
400,109,146
401,109,146
402,110,146
403,110,146
404,110,146
405,110,146
406,111,146
407,111,146
408,112,146
409,112,145
410,112,145
411,112,145
412,113,145
413,113,145
414,114,144
415,114,144
416,114,144
417,115,144
418,115,143
419,115,143
420,116,143
421,116,142
422,117,142
423,117,141
424,117,141
425,118,141
426,118,140
427,119,140
428,119,139
429,119,139
430,120,138
431,120,137
432,121,137
433,122,136
434,122,136
435,123,135
436,123,134
437,124,133
438,126,132
439,129,129
0,0
0,71
157,148,148
158,146,153
159,145,155
160,145,157
161,145,159
162,144,161
163,144,163
164,145,165
165,145,167
166,145,169
167,145,170
168,146,172
169,146,174
170,147,176
171,147,177
172,148,179
173,149,180
174,150,182
175,150,183
176,151,185
177,152,186
178,153,188
179,154,189
180,155,191
181,156,192
182,156,193
183,157,195
184,158,196
185,159,197
186,160,198
187,161,199
188,161,200
189,162,201
190,163,202
191,164,202
192,165,203
193,166,204
194,167,204
195,167,205
196,168,205
197,169,206
198,170,206
199,171,207
200,171,207
201,172,207
202,173,207
203,174,207
204,175,208
205,175,208
206,176,208
207,177,208
208,178,208
209,179,208
210,179,208
211,180,208
212,181,208
213,182,208
214,183,208
215,183,208
216,184,208
217,185,207
218,186,207
219,186,207
220,187,207
221,188,206
222,189,206
223,190,205
224,191,204
225,193,203
226,194,202
227,197,197
0,0
1,246
217,193,196
218,192,197
219,192,198
220,191,199
221,191,200
222,191,201
223,191,202
224,191,202
225,190,203
226,190,204
227,190,205
228,190,205
229,190,206
230,190,206
231,190,207
232,189,207
233,189,207
234,189,208
235,189,208
236,189,208
237,189,209
238,189,209
239,188,209
240,188,209
241,188,209
242,188,209
243,188,209
244,188,210
245,188,210
246,187,210
247,187,210
248,187,210
249,187,210
250,187,209
251,187,209
252,187,209
253,186,209
254,186,209
255,186,209
256,186,208
257,186,208
258,186,208
259,185,208
260,185,207
261,185,207
262,185,207
