1,153
32,206,208
33,205,209
34,204,209
35,204,210
36,203,211
37,203,211
38,203,212
39,202,212
40,202,212
41,202,213
42,202,213
43,201,214
44,201,214
45,201,214
46,201,215
47,201,215
48,201,215
49,201,215
50,200,216
51,200,216
52,200,216
53,200,216
54,200,216
55,199,217
56,199,217
57,199,217
58,199,217
59,199,217
60,198,217
61,198,217
62,198,217
63,198,217
64,198,218
65,197,217
66,197,217
67,197,217
68,197,217
69,197,217
70,196,217
71,196,217
72,196,217
73,196,217
74,195,216
75,195,216
76,195,216
77,195,216
78,194,216
79,194,215
80,194,215
81,194,215
82,194,215
83,193,214
84,193,214
85,193,214
86,192,213
87,192,213
88,192,213
89,192,213
90,191,212
91,191,212
92,191,212
93,190,212
94,190,211
95,190,211
96,189,211
97,189,210
98,189,210
99,189,210
100,188,210
101,188,209
102,188,209
103,187,209
104,187,209
105,187,208
106,186,208
107,186,208
108,186,207
109,185,207
110,185,207
111,185,207
112,184,206
113,184,206
114,184,206
115,183,205
116,183,205
117,183,205
118,182,205
119,182,204
120,181,204
121,181,204
122,181,204
123,180,203
124,180,203
125,180,203
126,179,202
127,179,202
128,178,202
129,178,202
130,178,201
131,177,201
132,177,201
133,177,200
134,176,200
135,176,200
136,175,200
137,175,199
138,174,199
139,174,199
140,174,199
141,173,198
142,173,198
143,172,198
144,172,198
145,172,197
146,171,197
147,171,197
148,171,196
149,171,196
150,170,196
151,170,196
152,170,195
153,170,195
154,170,195
155,170,194
156,170,194
157,170,194
158,170,193
159,169,193
160,170,193
161,170,193
162,170,192
163,170,192
164,170,192
165,170,191
166,170,191
167,170,191
168,171,191
169,171,190
170,171,190
171,171,190
172,171,189
173,172,189
174,172,189
175,172,188
176,172,188
177,173,188
178,173,187
179,174,187
180,174,186
181,175,186
182,176,185
183,177,184
184,178,183
0,0
0,420
34,115,119
35,113,123
36,112,126
37,111,128
38,110,130
39,109,132
40,109,134
41,109,135
42,109,137
43,108,138
44,109,140
45,109,141
46,109,143
47,109,144
48,110,146
49,110,147
50,111,148
51,112,150
52,112,151
53,113,152
54,113,153
55,114,154
56,115,155
57,115,156
58,116,157
59,116,158
60,117,159
61,117,159
62,118,159
63,118,160
64,118,160
65,119,160
66,119,160
67,120,160
68,120,159
69,120,159
70,121,159
71,121,158
72,121,158
73,122,157
74,122,157
75,122,157
76,122,156
77,123,156
78,123,156
79,123,156
80,124,155
81,124,155
82,124,155
83,124,155
84,124,155
85,124,154
86,125,154
87,125,154
88,125,154
89,125,154
90,125,154
91,125,153
92,125,153
93,125,153
94,126,153
95,126,153
96,126,153
97,126,153
98,126,153
99,126,152
100,126,152
101,126,152
102,126,152
103,126,152
104,126,152
105,126,152
106,126,152
107,126,151
108,126,151
109,126,151
110,126,151
111,126,151
112,126,151
113,126,151
114,126,151
115,126,151
116,126,151
117,126,150
118,126,150
119,126,150
120,126,150
121,126,150
122,126,150
123,126,150
124,126,150
125,126,150
126,126,150
127,126,150
128,126,150
129,126,150
130,126,149
131,126,149
132,126,149
133,126,149
134,126,149
135,126,149
136,126,149
137,126,149
138,126,149
139,126,149
140,126,149
141,126,149
142,126,149
143,126,149
144,126,148
145,126,148
146,126,148
147,126,148
148,126,148
149,126,148
150,126,148
151,126,148
152,126,148
153,126,148
154,126,148
155,126,148
156,126,148
157,126,148
158,126,148
159,126,148
160,126,148
161,125,148
162,125,147
