0,62
70,99,99
71,94,106
72,93,111
73,92,115
74,92,119
75,92,123
76,92,126
77,92,130
78,92,133
79,92,136
80,93,138
81,93,141
82,94,143
83,94,146
84,95,148
85,95,150
86,96,151
87,97,153
88,98,154
89,99,155
90,100,156
91,101,157
92,102,158
93,103,159
94,105,160
95,106,160
96,107,161
97,108,161
98,110,162
99,111,162
100,112,162
101,113,162
102,115,163
103,116,163
104,117,163
105,118,164
106,119,164
107,120,164
108,121,164
109,122,164
110,124,165
111,125,165
112,126,165
113,127,165
114,128,165
115,129,165
116,130,165
117,131,165
118,132,165
119,133,165
120,135,165
121,136,165
122,137,165
123,138,164
124,139,164
125,140,163
126,141,163
127,142,162
128,144,161
129,146,160
130,149,158
131,154,154
0,0
0,56
167,56,60
168,53,64
169,52,68
170,51,71
171,51,75
172,51,78
173,51,81
174,51,84
175,52,87
176,52,89
177,52,91
178,52,93
179,53,95
180,54,97
181,54,98
182,55,100
183,56,101
184,57,103
185,57,104
186,58,105
187,60,106
188,61,107
189,61,108
190,62,109
191,63,110
192,64,110
193,65,111
194,66,111
195,67,112
196,68,112
197,69,113
198,70,113
199,71,113
200,72,114
201,73,114
202,74,114
203,75,114
204,76,114
205,77,114
206,78,114
207,79,114
208,80,114
209,81,114
210,82,114
211,83,114
212,85,114
213,86,114
214,87,114
215,89,113
216,90,113
217,92,112
218,94,111
219,96,111
220,98,110
221,101,108
222,105,105
0,0
0,181
422,88,88
421,85,91
420,82,93
419,81,93
418,79,94
417,78,94
416,77,95
415,76,95
414,75,95
413,75,95
412,74,95
411,73,96
410,73,96
409,72,96
408,72,96
407,71,96
406,71,96
405,70,96
404,70,97
403,69,97
402,69,97
401,68,97
400,68,98
399,68,98
398,67,98
397,67,98
396,66,99
395,66,99
394,66,99
393,65,99
392,65,100
391,64,100
390,64,100
389,64,101
388,63,101
387,63,101
386,63,102
385,63,102
384,62,102
383,62,103
382,62,103
381,61,103
380,61,104
379,61,104
378,61,104
377,60,105
376,60,105
375,60,105
374,60,106
373,60,106
372,60,107
371,59,107
370,59,107
369,59,108
368,59,108
367,59,108
366,60,109
365,60,109
364,60,110
363,60,110
362,61,110
361,63,111
360,65,111
359,66,112
358,67,112
357,68,112
356,70,113
355,71,113
354,72,114
353,73,114
352,74,114
351,75,115
350,76,115
349,77,116
348,78,116
347,79,116
346,79,117
345,80,117
344,81,118
343,82,118
342,83,118
341,84,119
340,84,119
339,85,120
338,86,120
337,87,121
336,88,121
335,88,121
334,89,122
333,90,122
332,90,123
331,91,123
330,92,123
329,92,124
328,93,124
327,94,125
326,95,125
325,95,126
324,96,126
323,97,127
322,97,127
321,98,127
320,98,128
319,99,128
318,100,129
317,100,129
316,101,129
315,102,130
314,102,130
313,103,131
312,104,131
311,104,131
310,105,132
309,106,132
308,106,133
307,107,133
306,108,134
305,108,134
304,109,134
303,110,135
302,110,135
301,111,136
300,112,136
299,112,137
298,113,137
297,114,137
296,114,138
295,115,138
294,116,139
293,116,139
292,117,139
291,118,140
290,118,140
289,119,141
288,120,141
287,120,141
286,121,142
285,122,142
284,122,143
283,123,143
282,124,144
281,124,144
280,125,145
279,126,145
278,126,145
277,127,146
276,128,146
275,128,147
274,129,147
273,130,147
272,130,148
271,131,148
270,132,149
269,132,149
268,133,150
267,134,150
266,134,150
265,135,151
264,136,151
263,136,152
262,137,152
261,138,153
260,138,153
259,139,153
258,140,154
257,140,154
256,141,155
255,142,155
254,142,156
253,143,156
252,144,156
251,145,157
250,145,157
249,146,157
248,147,158
247,148,158
246,149,158
245,151,158
244,152,158
243,154,158
242,156,156
0,0
0,63
32,247,252
33,245,256
34,245,259
35,244,262
36,244,265
37,244,267
38,244,270
39,244,272
40,244,275
41,244,277
42,245,279
43,245,281
44,246,283
45,246,285
46,247,287
47,247,289
48,248,291
49,249,292
50,250,294
51,251,295
52,252,297
53,252,298
54,253,299
55,254,300
56,255,301
57,256,302
58,257,302
59,258,303
60,259,304
61,260,304
62,261,305
63,262,305
64,263,305
65,264,305
66,265,306
67,266,306
68,267,306
69,267,306
70,268,306
71,269,306
72,270,307
73,271,307
74,272,307
75,273,307
76,274,307
77,274,307
78,275,307
79,276,307
80,277,307
81,278,307
82,279,307
83,279,306
84,280,306
85,281,306
86,282,306
87,283,305
88,284,305
89,285,304
90,286,304
91,287,303
92,289,301
93,291,298
94,295,295
0,0
1,120
207,112,113
208,111,114
209,111,115
210,110,116
211,110,117
212,110,117
213,110,118
214,110,118
215,110,119
216,109,119
217,109,120
218,109,120
219,109,121
220,109,121
221,109,122
222,108,122
223,108,123
224,108,123
225,108,123
226,108,123
227,107,124
228,107,124
229,107,124
230,107,124
231,107,124
232,106,124
233,106,124
234,106,124
235,106,124
236,106,123
237,105,123
238,105,123
239,105,123
240,105,122
241,104,122
242,104,122
243,104,121
244,104,121
245,103,121
246,103,120
247,103,120
248,103,120
249,102,119
250,102,119
251,102,119
252,102,118
253,101,118
254,101,118
255,101,118
256,100,117
257,100,117
258,100,117
259,100,117
260,99,116
261,99,116
262,99,116
263,99,116
264,98,115
265,98,115
266,98,115
267,98,115
268,97,114
269,97,114
270,97,114
271,97,114
272,96,113
273,96,113
274,96,113
275,96,113
276,95,112
277,95,112
278,95,112
279,95,112
280,94,112
281,94,112
282,94,111
283,94,111
284,94,111
285,93,111
286,93,111
287,93,110
288,93,110
289,93,110
290,92,110
291,92,110
292,92,110
293,92,110
294,92,109
295,91,109
296,91,109
297,91,109
298,91,109
299,91,109
300,90,108
301,90,108
302,90,108
303,90,108
304,89,108
305,89,108
306,89,108
307,89,107
308,89,107
309,88,107
310,88,107
311,88,107
312,88,107
313,87,107
314,87,107
315,87,107
316,87,107
317,86,107
318,86,107
319,86,107
320,86,107
321,85,107
322,85,107
323,85,107
324,94,107
325,106,107
325,106,106
0,160
83,329,332
84,325,338
85,323,342
86,323,344
87,323,347
88,323,349
89,323,351
90,323,353
91,323,355
92,323,357
93,323,358
94,323,360
95,324,362
96,324,364
97,324,365
98,324,367
99,324,368
100,324,370
101,324,371
102,324,373
103,324,374
104,324,375
105,324,377
106,324,378
107,325,379
108,325,379
109,326,380
110,327,380
111,327,381
112,327,381
113,327,381
114,327,381
115,327,380
116,328,380
117,328,380
118,328,379
119,328,378
120,328,378
121,328,377
122,328,376
123,328,375
124,328,374
125,328,373
126,328,372
127,328,371
128,328,370
129,327,369
130,327,368
131,327,367
132,327,367
133,327,366
134,327,365
135,327,364
136,327,364
137,327,363
138,327,362
139,327,362
140,327,361
141,326,361
142,326,360
143,326,360
144,326,359
145,326,359
146,326,358
147,326,358
148,326,357
149,325,357
150,325,356
151,325,356
152,325,356
153,325,355
154,325,355
155,325,355
156,325,354
157,324,354
158,324,353
159,324,353
160,324,353
161,324,352
162,324,352
163,324,352
164,323,352
165,323,351
166,323,351
167,323,351
168,323,351
169,323,351
170,323,350
171,322,350
172,322,350
173,322,350
174,322,350
175,322,349
176,322,349
177,321,349
178,321,349
179,321,349
180,321,348
181,321,348
182,321,348
183,320,348
184,320,348
185,320,347
186,320,347
187,320,347
188,319,347
189,319,347
190,319,346
191,319,346
192,319,346
193,319,346
194,318,345
195,318,345
196,318,345
197,318,345
198,318,344
199,317,344
200,317,344
201,317,344
202,317,343
203,316,343
204,316,343
205,316,343
206,316,342
207,315,342
208,315,342
209,315,342
210,315,342
211,314,341
212,314,341
213,314,341
214,313,340
215,313,340
216,313,340
217,313,339
218,312,339
219,312,339
220,312,339
221,311,338
222,311,338
223,311,337
224,311,337
225,311,337
226,311,336
227,311,336
228,311,336
229,311,335
230,311,335
231,311,334
232,312,334
233,312,333
234,312,332
235,313,332
236,313,331
237,314,330
238,314,329
239,315,328
240,316,327
241,318,324
242,321,321
0,0
1,116
211,177,179
212,176,181
213,176,181
214,175,182
215,175,183
216,175,184
217,175,184
218,174,184
219,174,185
220,174,185
221,173,185
222,173,185
223,173,185
224,173,186
225,172,185
226,172,185
