0,62
65,103,109
66,101,113
67,100,116
68,100,119
69,100,122
70,99,125
71,99,128
72,99,131
73,100,133
74,100,136
75,100,138
76,100,140
77,101,142
78,101,145
79,102,147
80,102,148
81,103,150
82,104,151
83,104,153
84,105,154
85,106,155
86,107,156
87,108,157
88,109,158
89,110,158
90,111,159
91,112,159
92,113,160
93,114,160
94,115,160
95,116,161
96,117,161
97,118,161
98,118,161
99,119,161
100,120,161
101,121,162
102,122,162
103,123,162
104,124,162
105,125,162
106,125,162
107,126,162
108,127,162
109,128,162
110,129,162
111,130,162
112,130,162
113,131,162
114,132,162
115,133,162
116,134,161
117,135,161
118,135,161
119,136,160
120,137,160
121,139,159
122,140,158
123,141,158
124,143,156
125,145,153
126,150,150
0,0
0,58
163,62,65
164,59,70
165,58,73
166,57,76
167,57,80
168,57,83
169,57,87
170,57,90
171,57,92
172,57,94
173,57,96
174,58,98
175,58,100
176,58,101
177,59,103
178,59,104
179,60,105
180,61,106
181,61,107
182,62,108
183,63,109
184,64,110
185,65,110
186,66,111
187,66,112
188,67,112
189,68,113
190,69,113
191,69,113
192,70,114
193,71,114
194,71,114
195,72,114
196,73,115
197,74,115
198,74,115
199,75,115
200,76,115
201,77,115
202,78,115
203,78,115
204,79,115
205,80,115
206,81,115
207,82,115
208,83,115
209,84,114
210,85,114
211,87,114
212,88,113
213,89,113
214,91,112
215,92,112
216,94,111
217,96,110
218,98,109
219,101,107
220,104,104
0,0
0,201
438,88,88
437,84,91
436,81,92
435,79,93
434,77,93
433,76,94
432,75,94
431,74,94
430,73,94
429,72,94
428,72,94
427,71,94
426,70,94
425,70,94
424,69,94
423,68,94
422,68,95
421,67,95
420,67,95
419,66,95
418,65,95
417,65,95
416,64,95
415,64,95
414,63,96
413,63,96
412,62,96
411,62,96
410,61,96
409,61,96
408,60,97
407,60,97
406,60,97
405,59,97
404,59,98
403,58,98
402,58,98
401,58,98
400,57,98
399,57,99
398,56,99
397,56,99
396,56,99
395,55,100
394,55,100
393,55,100
392,54,100
391,54,101
390,54,101
389,54,101
388,53,101
387,53,102
386,53,102
385,53,102
384,53,102
383,53,103
382,53,103
381,53,103
380,54,104
379,54,104
378,55,104
377,56,104
376,58,105
375,59,105
374,60,105
373,61,106
372,62,106
371,63,106
370,64,106
369,65,107
368,66,107
367,66,107
366,67,108
365,68,108
364,69,108
363,70,109
362,71,109
361,71,109
360,72,109
359,73,110
358,73,110
357,74,110
356,75,111
355,75,111
354,76,111
353,77,112
352,77,112
351,78,112
350,79,113
349,79,113
348,80,113
347,80,114
346,81,114
345,82,114
344,82,115
343,83,115
342,83,115
341,84,116
340,84,116
339,85,116
338,86,117
337,86,117
336,87,117
335,87,118
334,88,118
333,88,118
332,89,118
331,89,119
330,90,119
329,90,119
328,91,120
327,91,120
326,92,120
325,92,121
324,93,121
323,93,121
322,94,122
321,94,122
320,95,122
319,96,123
318,96,123
317,97,123
316,97,124
315,98,124
314,98,124
313,99,125
312,99,125
311,100,125
310,100,126
309,101,126
308,101,126
307,102,126
306,102,127
305,103,127
304,103,127
303,104,128
302,104,128
301,105,128
300,105,129
299,106,129
298,107,129
297,107,130
296,108,130
295,108,130
294,109,131
293,109,131
292,110,131
291,110,132
290,111,132
289,111,132
288,112,133
287,112,133
286,113,133
285,113,134
284,114,134
283,115,134
282,115,135
281,116,135
280,116,135
279,117,136
278,117,136
277,118,136
276,118,137
275,119,137
274,119,137
273,120,137
272,120,138
271,121,138
270,121,139
269,122,139
268,122,139
267,123,139
266,124,140
265,124,140
264,125,141
263,125,141
262,126,141
261,126,141
260,127,142
259,127,142
258,128,142
257,128,143
256,129,143
255,129,143
254,130,144
253,130,144
252,131,144
251,132,145
250,132,145
249,133,146
248,134,146
247,134,146
246,135,146
245,136,146
244,137,147
243,138,147
242,139,147
241,140,147
240,141,147
239,142,146
238,145,145
0,0
1,222
191,106,106
192,105,108
193,104,109
194,104,110
195,103,110
196,103,111
197,103,112
198,103,112
199,103,113
200,102,113
201,102,114
202,102,115
203,102,115
204,102,116
205,102,116
206,102,117
207,102,117
208,102,117
209,102,118
210,102,118
211,101,119
212,101,119
213,101,119
214,101,119
215,101,120
216,101,120
217,101,120
218,101,121
219,101,121
220,101,121
221,101,121
222,101,121
223,101,122
224,101,122
225,101,122
226,101,122
227,101,122
228,101,122
229,101,122
230,100,122
231,100,123
232,100,122
