0,56
78,98,99
79,94,107
80,93,112
81,92,116
82,92,120
83,92,124
84,92,127
85,92,130
86,92,133
87,93,136
88,93,139
89,93,141
90,94,143
91,94,145
92,95,146
93,96,148
94,97,149
95,98,150
96,99,151
97,100,152
98,101,152
99,102,153
100,103,153
101,105,154
102,106,154
103,107,154
104,108,155
105,110,155
106,111,155
107,112,156
108,113,156
109,114,156
110,115,156
111,116,157
112,117,157
113,118,157
114,120,157
115,121,157
116,122,157
117,123,157
118,124,157
119,125,157
120,126,157
121,127,157
122,128,157
123,129,157
124,130,157
125,131,156
126,132,156
127,133,156
128,134,155
129,136,154
130,137,153
131,139,152
132,142,150
133,147,147
0,0
0,51
172,57,57
173,52,62
174,50,68
175,50,73
176,49,77
177,49,82
178,49,85
179,49,88
180,50,91
181,50,93
182,50,95
183,51,97
184,51,99
185,52,100
186,52,102
187,53,103
188,54,104
189,55,105
190,56,107
191,57,107
192,58,108
193,60,109
194,61,109
195,62,110
196,63,111
197,64,111
198,65,112
199,66,112
200,67,112
201,68,113
202,69,113
203,70,113
204,71,113
205,73,114
206,74,114
207,75,114
208,76,114
209,77,114
210,79,114
211,80,114
212,81,114
213,83,114
214,84,113
215,85,113
216,87,113
217,89,112
218,91,112
219,93,111
220,95,110
221,98,109
222,101,107
0,0
0,163
420,77,82
419,74,84
418,73,84
417,71,85
416,70,86
415,69,86
414,68,86
413,67,86
412,66,86
411,65,86
410,65,87
409,64,87
408,64,87
407,63,87
406,62,87
405,62,87
404,61,87
403,61,87
402,60,87
401,60,88
400,59,88
399,59,88
398,58,88
397,58,88
396,58,89
395,57,89
394,57,89
393,56,89
392,56,89
391,55,90
390,55,90
389,55,90
388,54,90
387,54,91
386,54,91
385,53,91
384,53,92
383,52,92
382,52,92
381,52,92
380,52,93
379,51,93
378,51,93
377,51,93
376,51,94
375,50,94
374,50,94
373,50,95
372,50,95
371,50,95
370,50,96
369,50,96
368,50,96
367,50,97
366,50,97
365,51,97
364,51,98
363,53,98
362,54,98
361,56,98
360,57,99
359,58,99
358,59,100
357,60,100
356,61,100
355,62,100
354,63,101
353,64,101
352,65,102
351,65,102
350,67,102
349,67,103
348,68,103
347,69,103
346,70,104
345,70,104
344,71,104
343,72,105
342,73,105
341,73,105
340,74,106
339,75,106
338,75,106
337,76,107
336,77,107
335,77,107
334,78,108
333,79,108
332,79,109
331,80,109
330,80,109
329,81,109
328,82,110
327,82,110
326,83,111
325,83,111
324,84,111
323,85,112
322,85,112
321,86,112
320,87,113
319,87,113
318,88,113
317,88,114
316,89,114
315,90,115
314,90,115
313,91,115
312,92,116
311,92,116
310,93,116
309,93,117
308,94,117
307,95,117
306,95,118
305,96,118
304,96,118
303,97,119
302,98,119
301,98,119
300,99,120
299,100,120
298,100,120
297,101,121
296,102,121
295,102,121
294,103,122
293,103,122
292,104,123
291,105,123
290,105,123
289,106,124
288,106,124
287,107,124
286,108,125
285,108,125
284,109,125
283,110,126
282,110,126
281,111,126
280,111,127
279,112,127
278,113,127
277,113,128
276,114,128
275,115,129
274,115,129
273,116,129
272,117,130
271,117,130
270,118,130
269,118,131
268,119,131
267,120,132
266,121,132
265,121,132
264,122,132
263,123,132
262,124,133
261,125,133
260,126,133
259,128,132
258,130,131
0,0
0,103
21,273,273
22,268,278
23,267,282
24,265,284
25,265,287
26,264,289
27,264,291
28,264,293
29,264,295
30,264,296
31,265,298
32,265,299
33,266,301
34,266,302
35,267,303
36,268,304
37,268,305
38,269,306
39,269,307
40,269,307
41,270,307
42,270,307
43,270,307
44,271,306
45,271,306
46,271,306
47,272,305
48,272,305
49,272,305
50,272,304
51,272,304
52,273,304
53,273,304
54,273,304
55,273,303
56,273,303
57,273,303
58,274,303
59,274,303
60,274,303
61,274,302
62,274,302
63,274,302
64,274,302
65,274,302
66,274,302
67,275,301
68,275,301
69,275,301
70,275,301
71,275,301
72,275,301
73,275,301
74,275,300
75,275,300
76,275,300
77,275,300
78,275,300
79,275,300
80,275,300
81,276,300
82,276,299
83,276,299
84,276,299
85,276,299
86,276,299
87,276,299
88,276,299
89,276,298
90,276,298
91,276,298
92,276,298
93,276,298
94,276,298
95,276,298
96,276,297
97,276,297
98,276,297
99,276,297
100,276,297
101,276,297
102,276,297
103,276,296
104,277,296
105,277,296
106,277,296
107,277,296
108,277,296
109,277,296
110,277,295
111,277,295
112,277,295
113,277,295
114,277,295
115,277,295
116,277,295
117,277,295
118,277,294
119,277,291
120,277,287
121,277,283
122,277,280
123,277,277
0,0
1,95
286,69,70
287,68,71
288,67,72
289,67,72
290,66,73
291,66,73
292,66,74
293,65,74
294,65,75
295,65,75
296,65,75
297,65,76
298,64,76
299,64,76
300,64,76
301,64,77
302,64,77
303,64,77
304,63,77
305,63,78
306,63,78
307,63,78
308,63,78
309,62,78
310,62,78
311,62,78
312,62,78
313,62,78
314,61,78
315,61,79
316,61,78
317,61,78
318,60,78
319,60,78
320,60,78
321,59,78
322,59,78
323,59,78
324,59,77
325,58,77
326,58,77
327,58,77
328,57,77
329,57,76
330,57,76
331,56,76
332,56,75
333,56,75
334,55,75
335,55,75
336,54,74
337,54,74
338,54,74
339,53,73
340,53,73
341,52,73
342,52,73
343,52,72
344,51,72
345,51,72
346,51,72
347,50,71
348,50,71
349,50,71
350,50,71
351,50,70
352,50,70
353,49,70
354,49,70
355,49,69
356,49,69
357,49,69
358,49,68
359,49,68
360,49,68
361,49,68
362,49,67
363,50,67
364,50,67
365,50,66
366,50,66
367,50,66
368,50,66
369,51,65
370,51,65
371,51,65
372,51,64
373,52,64
374,52,64
375,53,64
376,53,63
377,54,63
378,55,62
379,56,61
379,56,60
0,0
1,205
175,138,141
176,138,142
177,137,143
178,137,144
179,136,145
180,136,146
181,136,146
182,136,147
183,136,148
184,135,148
185,135,149
186,135,149
187,135,150
188,135,150
189,134,151
190,134,151
191,134,151
192,134,151
193,134,152
194,134,152
195,133,152
196,133,152
197,133,152
198,133,152
199,133,152
200,133,152
201,132,152
202,132,152
203,132,151
204,132,151
205,132,151
206,131,151
207,131,150
208,131,150
209,131,150
210,131,149
211,130,149
212,130,149
213,130,148
214,130,148
215,130,147
216,129,147
217,129,147
218,129,146
219,129,146
220,129,146
221,128,145
222,128,145
223,128,145
224,128,144
225,128,144
226,127,144
227,127,144
228,127,143
229,127,143
230,127,143
231,126,142
232,126,142
233,126,142
234,126,141
235,126,141
236,125,141
237,125,141
238,125,140
239,125,140
240,125,140
241,124,139
242,124,139
243,124,139
244,124,138
245,123,138
246,123,138
247,123,138
248,123,137
249,123,137
250,122,137
251,122,137
252,122,136
253,122,136
254,122,136
255,121,136
256,121,135
257,121,135
258,121,135
259,120,135
260,120,134
261,120,134
262,120,134
263,120,134
264,119,133
265,119,133
266,119,133
267,119,133
268,119,132
269,118,132
270,118,132
271,118,132
272,118,132
273,118,131
274,117,131
275,117,131
276,117,131
277,117,130
278,117,130
279,116,130
280,116,130
281,116,130
282,116,129
283,115,129
284,115,129
285,115,129
286,115,129
287,115,128
288,114,128
289,114,128
290,114,128
291,114,127
292,114,127
293,113,127
294,113,127
295,113,127
296,113,126
297,113,126
298,112,126
299,112,126
300,112,126
301,112,125
302,112,125
303,111,125
304,111,125
305,111,125
306,111,124
307,111,124
308,110,124
309,110,124
310,110,124
311,110,123
312,110,123
313,109,123
314,109,123
