0,110
35,160,162
36,156,167
37,155,170
38,155,172
39,154,173
40,154,175
41,154,177
42,155,178
43,155,180
44,155,181
45,155,183
46,155,184
47,155,185
48,155,186
49,155,187
50,155,188
51,155,188
52,155,189
53,155,189
54,155,189
55,155,189
56,155,188
57,155,188
58,155,187
59,155,186
60,155,186
61,155,185
62,155,184
63,154,184
64,154,183
65,154,182
66,154,182
67,153,181
68,153,180
69,153,180
70,152,179
71,152,179
72,152,178
73,151,177
74,151,176
75,151,176
76,150,175
77,150,175
78,149,174
79,149,173
80,148,173
81,148,172
82,148,172
83,147,171
84,147,170
85,146,170
86,146,169
87,145,169
88,145,168
89,144,167
90,144,167
91,143,166
92,143,166
93,142,165
94,141,165
95,141,164
96,140,163
97,140,163
98,139,162
99,138,161
100,138,161
101,137,160
102,137,159
103,136,159
104,135,158
105,135,157
106,134,156
107,133,156
108,133,155
109,132,154
110,131,153
111,131,152
112,130,151
113,129,151
114,128,150
115,127,149
116,127,148
117,126,147
118,125,146
119,124,145
120,123,144
121,122,143
122,122,142
123,121,141
124,120,140
125,119,138
126,118,137
127,117,136
128,116,135
129,115,134
130,114,132
131,113,131
132,112,130
133,111,128
134,111,127
135,110,125
136,109,124
137,108,122
138,107,121
139,106,119
140,106,118
141,105,116
142,105,114
143,105,112
144,105,109
0,0
1,89
169,75,75
170,74,77
171,73,77
172,73,78
173,72,79
174,72,79
175,72,80
176,72,80
177,71,81
178,71,81
179,71,81
180,71,82
181,71,82
182,71,83
183,71,83
184,70,83
185,70,83
186,70,84
187,70,84
188,70,84
189,70,84
190,70,85
191,70,85
192,69,85
193,69,85
194,69,85
195,69,85
196,69,85
197,68,85
198,68,86
199,68,85
200,68,85
201,68,85
202,67,85
203,67,85
204,67,85
205,67,85
206,66,85
207,66,85
208,66,85
209,65,84
210,65,84
211,65,84
212,65,84
213,64,84
214,64,83
215,64,83
216,63,83
217,63,83
218,62,82
219,62,82
220,62,82
221,61,82
222,61,81
223,61,81
224,61,81
225,61,81
226,60,81
227,60,80
228,60,80
229,60,80
230,60,80
231,60,80
232,60,79
233,60,79
234,59,79
235,60,79
236,60,79
237,60,78
238,60,78
239,60,78
240,61,78
241,61,77
242,61,77
243,61,77
244,61,77
245,62,77
246,62,76
247,62,76
248,63,76
249,63,76
250,63,75
251,64,75
252,64,75
253,65,74
254,66,74
255,67,73
256,68,72
256,68,69
0,0
0,35
98,177,177
99,174,186
100,173,192
101,173,196
102,173,200
103,173,204
104,173,207
105,174,209
106,175,211
107,176,212
108,176,214
109,178,215
110,179,215
111,180,216
112,182,217
113,183,217
114,185,217
115,186,218
116,188,218
117,189,219
118,190,219
119,192,219
120,193,219
121,194,220
122,196,220
123,197,220
124,198,220
125,200,220
126,201,220
127,202,220
128,204,219
129,205,219
130,206,218
131,208,217
132,211,215
0,0
0,106
20,291,291
21,287,298
22,286,300
23,285,303
24,284,305
25,284,307
26,284,309
27,284,311
28,285,312
29,285,314
30,285,315
31,285,316
32,285,318
33,286,319
34,286,319
35,286,320
36,286,321
37,286,321
38,286,321
39,286,321
40,286,321
41,286,320
42,286,320
43,286,319
44,286,318
45,286,318
46,286,317
47,286,317
48,286,316
49,286,315
50,286,315
51,285,314
52,285,314
53,285,313
54,285,312
55,284,312
56,284,311
57,284,311
