0,175
56,123,123
57,120,127
58,118,130
59,117,132
60,116,134
61,116,135
62,116,137
63,116,138
64,116,140
65,116,141
66,117,142
67,117,144
68,118,145
69,118,146
70,118,147
71,118,148
72,119,149
73,119,151
74,119,152
75,119,152
76,119,153
77,119,154
78,119,155
79,119,156
80,119,156
81,119,157
82,119,157
83,119,157
84,118,157
85,118,157
86,118,156
87,118,156
88,118,156
89,117,155
90,117,155
91,117,154
92,117,154
93,116,153
94,116,152
95,116,152
96,116,151
97,115,150
98,115,149
99,115,148
100,114,148
101,114,147
102,114,146
103,113,145
104,113,145
105,112,144
106,112,143
107,112,143
108,111,142
109,111,141
110,111,141
111,110,140
112,110,139
113,110,138
114,109,138
115,109,137
116,108,136
117,108,136
118,107,135
119,107,134
120,107,134
121,106,133
122,106,132
123,105,131
124,105,131
125,104,130
126,104,129
127,103,129
128,103,128
129,103,127
130,102,127
131,102,126
132,101,125
133,101,125
134,100,124
135,100,124
136,99,123
137,99,122
138,98,122
139,98,121
140,97,120
141,97,120
142,96,119
143,96,118
144,95,118
145,95,117
146,94,116
147,94,116
148,93,115
149,92,114
150,92,114
151,91,113
152,91,113
153,90,112
154,90,111
155,89,111
156,89,110
157,88,109
158,87,109
159,87,108
160,86,108
161,86,107
162,85,106
163,84,106
164,84,105
165,83,105
166,82,104
167,82,103
168,81,103
169,81,102
170,80,102
171,79,101
172,79,100
173,78,100
174,77,99
175,77,99
176,76,98
177,75,97
178,74,97
179,74,96
180,73,96
181,72,95
182,71,94
183,70,94
184,70,93
185,69,93
186,68,92
187,67,92
188,66,91
189,65,90
190,64,90
191,63,89
192,62,88
193,61,88
194,60,87
195,59,87
196,59,88
197,57,88
198,56,90
199,55,98
200,54,97
201,54,96
202,53,95
203,52,94
204,52,93
205,51,92
206,51,92
207,51,91
208,51,90
209,51,89
210,51,88
211,51,87
212,51,86
213,52,85
214,52,84
215,52,83
216,53,83
217,53,82
218,54,81
219,54,80
220,55,79
221,56,78
222,56,77
223,57,76
224,58,75
225,59,74
226,60,74
227,61,73
228,62,72
229,64,70
230,67,67
1,80
72,228,228
73,226,227
74,225,227
75,224,226
76,223,226
77,222,225
78,221,225
79,220,224
80,219,224
81,218,223
82,216,223
83,215,223
84,214,222
85,213,222
86,212,222
87,211,221
88,210,221
89,209,220
90,208,220
91,206,220
92,205,219
93,204,219
94,203,219
95,202,218
96,201,218
97,200,218
98,199,218
99,199,217
100,199,217
101,199,217
102,199,216
103,199,216
104,199,216
105,199,216
106,199,215
107,199,215
108,199,215
109,199,214
110,199,214
111,199,214
112,199,214
113,199,213
114,199,213
115,199,213
116,199,213
117,199,212
118,199,212
119,199,212
120,198,212
121,198,211
122,198,211
123,198,211
124,198,211
125,198,211
126,198,211
127,198,210
128,198,210
129,198,210
130,198,210
131,198,210
132,198,209
133,198,209
134,198,209
135,198,209
136,198,208
137,198,208
138,198,208
139,198,207
140,198,207
141,198,207
142,198,206
143,198,206
144,198,205
145,198,205
146,197,204
147,197,203
148,197,203
149,198,202
150,198,201
151,198,200
0,0
0,186
131,162,166
132,160,170
133,159,172
134,158,174
135,158,176
136,158,178
137,158,180
138,158,182
139,158,183
140,158,185
141,158,186
142,158,187
143,158,189
144,158,190
145,158,191
146,158,192
147,158,192
148,158,193
149,157,194
150,157,195
151,157,195
152,157,195
153,156,196
154,156,196
155,156,196
156,155,195
157,155,195
158,155,195
159,154,194
160,154,194
161,153,193
162,153,192
163,153,191
164,152,190
165,152,189
166,152,188
167,151,186
168,151,185
169,150,184
170,150,184
171,149,183
172,149,182
173,149,181
174,148,180
175,148,179
176,147,178
177,147,177
178,146,177
179,146,176
180,145,175
181,145,174
182,144,173
183,144,172
184,143,172
185,143,171
186,142,170
187,142,169
188,141,169
189,140,168
190,140,167
191,139,167
192,139,166
193,138,165
194,138,164
195,137,163
196,136,162
197,136,161
198,135,161
199,135,160
200,134,159
201,133,158
202,133,157
203,132,157
204,131,156
205,131,155
206,130,154
207,129,153
208,129,152
209,128,152
210,127,151
211,127,150
212,126,149
213,125,148
214,124,148
215,124,147
216,123,146
217,122,145
218,122,144
219,121,144
220,120,143
221,120,142
222,119,141
223,118,141
224,117,140
225,117,139
226,116,138
227,115,137
228,115,137
229,114,136
230,113,135
231,112,134
232,112,133
233,111,133
234,110,132
235,109,131
236,109,130
237,108,129
238,107,129
