0,42
39,126,134
40,123,144
41,122,150
42,122,155
43,122,159
44,122,162
45,122,164
46,122,166
47,123,168
48,123,169
49,123,170
50,124,171
51,125,172
52,126,172
53,127,172
54,128,173
55,129,173
56,131,174
57,132,174
58,133,174
59,135,175
60,136,175
61,138,175
62,139,176
63,141,176
64,142,176
65,143,176
66,144,176
67,146,177
68,147,177
69,148,177
70,149,177
71,150,176
72,151,176
73,153,176
74,154,176
75,155,175
76,156,175
77,158,174
78,160,173
79,162,171
80,167,167
0,0
0,44
97,96,98
98,92,104
99,91,109
100,91,114
101,90,118
102,90,122
103,91,125
104,91,127
105,91,129
106,91,131
107,92,133
108,93,134
109,93,136
110,94,137
111,95,138
112,96,139
113,97,140
114,99,141
115,100,141
116,101,142
117,102,142
118,103,143
119,104,143
120,105,144
121,106,144
122,107,144
123,108,145
124,109,145
125,110,145
126,112,145
127,113,145
128,114,145
129,115,145
130,117,145
131,118,145
132,119,145
133,121,145
134,122,144
135,124,144
136,126,143
137,128,143
138,130,142
139,133,140
140,137,137
0,0
0,107
264,121,121
263,118,123
262,116,124
261,114,125
260,113,125
259,112,125
258,111,126
257,111,126
256,110,126
255,110,127
254,109,127
253,109,127
252,108,127
251,108,128
250,107,128
249,107,128
248,107,128
247,106,129
246,106,129
245,106,130
244,106,130
243,105,130
242,105,131
241,105,131
240,105,132
239,104,132
238,104,132
237,104,133
236,104,133
235,103,134
234,103,134
233,103,135
232,103,135
231,103,136
230,103,136
229,102,137
228,102,137
227,102,138
226,102,138
225,102,139
224,102,139
223,102,140
222,102,140
221,102,140
220,102,141
219,102,141
218,102,142
217,102,143
216,103,143
215,103,144
214,104,144
213,107,145
212,109,145
211,111,146
210,112,146
209,114,147
208,115,147
207,116,148
206,117,148
205,119,149
204,120,149
203,121,150
202,122,150
201,123,151
200,124,151
199,125,152
198,126,152
197,127,153
196,128,153
195,129,154
194,130,154
193,131,155
192,132,155
191,133,156
190,134,156
189,135,157
188,136,157
187,137,158
186,138,158
185,139,159
184,140,159
183,141,160
182,142,161
181,143,161
180,144,161
179,145,162
178,146,163
177,147,163
176,148,164
175,149,164
174,150,165
173,151,165
172,152,166
171,153,166
170,154,167
169,155,167
168,156,168
167,157,168
166,158,169
165,159,169
164,160,170
163,161,170
162,162,171
161,163,171
160,165,171
159,167,170
158,170,170
0,0
0,123
23,280,280
24,275,284
25,273,286
26,271,288
27,270,290
28,269,292
29,269,294
30,269,295
31,269,297
32,269,298
33,269,300
34,270,301
35,271,302
36,271,303
37,272,304
38,272,305
39,273,305
40,273,306
41,273,306
42,274,306
43,274,306
44,274,306
45,274,306
46,274,306
47,274,306
48,274,306
49,274,305
50,275,305
51,275,305
52,275,305
53,275,305
54,275,305
55,275,304
56,275,304
57,275,304
58,275,304
59,275,304
60,275,304
61,276,304
62,276,304
63,276,304
64,276,304
65,276,303
66,276,303
67,276,303
68,276,303
69,276,303
70,276,303
71,276,303
72,276,303
73,276,303
74,276,303
75,276,303
76,277,303
77,277,303
78,277,303
79,277,302
80,277,302
81,277,302
82,277,302
83,277,302
84,277,302
85,277,302
86,277,302
87,277,302
88,277,302
89,277,302
90,277,302
91,277,302
92,277,302
93,277,302
94,278,302
95,278,302
96,278,301
97,278,301
98,278,301
99,278,301
100,278,301
101,278,301
102,278,301
103,278,301
104,278,301
105,278,301
106,278,301
107,278,301
108,278,301
109,278,301
110,278,301
111,278,300
112,279,300
113,279,300
114,279,300
115,279,300
116,279,300
117,279,300
118,279,300
119,279,299
120,279,299
121,279,299
122,279,299
123,279,299
124,280,299
125,280,299
126,280,299
127,280,299
128,280,298
129,280,298
130,280,298
131,281,298
132,281,298
133,281,297
134,281,297
135,282,297
136,282,297
137,282,296
138,283,296
139,283,295
140,283,295
141,284,294
142,284,294
143,285,293
144,286,292
145,287,291
0,0
0,81
69,223,223
70,219,228
71,217,233
72,216,235
73,216,238
74,216,240
75,216,241
76,217,243
77,217,244
78,217,245
79,217,246
80,217,247
81,217,248
82,217,248
83,217,249
84,217,249
85,217,249
86,217,249
87,217,249
88,217,248
89,217,247
90,217,246
91,217,246
92,216,245
93,216,244
94,216,244
95,216,243
96,215,242
97,215,242
98,215,241
99,214,240
100,214,240
101,214,239
102,214,239
103,213,238
104,213,237
105,212,237
106,212,236
107,212,235
108,211,235
109,211,234
110,210,233
111,210,233
112,209,232
113,209,231
114,209,230
115,208,230
116,207,229
117,207,228
118,206,227
119,206,227
120,205,226
121,205,225
122,204,224
123,203,223
124,203,222
125,202,222
126,201,221
127,201,220
128,200,219
129,200,218
130,199,217
131,198,216
132,198,215
133,197,214
134,196,213
135,195,212
136,195,210
137,194,209
138,193,208
139,193,206
140,192,205
141,191,204
142,191,202
143,190,200
144,189,199
145,188,197
146,188,195
147,187,193
148,186,191
149,189,189
0,0
1,85
346,60,66
347,60,68
348,59,70
349,60,71
350,60,72
351,60,73
352,60,73
353,60,74
354,61,74
355,61,75
356,61,76
357,61,76
358,61,77
359,61,78
360,61,78
361,62,79
362,62,80
363,62,80
364,62,81
365,62,82
366,62,82
367,63,83
368,63,84
369,63,84
370,63,85
371,63,86
372,64,86
373,64,87
374,64,88
375,64,88
376,64,89
377,65,90
378,65,90
379,65,91
380,65,92
381,65,93
382,65,93
383,66,94
384,66,95
385,66,95
386,66,96
387,67,97
388,67,98
389,67,98
390,67,99
391,67,100
392,68,101
393,68,101
394,68,102
395,68,103
396,69,103
397,69,104
398,69,105
399,70,106
400,70,107
401,70,107
402,71,108
403,71,109
404,71,110
405,72,110
406,72,111
407,72,112
408,73,113
409,73,114
410,74,114
411,74,115
412,75,116
413,76,116
414,77,117
415,77,117
416,78,118
417,79,118
418,81,118
419,82,118
420,83,119
421,85,118
422,86,118
423,88,118
424,89,118
425,91,117
426,93,117
427,95,116
428,98,115
429,100,113
430,104,112
0,0
0,103
96,342,343
97,339,346
98,338,349
99,338,351
100,337,352
101,337,354
102,337,355
103,337,357
104,337,358
105,336,359
106,336,360
107,336,361
108,336,362
109,335,363
110,335,364
111,334,365
112,334,365
113,333,366
114,333,367
115,332,367
116,332,368
117,331,368
118,331,369
119,330,369
120,329,369
121,329,370
122,328,370
123,327,370
124,327,370
125,326,370
126,325,370
127,325,370
128,324,369
129,323,368
130,322,367
131,322,365
132,321,364
133,320,362
134,319,361
135,318,360
136,317,358
137,316,357
138,315,356
139,314,355
140,314,353
141,313,352
142,312,351
143,311,350
144,310,348
145,309,347
146,308,346
147,307,345
148,305,344
149,304,342
150,303,341
151,302,340
152,301,339
153,300,337
154,299,336
155,298,335
156,297,333
157,295,332
158,294,331
159,293,329
160,291,328
161,290,327
162,289,325
163,287,324
164,286,322
165,285,321
166,283,319
167,282,318
168,280,316
169,279,315
170,277,313
171,276,312
172,274,310
173,272,309
174,271,307
175,269,305
176,267,304
177,266,302
178,264,300
179,262,298
180,260,296
181,259,295
182,257,293
183,255,291
184,253,289
185,252,287
186,250,284
187,248,282
188,246,280
189,244,277
190,243,274
191,241,271
192,239,268
193,237,264
194,235,261
195,233,257
196,232,253
197,233,248
198,234,241
0,0
0,46
200,214,214
201,210,219
202,210,222
203,209,225
204,209,228
205,209,230
206,210,232
207,210,235
208,210,237
209,211,239
210,211,241
211,212,243
212,213,245
213,214,247
214,214,248
215,215,249
216,216,250
217,217,251
218,218,252
219,219,253
220,220,253
221,221,254
222,222,254
223,223,255
224,224,255
225,225,255
226,226,255
227,227,255
228,228,255
229,229,256
230,230,256
231,230,256
232,231,256
233,232,256
234,233,256
235,234,256
236,235,256
237,236,256
238,237,255
239,238,255
240,239,255
241,239,254
242,241,253
243,242,252
244,245,250
245,248,248
0,0
1,196
147,253,255
148,252,256
149,252,257
150,251,258
151,251,258
152,251,259
153,251,260
154,251,260
155,250,261
156,250,261
157,250,262
158,250,262
159,250,263
160,250,263
161,250,263
162,250,264
163,250,264
164,250,264
165,250,265
166,249,265
167,249,265
168,249,266
169,249,266
170,249,266
171,249,266
172,249,266
173,249,266
174,249,266
175,249,266
176,248,267
177,248,267
178,248,267
179,248,267
180,248,267
181,248,267
182,248,268
183,248,267
184,248,267
185,248,267
186,247,267
187,247,267
188,247,267
189,247,267
190,247,266
191,247,266
192,247,266
193,247,266
194,246,266
195,246,265
196,246,265
197,246,265
198,246,265
199,246,265
200,246,265
201,246,264
202,245,264
203,245,264
204,245,264
205,245,264
206,245,264
207,245,263
208,245,263
209,244,263
210,244,263
211,244,263
212,244,262
213,244,262
214,244,262
215,243,262
216,243,262
217,243,262
218,243,261
219,243,261
220,243,261
221,242,261
222,242,261
223,242,260
224,242,260
225,242,260
226,241,260
227,241,260
228,241,260
229,241,259
230,241,259
231,240,259
232,240,259
233,240,259
234,240,258
235,240,258
236,239,258
237,239,258
238,239,258
239,239,258
240,239,257
241,238,257
242,238,257
243,238,257
244,238,257
245,237,257
246,237,256
247,237,256
248,237,256
249,236,256
250,236,256
251,236,256
252,236,255
253,236,255
254,235,255
255,235,255
256,235,255
257,235,254
258,234,254
259,234,254
260,234,254
261,234,254
262,233,253
263,233,253
264,233,253
265,233,253
266,232,253
267,232,253
268,232,252
269,231,252
270,231,252
271,231,252
272,231,252
273,230,252
274,230,251
275,230,251
276,230,251
277,229,251
278,229,251
279,229,250
280,228,250
281,228,250
282,228,250
283,228,250
284,227,250
285,227,249
286,227,249
287,226,249
288,226,249
289,226,249
290,226,248
291,225,248
292,225,248
293,225,248
294,224,248
295,224,248
296,224,247
297,223,247
298,223,247
299,223,247
300,222,247
301,222,246
302,222,246
303,222,246
304,221,246
305,221,246
306,221,245
307,221,245
308,221,245
309,221,245
310,220,245
311,220,244
312,220,244
313,220,244
314,220,244
315,220,244
316,220,243
317,220,243
318,220,243
319,220,243
320,220,242
321,220,242
322,220,242
323,221,242
324,221,242
325,221,241
326,222,241
327,222,241
328,222,241
329,223,240
330,223,240
331,223,240
332,224,240
333,224,239
334,224,239
335,225,239
336,225,238
337,226,238
338,227,238
339,227,237
340,228,236
341,229,235
342,232,233
0,0
0,149
251,207,207
252,205,210
253,203,213
254,203,216
255,202,218
256,202,219
257,202,221
258,202,222
259,202,224
260,202,225
261,202,226
262,201,227
263,201,228
264,201,229
265,201,230
266,200,231
267,200,232
268,199,232
269,199,233
270,199,233
271,198,234
272,198,235
273,197,235
274,197,235
275,196,236
276,196,236
277,195,236
278,195,236
279,194,236
280,194,236
281,193,236
282,192,235
283,192,234
284,191,233
285,191,232
286,190,230
287,190,229
288,189,228
289,188,227
290,188,226
291,187,225
292,186,224
293,186,223
294,185,222
295,184,221
296,183,220
297,183,219
298,182,218
299,181,216
300,180,215
301,180,214
302,179,213
303,178,212
304,177,211
305,176,210
306,176,209
307,175,208
308,174,207
309,173,207
310,172,205
311,171,204
312,170,203
313,169,202
314,168,201
315,167,200
316,167,199
317,166,198
318,165,197
319,164,196
320,163,195
321,162,194
322,161,193
323,160,192
324,159,191
325,158,190
326,157,189
327,156,187
328,154,186
329,153,185
330,152,184
331,151,183
332,150,182
333,149,181
334,148,180
335,147,178
336,146,177
337,145,176
338,143,175
339,142,174
340,141,172
341,140,171
342,138,170
343,137,169
344,136,168
345,135,166
346,133,165
347,132,164
348,131,163
349,129,161
350,128,160
351,127,159
352,125,157
353,124,156
354,123,155
355,121,153
356,119,152
357,118,151
358,116,149
